step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.393,0.557432,0.187963,0.148949,0.226977,20,0.00000000,0,0.210619,0.093401,0.327837,0.557254,0.635525,0.478983,0.232124,0.162861,0.301388,0.034324,0.045783,0.833093,0.691323,0.050000,0,0,0,0,0
25,42.623,0.342296,0.205435,0.153863,0.257007,20,0.00000000,0,0.083953,0.032070,0.135837,0.757211,0.831978,0.682443,0.225358,0.158797,0.291918,0.011694,0.018725,0.836890,0.699880,0.050000,0,0,0,0,0
50,296.475,0.311096,0.234603,0.181478,0.287728,20,0.00000000,0,0.069124,0.026084,0.112163,0.808796,0.877132,0.740461,0.253106,0.186211,0.320000,0.009643,0.015332,0.809952,0.672217,0.050000,0,0,0,0,0
75,336.202,0.284600,0.256991,0.194978,0.319005,20,0.00000832,0,0.053232,0.024015,0.082449,0.849942,0.892633,0.807252,0.272483,0.199660,0.345306,0.008821,0.011313,0.796173,0.646571,0.050000,0,0,0,0,0
100,592.867,0.266296,0.285962,0.212891,0.359033,20,0.00000672,0,0.047568,0.021503,0.073633,0.874817,0.910019,0.839616,0.301469,0.217468,0.385469,0.007577,0.010184,0.778262,0.606200,0.050000,0,0,0,0,0
125,632.765,0.252133,0.326012,0.238724,0.413301,20,0.00000225,0,0.047128,0.018991,0.075265,0.891377,0.927585,0.855168,0.343833,0.243257,0.444408,0.006946,0.010202,0.752806,0.547436,0.050000,0,0,0,0,0
150,891.648,0.241297,0.352736,0.249510,0.455961,20,0.00000237,1,0.044012,0.018473,0.069551,0.903707,0.932231,0.875183,0.370897,0.254120,0.487673,0.006877,0.009506,0.741476,0.503774,0.050000,0,0,0,0,0
175,931.132,0.226869,0.376221,0.260750,0.491692,20,0.00000801,1,0.039295,0.017365,0.061224,0.916775,0.938562,0.894987,0.393537,0.265277,0.521796,0.006081,0.008413,0.730251,0.469595,0.050000,0,0,0,0,0
200,1187.044,0.222455,0.397712,0.277162,0.518263,20,0.00000000,0,0.041672,0.019508,0.063837,0.915826,0.935421,0.896231,0.416958,0.282569,0.551347,0.006256,0.008733,0.712771,0.438923,0.050000,0,0,0,0,0
225,1227.103,0.217497,0.412702,0.287674,0.537730,20,0.00000000,0,0.041223,0.017956,0.064490,0.920485,0.942225,0.898744,0.432624,0.292840,0.572408,0.005843,0.008937,0.702526,0.419491,0.050000,0,0,0,0,0
250,1488.357,0.208985,0.433031,0.311155,0.554908,20,0.00000000,0,0.040336,0.016183,0.064490,0.926441,0.951312,0.901570,0.453442,0.316190,0.590694,0.005083,0.009068,0.678842,0.400887,0.050000,0,0,0,0,0
275,1528.744,0.200094,0.451650,0.330028,0.573272,20,0.00000000,0,0.038227,0.013596,0.062857,0.933714,0.960942,0.906485,0.471911,0.334516,0.609306,0.004431,0.008836,0.660583,0.382203,0.050000,0,0,0,0,0
300,1793.180,0.199916,0.469628,0.336511,0.602744,20,0.00000000,0,0.043195,0.015370,0.071020,0.928921,0.956954,0.900889,0.493617,0.341683,0.645551,0.004971,0.009628,0.653277,0.345591,0.050000,0,0,0,0,0
325,1833.867,0.193003,0.491084,0.344213,0.637955,20,0.00000000,0,0.039913,0.016478,0.063347,0.934808,0.955022,0.914594,0.514126,0.349885,0.678367,0.005511,0.008783,0.645791,0.312158,0.050000,0,0,0,0,0
350,2095.754,0.184207,0.505447,0.340272,0.670623,20,0.00000000,0,0.037244,0.015222,0.059265,0.940395,0.957796,0.922995,0.527910,0.345452,0.710367,0.004935,0.008175,0.650033,0.281292,0.050000,0,0,0,0,0
375,2135.992,0.177625,0.511568,0.337682,0.685454,20,0.00000000,0,0.035562,0.013818,0.057306,0.943963,0.961203,0.926722,0.533542,0.342348,0.724735,0.004232,0.007747,0.653357,0.265908,0.050000,0,0,0,0,0
400,2397.881,0.176864,0.519903,0.346942,0.692865,20,0.00000000,0,0.036512,0.013596,0.059429,0.943939,0.962776,0.925103,0.542850,0.351659,0.734041,0.004311,0.008075,0.643637,0.257027,0.050000,0,0,0,0,0
