step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.590,0.526320,0.166461,0.115022,0.217900,20,0.00000000,0,0.175504,0.095988,0.255020,0.542587,0.567720,0.517454,0.199766,0.126062,0.273469,0.035502,0.035458,0.869836,0.719132,0.050000,0,0,0,0,0
25,27.063,0.320651,0.173233,0.128317,0.218149,20,0.00000000,0,0.058458,0.030222,0.086694,0.773073,0.813922,0.732224,0.184628,0.132195,0.237061,0.011045,0.011846,0.863533,0.755401,0.050000,0,0,0,0,0
50,190.911,0.293018,0.207566,0.153885,0.261246,20,0.00000000,0,0.048781,0.023276,0.074286,0.830963,0.871218,0.790708,0.219060,0.157467,0.280653,0.008474,0.010245,0.837602,0.712180,0.050000,0,0,0,0,0
75,216.508,0.283984,0.233903,0.171234,0.296572,20,0.00000562,0,0.049059,0.021872,0.076245,0.848037,0.888889,0.807184,0.247082,0.174980,0.319184,0.007750,0.010644,0.820408,0.673509,0.050000,0,0,0,0,0
100,382.755,0.270893,0.257160,0.178701,0.335620,20,0.00000460,0,0.045235,0.019286,0.071184,0.869489,0.904255,0.834723,0.270829,0.182147,0.359510,0.007044,0.009835,0.813185,0.633200,0.050000,0,0,0,0,0
125,408.822,0.258604,0.286078,0.193310,0.378846,20,0.00000000,0,0.042469,0.018326,0.066612,0.886658,0.914835,0.858481,0.300467,0.196852,0.404082,0.006756,0.009170,0.798312,0.588485,0.050000,0,0,0,0,0
150,574.728,0.249799,0.316135,0.214737,0.417532,20,0.00000204,0,0.042954,0.016848,0.069061,0.897191,0.928369,0.866012,0.332361,0.218355,0.446367,0.006195,0.009721,0.776933,0.545588,0.050000,0,0,0,0,0
175,600.561,0.242775,0.346767,0.228227,0.465307,20,0.00003204,0,0.045135,0.017291,0.072980,0.901578,0.930687,0.872468,0.365719,0.232173,0.499265,0.006235,0.010124,0.763256,0.493447,0.050000,0,0,0,0,0
200,768.598,0.232128,0.367052,0.238906,0.495197,20,0.00001868,0,0.043298,0.015739,0.070857,0.910610,0.939091,0.882129,0.386476,0.242666,0.530286,0.005831,0.009452,0.752765,0.460325,0.050000,0,0,0,0,0
225,794.694,0.224849,0.396718,0.250527,0.542909,20,0.00010195,0,0.044396,0.015813,0.072980,0.915083,0.941498,0.888667,0.418510,0.254489,0.582531,0.005762,0.009819,0.741179,0.408602,0.050000,0,0,0,0,0
250,963.505,0.217396,0.414087,0.245455,0.582719,20,0.00005367,0,0.039936,0.016035,0.063837,0.923113,0.939588,0.906638,0.434654,0.249390,0.619918,0.005865,0.009033,0.746266,0.370973,0.050000,0,0,0,0,0
275,989.400,0.205125,0.442218,0.253967,0.630468,20,0.00002617,0,0.037533,0.015148,0.059918,0.931109,0.944505,0.917713,0.463030,0.257814,0.668245,0.005585,0.008286,0.737204,0.323057,0.050000,0,0,0,0,0
300,1159.200,0.196239,0.474326,0.269026,0.679625,20,0.00005069,0,0.038581,0.014631,0.062531,0.934717,0.949126,0.920308,0.497542,0.272962,0.722122,0.005354,0.008618,0.722554,0.269177,0.050000,0,0,0,0,0
325,1185.637,0.192450,0.500952,0.280489,0.721414,20,0.00006168,0,0.041361,0.016109,0.066612,0.933416,0.946503,0.920328,0.527238,0.285007,0.769469,0.005640,0.009304,0.710254,0.222526,0.050000,0,0,0,0,0
350,1355.952,0.198836,0.491230,0.279811,0.702649,20,0.00003051,0,0.043996,0.015665,0.072327,0.930087,0.947758,0.912416,0.518832,0.284194,0.753469,0.005821,0.010079,0.710759,0.238413,0.050000,0,0,0,0,0
375,1382.433,0.197291,0.500501,0.285870,0.715132,20,0.00005413,1,0.045102,0.015592,0.074612,0.930268,0.949034,0.911503,0.529409,0.290327,0.768490,0.005799,0.010380,0.705069,0.223745,0.050000,0,0,0,0,0
400,1552.122,0.193897,0.516699,0.294036,0.739361,20,0.00005165,1,0.046410,0.014779,0.078041,0.931814,0.952808,0.910821,0.547721,0.298382,0.797061,0.005547,0.010995,0.696816,0.195458,0.050000,0,0,0,0,0
425,1578.676,0.227741,0.482546,0.297455,0.667637,20,0.00001017,1,0.068752,0.016035,0.121469,0.905015,0.949617,0.860413,0.525479,0.302224,0.748735,0.006004,0.016944,0.692597,0.243117,0.050000,0,0,0,0,0
450,1747.271,0.233658,0.486997,0.303521,0.670473,20,0.00001311,1,0.073757,0.017882,0.129633,0.899571,0.945286,0.853856,0.533168,0.308948,0.757388,0.006735,0.018095,0.685550,0.233289,0.050000,0,0,0,0,0
475,1773.603,0.231493,0.491765,0.301214,0.682317,20,0.00001118,1,0.069613,0.022981,0.116245,0.899090,0.930596,0.867584,0.534884,0.308136,0.761633,0.008229,0.016184,0.687014,0.229336,0.050000,0,0,0,0,0
