step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.491,0.477345,0.212705,0.262533,0.162877,20,0.00009458,0,0.170073,0.238850,0.101296,0.607835,0.576574,0.639095,0.252308,0.325240,0.179376,0.032628,0.030378,0.667249,0.816619,0.050000,0,0,0,0,0
25,24.517,0.305320,0.273740,0.364816,0.182664,20,0.00000095,0,0.070535,0.094813,0.046257,0.806642,0.808155,0.805128,0.295260,0.399405,0.191114,0.012584,0.013765,0.592279,0.803567,0.050000,0,0,0,0,0
50,173.722,0.266865,0.342675,0.445847,0.239503,20,0.00000322,0,0.060641,0.085894,0.035388,0.862217,0.849319,0.875115,0.366061,0.484143,0.247978,0.011419,0.010542,0.507567,0.746651,0.050000,0,0,0,0,0
75,196.966,0.244032,0.390551,0.489015,0.292088,20,0.00000752,0,0.054055,0.075157,0.032954,0.888232,0.874931,0.901533,0.413740,0.525768,0.301713,0.009982,0.009688,0.466433,0.693674,0.050000,0,0,0,0,0
100,349.269,0.226307,0.425108,0.523333,0.326882,20,0.00000000,0,0.050691,0.072514,0.028867,0.903270,0.885588,0.920952,0.448800,0.561282,0.336319,0.009330,0.008547,0.429361,0.658134,0.050000,0,0,0,0,0
125,373.022,0.213777,0.469544,0.549113,0.389974,20,0.00000978,0,0.049856,0.071193,0.028519,0.912825,0.892034,0.933617,0.494651,0.588206,0.401096,0.009157,0.008717,0.403154,0.592514,0.050000,0,0,0,0,0
150,529.493,0.205449,0.520223,0.580034,0.460412,20,0.00000488,0,0.052786,0.072184,0.033388,0.915214,0.896002,0.934426,0.548844,0.621903,0.475785,0.009308,0.009994,0.370220,0.518710,0.050000,0,0,0,0,0
175,553.741,0.192868,0.560845,0.594461,0.527230,20,0.00000362,0,0.051865,0.067559,0.036171,0.920844,0.903787,0.937901,0.590461,0.634622,0.546300,0.008221,0.010834,0.356452,0.448127,0.050000,0,0,0,0,0
200,710.103,0.176698,0.590506,0.600184,0.580828,20,0.00000561,0,0.052125,0.077469,0.026780,0.925023,0.893020,0.957025,0.621531,0.646680,0.596383,0.009511,0.007803,0.344520,0.397203,0.050000,0,0,0,0,0
225,734.522,0.156132,0.613963,0.615349,0.612577,20,0.00002252,0,0.043361,0.071853,0.014868,0.939202,0.901762,0.976643,0.640624,0.659564,0.621685,0.009635,0.004142,0.331746,0.372253,0.050000,0,0,0,0,0
250,885.897,0.156739,0.633041,0.618701,0.647382,19,0.00000114,0,0.050581,0.088206,0.012955,0.932396,0.884165,0.980627,0.664521,0.673274,0.655769,0.011690,0.003679,0.319933,0.337672,0.050000,0,0,1,0,0
275,909.297,0.151732,0.650776,0.633596,0.667956,19,0.00000123,0,0.051041,0.090519,0.011564,0.933671,0.884168,0.983173,0.683314,0.690948,0.675680,0.012102,0.003272,0.302319,0.318384,0.050000,0,0,1,0,0
300,1060.538,0.145885,0.662987,0.643984,0.681990,19,0.00000000,0,0.054801,0.099604,0.009999,0.931189,0.876687,0.985691,0.698468,0.708127,0.688810,0.012159,0.002783,0.285262,0.306409,0.050000,0,0,1,0,0
325,1084.037,0.139634,0.681528,0.662201,0.700855,19,0.00000000,0,0.052210,0.097291,0.007130,0.935958,0.881917,0.990000,0.716239,0.726627,0.705852,0.012353,0.002266,0.266693,0.289477,0.050000,0,0,1,0,0
350,1237.906,0.142979,0.662880,0.678701,0.647059,19,0.00000017,0,0.048477,0.088867,0.008086,0.940206,0.892658,0.987755,0.695653,0.739016,0.652291,0.012063,0.002061,0.254231,0.342300,0.050000,0,0,1,0,0
