step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.513,0.402302,0.181399,0.190652,0.172146,20,0.00000000,0,0.063769,0.080543,0.046995,0.756053,0.718922,0.793184,0.193122,0.206008,0.180236,0.021850,0.020478,0.779308,0.816410,0.050000,0,0,0,0,0
25,27.162,0.266660,0.278894,0.317210,0.240579,20,0.00001087,0,0.025526,0.030599,0.020453,0.918754,0.914412,0.923096,0.286207,0.326916,0.245499,0.008329,0.008808,0.656500,0.750556,0.050000,0,0,0,0,0
50,198.718,0.217938,0.430612,0.488647,0.372577,20,0.00000727,1,0.022489,0.023996,0.020982,0.950982,0.954239,0.947724,0.440383,0.500372,0.380394,0.006518,0.009082,0.483625,0.615347,0.050000,0,0,0,0,0
75,225.570,0.183218,0.550350,0.602027,0.498674,20,0.00009651,3,0.021030,0.018694,0.023365,0.963320,0.970419,0.956220,0.561803,0.613281,0.510326,0.005135,0.010025,0.371963,0.486028,0.050000,0,0,0,0,0
100,398.012,0.154646,0.632018,0.677955,0.586082,20,0.00000993,1,0.019236,0.018880,0.019592,0.970824,0.973394,0.968254,0.644160,0.690755,0.597564,0.005123,0.008655,0.294696,0.398421,0.050000,0,0,0,0,0
125,424.809,0.133969,0.684949,0.705898,0.663999,20,0.00001164,2,0.017148,0.017020,0.017276,0.975952,0.976841,0.975062,0.696691,0.717913,0.675470,0.004789,0.007566,0.266700,0.320305,0.050000,0,0,0,0,0
150,596.683,0.118713,0.715381,0.727830,0.702932,20,0.00001554,1,0.015434,0.017299,0.013569,0.979240,0.977170,0.981311,0.726445,0.740420,0.712470,0.004825,0.005856,0.245333,0.283361,0.050000,0,0,0,0,0
175,623.520,0.103530,0.743166,0.758298,0.728034,20,0.00014874,3,0.013019,0.014323,0.011716,0.983031,0.981719,0.984343,0.752861,0.769159,0.736563,0.003859,0.004972,0.215971,0.259890,0.050000,0,0,0,0,0
200,793.494,0.084843,0.770837,0.786801,0.754873,20,0.00000626,0,0.008780,0.009022,0.008539,0.988836,0.988764,0.988909,0.777609,0.793899,0.761319,0.002403,0.003721,0.191110,0.235068,0.050000,0,0,0,0,0
225,819.957,0.075629,0.800765,0.812666,0.788864,20,0.00000437,0,0.009496,0.013300,0.005692,0.988491,0.984106,0.992876,0.808415,0.823475,0.793355,0.003598,0.002331,0.162442,0.202412,0.050000,0,0,0,0,0
250,992.771,0.072598,0.822087,0.820002,0.824171,20,0.00001322,1,0.009680,0.012742,0.006619,0.988487,0.984889,0.992085,0.830038,0.830450,0.829627,0.003737,0.002875,0.154767,0.165960,0.050000,0,0,0,0,0
275,1019.600,0.070328,0.834858,0.824722,0.844994,20,0.00001955,1,0.011476,0.013486,0.009465,0.986574,0.984122,0.989025,0.844418,0.835844,0.852992,0.003397,0.003559,0.149978,0.143082,0.050000,0,0,0,0,0
300,1190.556,0.066400,0.850449,0.828367,0.872530,20,0.00000930,0,0.011411,0.014416,0.008406,0.986835,0.983134,0.990537,0.860087,0.840309,0.879865,0.003363,0.003678,0.145365,0.116197,0.050000,0,0,0,0,0
325,1217.028,0.067555,0.856144,0.823335,0.888954,20,0.00003977,0,0.010557,0.010789,0.010326,0.987918,0.987202,0.988634,0.865175,0.832217,0.898133,0.003125,0.004503,0.153192,0.097923,0.050000,0,0,0,0,0
350,1387.981,0.059413,0.878582,0.826422,0.930742,20,0.00012487,0,0.010060,0.013765,0.006354,0.988549,0.983836,0.993262,0.887227,0.837798,0.936656,0.004226,0.002918,0.147171,0.059271,0.050000,0,0,0,0,0
375,1414.444,0.053914,0.887506,0.826286,0.948726,20,0.00006081,0,0.010905,0.016183,0.005626,0.987614,0.981091,0.994138,0.896861,0.839658,0.954064,0.003762,0.002732,0.145474,0.041749,0.050000,0,0,0,0,0
400,1582.290,0.054398,0.895632,0.831988,0.959276,20,0.00004147,0,0.009834,0.013579,0.006089,0.988941,0.984153,0.993730,0.904201,0.843285,0.965118,0.004082,0.002967,0.142327,0.030816,0.050000,0,0,0,0,0
425,1608.666,0.051522,0.897832,0.832982,0.962683,20,0.00005101,0,0.009589,0.013486,0.005692,0.989216,0.984277,0.994155,0.906189,0.844215,0.968163,0.003901,0.002642,0.140436,0.027749,0.050000,0,0,0,0,0
450,1780.204,0.047398,0.901208,0.835063,0.967353,20,0.00003348,0,0.009184,0.012742,0.005626,0.989703,0.985157,0.994250,0.909249,0.845703,0.972796,0.003143,0.002669,0.138770,0.022651,0.050000,0,0,0,0,1
475,1806.900,0.048476,0.904272,0.840074,0.968470,20,0.00001729,0,0.008732,0.011905,0.005560,0.990256,0.986189,0.994323,0.911965,0.850074,0.973855,0.003725,0.002473,0.134796,0.022256,0.050000,0,0,0,0,1
500,1976.056,0.051045,0.905316,0.840907,0.969725,20,0.00001828,0,0.009403,0.013114,0.005692,0.989519,0.984840,0.994197,0.913590,0.851935,0.975245,0.004030,0.002858,0.133594,0.020222,0.050000,0,0,0,0,1
525,2002.625,0.046712,0.908183,0.843876,0.972489,20,0.00000613,0,0.008613,0.011533,0.005692,0.990441,0.986670,0.994213,0.915817,0.853609,0.978025,0.003237,0.002779,0.132052,0.017959,0.050000,0,0,0,0,1
550,2171.646,0.047533,0.908369,0.844495,0.972242,20,0.00001001,0,0.010026,0.013765,0.006288,0.988895,0.984176,0.993614,0.917238,0.856120,0.978356,0.003545,0.002739,0.129838,0.017581,0.050000,0,0,0,0,1
575,2198.222,0.047502,0.908582,0.843360,0.973804,20,0.00000301,0,0.009882,0.014137,0.005626,0.989014,0.983740,0.994288,0.917283,0.855283,0.979282,0.003699,0.002594,0.130412,0.016544,0.050000,0,0,0,0,1
600,2365.738,0.044649,0.910925,0.846267,0.975582,20,0.00001131,0,0.008008,0.010324,0.005692,0.991151,0.988070,0.994232,0.918070,0.855004,0.981136,0.003169,0.002521,0.130231,0.015061,0.050000,0,0,0,0,1
625,2392.128,0.049158,0.911062,0.846217,0.975907,20,0.00000537,0,0.009862,0.014230,0.005494,0.989061,0.983690,0.994433,0.919764,0.858259,0.981268,0.004161,0.002652,0.127772,0.014677,0.050000,0,0,0,0,1
650,2560.877,0.048890,0.910367,0.846782,0.973951,20,0.00000609,0,0.009668,0.013114,0.006222,0.989318,0.984944,0.993691,0.918949,0.857887,0.980011,0.003967,0.002746,0.127861,0.015809,0.050000,0,0,0,0,1
675,2587.351,0.046693,0.909934,0.846126,0.973743,20,0.00000477,0,0.010027,0.014230,0.005825,0.988888,0.983689,0.994088,0.918790,0.858166,0.979415,0.003459,0.002748,0.127276,0.016464,0.050000,0,0,0,0,1
700,2755.283,0.049928,0.908985,0.846858,0.971111,20,0.00000242,0,0.010632,0.015439,0.005825,0.988218,0.982363,0.994072,0.918350,0.859933,0.976767,0.003980,0.002927,0.126449,0.018662,0.050000,0,0,0,0,1
725,2781.804,0.046322,0.907950,0.849729,0.966171,20,0.00001531,0,0.008194,0.010696,0.005692,0.990938,0.987699,0.994176,0.915244,0.858817,0.971671,0.003401,0.002501,0.126701,0.024070,0.050000,0,0,0,0,1
750,2949.600,0.049770,0.909451,0.846612,0.972290,20,0.00000237,0,0.010626,0.015625,0.005626,0.988216,0.982152,0.994279,0.918800,0.859840,0.977760,0.004393,0.002513,0.126021,0.017960,0.050000,0,0,0,0,1
