step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.520,0.501660,0.192255,0.199074,0.185437,20,0.00000000,0,0.426054,0.113227,0.738881,0.482833,0.661848,0.303819,0.272034,0.221614,0.322453,0.026481,0.043483,0.773261,0.666712,0.050000,0,0,0,0,0
25,26.626,0.302342,0.276379,0.204761,0.347997,20,0.00000000,0,0.166056,0.051984,0.280129,0.709764,0.805588,0.613940,0.330443,0.215406,0.445481,0.012061,0.015999,0.778469,0.540781,0.050000,0,0,0,0,0
50,190.258,0.265105,0.344208,0.238712,0.449704,20,0.00000509,1,0.130530,0.048721,0.212339,0.778392,0.837087,0.719697,0.397768,0.250342,0.545194,0.011421,0.012257,0.743110,0.443289,0.050000,0,0,0,0,0
75,215.741,0.243542,0.384572,0.275320,0.493823,20,0.00000434,2,0.117328,0.044197,0.190459,0.811025,0.866751,0.755300,0.437682,0.287488,0.587877,0.010345,0.010946,0.706433,0.398189,0.050000,0,0,0,0,0
100,378.414,0.216351,0.431716,0.310080,0.553352,20,0.00000244,2,0.090178,0.040829,0.139527,0.853258,0.887699,0.818817,0.476650,0.322740,0.630560,0.009480,0.007926,0.671232,0.358331,0.050000,0,0,0,0,0
125,403.677,0.204681,0.474329,0.355268,0.593389,20,0.00000861,2,0.096453,0.042618,0.150287,0.858184,0.896815,0.819552,0.526489,0.370409,0.682568,0.009955,0.007925,0.623207,0.305573,0.050000,0,0,0,0,0
150,569.503,0.193055,0.505697,0.399271,0.612123,20,0.00000755,2,0.091012,0.039987,0.142037,0.871645,0.912159,0.831130,0.557152,0.415237,0.699067,0.009230,0.007920,0.578134,0.288752,0.050000,0,0,0,0,0
175,594.778,0.181991,0.545333,0.477346,0.613321,20,0.00000958,2,0.088406,0.040514,0.136298,0.880501,0.924584,0.836418,0.596800,0.496685,0.696915,0.009367,0.007641,0.497759,0.292543,0.050000,0,0,0,0,0
200,758.728,0.173960,0.583103,0.557966,0.608241,20,0.00001440,3,0.087285,0.042934,0.131636,0.885374,0.931290,0.839458,0.635114,0.581921,0.688307,0.010020,0.007620,0.412256,0.298898,0.050000,0,0,0,0,0
225,783.467,0.167955,0.605487,0.597403,0.613571,20,0.00001467,3,0.085573,0.045249,0.125897,0.889141,0.932432,0.845850,0.657626,0.624434,0.690818,0.010453,0.007136,0.369797,0.298945,0.050000,0,0,0,0,0
250,947.039,0.170152,0.620488,0.628021,0.612955,20,0.00000480,2,0.088938,0.053772,0.124103,0.886114,0.924853,0.847375,0.675408,0.661791,0.689024,0.012557,0.006618,0.332600,0.301563,0.050000,0,0,0,0,0
275,972.070,0.163350,0.625017,0.646486,0.603548,20,0.00001730,2,0.079999,0.048090,0.111908,0.895404,0.933730,0.857077,0.674333,0.677576,0.671090,0.011240,0.006389,0.317015,0.316671,0.050000,0,0,0,0,0
300,1136.486,0.161275,0.622608,0.651231,0.593985,20,0.00001789,1,0.072383,0.047564,0.097202,0.902517,0.934823,0.870211,0.666964,0.682206,0.651722,0.011071,0.005638,0.311060,0.336847,0.050000,0,0,0,0,0
325,1161.271,0.159549,0.626953,0.671899,0.582007,20,0.00002784,2,0.075128,0.045880,0.104376,0.899505,0.938712,0.860298,0.672740,0.702725,0.642755,0.010581,0.006073,0.291598,0.345353,0.050000,0,0,0,0,0
350,1325.532,0.159650,0.631417,0.680189,0.582645,20,0.00000675,1,0.086881,0.045354,0.128407,0.888322,0.940039,0.836604,0.684250,0.711039,0.657461,0.010555,0.006784,0.282610,0.333278,0.050000,0,0,0,0,0
375,1350.572,0.154440,0.642252,0.690399,0.594104,20,0.00001146,0,0.075353,0.043460,0.107245,0.901463,0.943105,0.859822,0.689112,0.720404,0.657819,0.010120,0.006458,0.273173,0.328843,0.050000,0,0,0,0,0
400,1512.159,0.156267,0.639570,0.695753,0.583386,20,0.00001408,1,0.089363,0.043144,0.135581,0.887001,0.943889,0.830112,0.694126,0.725771,0.662482,0.010102,0.007170,0.267096,0.326082,0.050000,0,0,0,0,0
425,1536.904,0.154261,0.647584,0.705425,0.589744,20,0.00002234,0,0.087371,0.041671,0.133070,0.890132,0.946334,0.833930,0.701521,0.734821,0.668221,0.009655,0.007557,0.259169,0.321156,0.050000,0,0,0,0,0
450,1700.454,0.146402,0.657594,0.718741,0.596447,20,0.00001587,1,0.084958,0.039356,0.130560,0.893871,0.949953,0.837790,0.710673,0.747027,0.674319,0.009080,0.006915,0.246730,0.314935,0.050000,0,0,0,0,0
475,1725.294,0.140558,0.661897,0.723857,0.599937,20,0.00000275,1,0.082011,0.033463,0.130560,0.897882,0.957183,0.838581,0.713172,0.748080,0.678264,0.007803,0.007114,0.245718,0.307651,0.050000,0,0,0,0,0
500,1886.623,0.127306,0.668669,0.721856,0.615483,20,0.00001239,1,0.070982,0.020730,0.121234,0.911605,0.972635,0.850575,0.713460,0.736820,0.690100,0.004791,0.007025,0.256500,0.298891,0.050000,0,0,0,0,0
525,1911.193,0.127632,0.656050,0.711596,0.600504,20,0.00003311,0,0.077854,0.017258,0.138451,0.904151,0.976714,0.831588,0.703760,0.723877,0.683644,0.003989,0.007308,0.270163,0.304120,0.050000,0,0,0,0,0
550,2072.499,0.125387,0.653593,0.695648,0.611538,20,0.00001136,1,0.067275,0.015469,0.119082,0.915179,0.978571,0.851786,0.695385,0.706409,0.684362,0.003561,0.006695,0.287382,0.303850,0.050000,0,0,0,0,0
575,2097.462,0.127817,0.652308,0.698766,0.605849,20,0.00003833,1,0.071780,0.015153,0.128407,0.910479,0.979085,0.841873,0.696500,0.709355,0.683644,0.003596,0.007301,0.284730,0.303699,0.050000,0,0,0,0,0
600,2254.673,0.132065,0.654897,0.699495,0.610299,19,0.00003242,1,0.074937,0.021467,0.128407,0.906838,0.970832,0.842845,0.701588,0.714511,0.688666,0.004806,0.007344,0.280113,0.299389,0.050000,0,0,1,0,0
625,2278.712,0.136495,0.651667,0.699783,0.603550,19,0.00003034,1,0.085858,0.019994,0.151722,0.896795,0.972752,0.820839,0.704448,0.713775,0.695122,0.004680,0.008658,0.280035,0.293938,0.050000,0,0,1,0,0
650,2428.152,0.130383,0.657274,0.702270,0.612277,18,0.00002986,0,0.073684,0.019678,0.127690,0.908592,0.973255,0.843928,0.703274,0.716090,0.690459,0.004549,0.007370,0.277993,0.296581,0.050000,0,0,2,0,0
675,2450.706,0.129760,0.660133,0.708131,0.612135,18,0.00000000,0,0.073823,0.018520,0.129125,0.908776,0.974964,0.842589,0.706211,0.721246,0.691176,0.004309,0.007640,0.272515,0.296665,0.050000,0,0,2,0,0
700,2591.770,0.123136,0.673526,0.724380,0.622672,17,0.00000219,0,0.067778,0.018626,0.116930,0.915725,0.975379,0.856071,0.716676,0.737872,0.695481,0.004356,0.006734,0.256626,0.291484,0.050000,0,0,3,0,0
725,2613.172,0.122078,0.670992,0.731311,0.610673,17,0.00000000,0,0.076125,0.016311,0.135940,0.907335,0.978526,0.836144,0.718463,0.743239,0.693687,0.003754,0.007166,0.250617,0.295167,0.050000,0,0,3,0,0
750,2747.479,0.121584,0.678037,0.738446,0.617628,17,0.00001150,0,0.073373,0.015469,0.131277,0.910810,0.979788,0.841832,0.724289,0.749868,0.698709,0.003603,0.007606,0.243204,0.289660,0.050000,0,0,3,0,0
775,2768.276,0.115023,0.689139,0.748184,0.630093,17,0.00000193,0,0.066106,0.014206,0.118006,0.919071,0.981623,0.856520,0.731630,0.758813,0.704448,0.003268,0.006933,0.234831,0.282238,0.050000,0,0,3,0,0
800,2901.807,0.117626,0.687029,0.754876,0.619183,17,0.00000029,0,0.073743,0.014417,0.133070,0.911044,0.981521,0.840567,0.733668,0.765758,0.701578,0.003304,0.007594,0.227789,0.286069,0.050000,0,0,3,0,0
825,2922.722,0.121351,0.677010,0.750546,0.603475,17,0.00000001,0,0.084011,0.011996,0.156026,0.900839,0.984452,0.817227,0.728591,0.759550,0.697633,0.002722,0.008709,0.233319,0.290786,0.050000,0,0,3,0,0
850,3059.249,0.121123,0.681949,0.762345,0.601553,17,0.00000180,0,0.083578,0.012207,0.154950,0.901036,0.984427,0.817645,0.733207,0.771651,0.694763,0.002834,0.009006,0.222009,0.287344,0.050000,0,0,3,0,0
875,3080.185,0.115718,0.687716,0.771712,0.603721,17,0.00000328,0,0.082423,0.008103,0.156743,0.903193,0.989692,0.816695,0.738157,0.777965,0.698350,0.001779,0.008987,0.215779,0.288285,0.050000,0,0,3,0,0
900,3218.133,0.109347,0.695788,0.778033,0.613543,17,0.00000053,0,0.072877,0.006945,0.138809,0.912737,0.991213,0.834261,0.741073,0.783437,0.698709,0.001429,0.008055,0.210052,0.288324,0.050000,0,0,3,0,0
925,3239.347,0.116395,0.691668,0.781289,0.602047,17,0.00000000,0,0.082665,0.008945,0.156385,0.902678,0.988780,0.816576,0.742238,0.788277,0.696198,0.001976,0.009172,0.206369,0.290467,0.050000,0,0,3,0,0
950,3378.453,0.120654,0.692007,0.782843,0.601170,17,0.00000051,0,0.088947,0.013259,0.164634,0.896591,0.983559,0.809623,0.746683,0.793223,0.700143,0.003004,0.009464,0.200336,0.285468,0.050000,0,0,3,0,0
975,3400.038,0.128986,0.688421,0.780122,0.596720,17,0.00000348,0,0.099301,0.017468,0.181133,0.887007,0.978467,0.795547,0.749278,0.793749,0.704806,0.004083,0.010386,0.199988,0.282885,0.050000,0,0,3,0,0
1000,3538.662,0.126843,0.692300,0.774776,0.609824,17,0.00000242,0,0.090731,0.020415,0.161047,0.894760,0.974828,0.814693,0.749313,0.790592,0.708034,0.004735,0.009255,0.203158,0.279329,0.050000,0,0,3,0,0
1025,3560.533,0.135528,0.687751,0.773316,0.602186,17,0.00007077,1,0.102826,0.024519,0.181133,0.883504,0.969982,0.797026,0.751769,0.792276,0.711263,0.005701,0.010362,0.201643,0.277859,0.050000,0,0,3,0,0
1050,3700.923,0.142289,0.684508,0.768039,0.600978,17,0.00005982,0,0.103238,0.032516,0.173960,0.881407,0.960612,0.802202,0.749268,0.793013,0.705524,0.007586,0.009925,0.201092,0.281720,0.050000,0,0,3,0,0
1075,3722.708,0.145570,0.684119,0.758844,0.609394,17,0.00006156,0,0.099391,0.038093,0.160689,0.884375,0.953874,0.814876,0.747534,0.787751,0.707317,0.008898,0.009308,0.205525,0.279094,0.050000,0,0,3,0,0
1100,3864.861,0.163087,0.678331,0.758343,0.598319,17,0.00003697,0,0.120795,0.046827,0.194763,0.865091,0.944298,0.785883,0.754352,0.793855,0.714849,0.010988,0.011677,0.200464,0.270032,0.050000,0,0,3,0,0
1125,3886.499,0.183878,0.663601,0.749028,0.578174,17,0.00004921,0,0.150523,0.055351,0.245696,0.840099,0.934561,0.745637,0.755358,0.790487,0.720230,0.012965,0.014518,0.203572,0.265170,0.050000,0,0,3,0,0
1150,4028.618,0.171904,0.672486,0.746977,0.597996,17,0.00004298,0,0.135019,0.053036,0.217001,0.853573,0.936834,0.770311,0.757178,0.786594,0.727762,0.012291,0.012527,0.207271,0.258965,0.050000,0,0,3,0,0
1175,4050.151,0.138341,0.703739,0.752539,0.654939,17,0.00000742,0,0.078851,0.046512,0.111191,0.905849,0.944234,0.867465,0.757651,0.787541,0.727762,0.010699,0.006368,0.206767,0.261566,0.050000,0,0,3,0,0
1200,4189.359,0.126362,0.711534,0.759336,0.663731,17,0.00001831,0,0.069745,0.039777,0.099713,0.915923,0.952037,0.879810,0.759727,0.789540,0.729914,0.009130,0.005383,0.204913,0.257229,0.050000,0,0,3,0,0
1225,4210.845,0.120331,0.713505,0.764220,0.662791,17,0.00002680,0,0.071390,0.032306,0.110473,0.915076,0.960661,0.869492,0.762460,0.788909,0.736011,0.007409,0.005886,0.205225,0.251608,0.050000,0,0,3,0,0
1250,4350.042,0.114315,0.711466,0.755617,0.667315,17,0.00002428,0,0.066461,0.025676,0.107245,0.920592,0.967933,0.873251,0.756950,0.775018,0.738881,0.005832,0.005756,0.218480,0.248885,0.050000,0,0,3,0,0
1275,4371.615,0.109863,0.718226,0.767392,0.669060,17,0.00001442,0,0.060021,0.021046,0.098996,0.927592,0.973843,0.881341,0.759418,0.783542,0.735294,0.004785,0.005915,0.210652,0.252539,0.050000,0,0,3,0,0
1300,4513.353,0.106265,0.716789,0.773969,0.659609,17,0.00000788,0,0.065527,0.013049,0.118006,0.922842,0.983630,0.862055,0.760757,0.784068,0.737446,0.003014,0.006986,0.210101,0.249115,0.050000,0,0,3,0,0
1325,4535.227,0.098042,0.722064,0.788059,0.656069,17,0.00000480,0,0.061674,0.006419,0.116930,0.927180,0.991972,0.862389,0.762951,0.793118,0.732783,0.001486,0.006777,0.201070,0.253436,0.050000,0,0,3,0,0
1350,4676.693,0.100760,0.721770,0.789007,0.654534,17,0.00001181,0,0.066165,0.008945,0.123386,0.922598,0.988889,0.856307,0.765679,0.796064,0.735294,0.001833,0.007211,0.198375,0.251038,0.050000,0,0,3,0,0
1375,4698.436,0.102410,0.718221,0.787010,0.649433,17,0.00000680,0,0.073549,0.009365,0.137733,0.915614,0.988348,0.842881,0.766631,0.794381,0.738881,0.001593,0.007881,0.200277,0.247516,0.050000,0,0,3,0,0
1400,4838.235,0.098630,0.720358,0.786466,0.654250,17,0.00002740,0,0.067937,0.009260,0.126614,0.920937,0.988468,0.853405,0.765418,0.793749,0.737088,0.001558,0.007005,0.200943,0.248200,0.050000,0,0,3,0,0
1425,4859.506,0.100839,0.719259,0.785424,0.653093,17,0.00000516,0,0.072779,0.009260,0.136298,0.916644,0.988453,0.844835,0.767403,0.792697,0.742109,0.001535,0.007646,0.202214,0.243439,0.050000,0,0,3,0,0
1450,4998.117,0.102878,0.717116,0.785811,0.648420,17,0.00000743,0,0.077664,0.008629,0.146700,0.912222,0.989230,0.835214,0.768068,0.792592,0.743544,0.001497,0.008155,0.201658,0.243868,0.050000,0,0,3,0,0
1475,5019.653,0.105299,0.713454,0.783031,0.643878,17,0.00001273,0,0.081273,0.008313,0.154232,0.908859,0.989581,0.828137,0.766363,0.789540,0.743185,0.001385,0.008711,0.205076,0.243974,0.050000,0,0,3,0,0
1500,5160.192,0.107867,0.708965,0.784484,0.633446,17,0.00001099,0,0.085135,0.007787,0.162482,0.904740,0.990246,0.819234,0.763481,0.790592,0.736370,0.001353,0.009175,0.203820,0.250242,0.050000,0,0,3,0,0
