step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.741,0.156035,0.188703,0.123366,0.952467,20
25,27.642,0.240186,0.261768,0.218603,0.726988,20
50,192.328,0.356236,0.349338,0.363134,0.596710,23
75,222.278,0.478525,0.436054,0.520995,0.480743,23
100,387.219,0.559439,0.470816,0.648063,0.404640,22
125,416.000,0.626514,0.526301,0.726728,0.349862,22
150,590.178,0.661542,0.562548,0.760537,0.315280,24
175,621.528,0.698732,0.605789,0.791675,0.284662,24
200,811.482,0.747503,0.682946,0.812059,0.245937,25
225,844.945,0.761968,0.688523,0.835412,0.229829,25
250,1027.679,0.780595,0.710017,0.851172,0.212871,24
275,1059.837,0.791621,0.723988,0.859254,0.201849,24
300,1245.867,0.821555,0.760914,0.882197,0.178871,24
325,1278.445,0.838007,0.791460,0.884554,0.162515,24
350,1463.250,0.853369,0.824692,0.882046,0.149954,21
375,1491.380,0.859259,0.831570,0.886949,0.145870,21
400,1671.773,0.861433,0.836374,0.886492,0.141320,21
425,1699.896,0.863502,0.841375,0.885629,0.140072,21
450,1883.868,0.865619,0.845445,0.885794,0.138742,21
475,1912.298,0.865001,0.847198,0.882805,0.138706,21
500,2087.264,0.870034,0.860114,0.879953,0.137613,20
525,2114.284,0.866808,0.855300,0.878316,0.138368,20
550,2288.033,0.867544,0.859584,0.875504,0.137944,23
575,2319.434,0.872517,0.858558,0.886475,0.132057,23
600,2497.113,0.873534,0.861985,0.885082,0.131402,20
625,2524.094,0.871995,0.859351,0.884640,0.132759,20
650,2689.197,0.870898,0.859017,0.882778,0.133516,19
675,2714.878,0.871815,0.866556,0.877074,0.131085,19
700,2878.546,0.871036,0.866991,0.875080,0.130666,19
725,2903.997,0.871890,0.870044,0.873736,0.129256,19
750,3067.317,0.873419,0.872651,0.874188,0.127989,19
775,3092.504,0.875131,0.877617,0.872646,0.125948,19
800,3253.796,0.876232,0.879310,0.873154,0.126885,19
825,3279.179,0.871300,0.879411,0.863188,0.127459,19
850,3426.666,0.875907,0.884363,0.867451,0.119379,17
875,3449.555,0.871637,0.881183,0.862091,0.121169,17
900,3596.183,0.873157,0.880866,0.865448,0.121027,20
925,3623.274,0.869595,0.879522,0.859668,0.125592,20
950,3774.155,0.868225,0.883812,0.852637,0.126733,17
975,3796.969,0.867482,0.883559,0.851405,0.125666,17
1000,3942.315,0.867736,0.885457,0.850016,0.125914,17
1025,3965.116,0.865080,0.887289,0.842871,0.128556,17
1050,4104.104,0.861565,0.889529,0.833600,0.133703,16
1075,4125.498,0.861685,0.890463,0.832907,0.132427,16
1100,4262.847,0.860427,0.885742,0.835111,0.132804,16
1125,4284.313,0.859797,0.883521,0.836073,0.131801,16
1150,4421.521,0.862554,0.884646,0.840462,0.130589,16
1175,4443.085,0.864760,0.883678,0.845842,0.129143,16
1200,4580.506,0.862743,0.884461,0.841025,0.133561,16
1225,4601.460,0.862710,0.881744,0.843677,0.136654,16
1250,4736.299,0.864370,0.882848,0.845893,0.133555,17
1275,4758.567,0.863263,0.884174,0.842351,0.129501,17
1300,4895.371,0.866056,0.884001,0.848111,0.129961,16
1325,4916.395,0.864448,0.882758,0.846137,0.129764,16
1350,5048.906,0.867072,0.884736,0.849408,0.129964,19
1375,5073.732,0.868129,0.887260,0.848997,0.128969,19
1400,5211.134,0.872767,0.888376,0.857158,0.125055,16
1425,5231.648,0.867043,0.885109,0.848977,0.130045,16
1450,5363.901,0.864087,0.882295,0.845879,0.133837,16
1475,5384.559,0.865336,0.885183,0.845490,0.129403,16
1500,5516.220,0.866333,0.887709,0.844958,0.129753,16
1525,5536.821,0.867776,0.886486,0.849065,0.130114,16
1550,5669.268,0.864972,0.882238,0.847707,0.136772,16
1575,5689.828,0.863222,0.881067,0.845377,0.137969,16
1600,5823.397,0.863456,0.881001,0.845911,0.136074,16
1625,5844.094,0.864278,0.883099,0.845457,0.134001,16
1650,5977.694,0.865914,0.884135,0.847693,0.129341,16
1675,5998.458,0.865695,0.884944,0.846445,0.132768,16
1700,6132.269,0.865039,0.884207,0.845871,0.134313,16
1725,6152.977,0.864543,0.884049,0.845036,0.136288,16
1750,6284.903,0.865492,0.884484,0.846501,0.133700,19
1775,6309.679,0.867924,0.884219,0.851629,0.129267,19
1800,6447.205,0.865856,0.885492,0.846219,0.131607,16
1825,6467.654,0.866726,0.886071,0.847381,0.130631,16
1850,6599.952,0.867009,0.889020,0.844998,0.133679,16
1875,6620.439,0.865922,0.890264,0.841580,0.131240,16
1900,6747.626,0.866687,0.889042,0.844332,0.132745,15
1925,6767.277,0.865805,0.887906,0.843704,0.131578,15
1950,6894.769,0.866950,0.887201,0.846698,0.132293,15
1975,6914.440,0.866270,0.885092,0.847447,0.135526,15
2000,7041.953,0.864537,0.884215,0.844858,0.137268,15
