step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.539,0.824084,0.149705,0.126558,0.172851,20,0.00016185,0,0.465616,0.203504,0.727727,0.359517,0.428066,0.290968,0.225477,0.152313,0.298640,0.042917,0.056429,0.185186,0.102617,0.000000,0,0,0,0,0
25,27.008,0.605515,0.173567,0.128790,0.218343,20,0.00001986,1,0.221332,0.099061,0.343603,0.524429,0.588291,0.460566,0.217457,0.141548,0.293367,0.020694,0.026358,0.168875,0.075061,0.000000,0,0,0,0,0
50,51.371,0.546961,0.211328,0.164493,0.258163,20,0.00002589,1,0.177435,0.079821,0.275049,0.617367,0.689947,0.544786,0.253396,0.177623,0.329170,0.016633,0.020889,0.159143,0.067426,0.000000,0,0,0,0,0
75,75.554,0.485233,0.275399,0.227209,0.323589,20,0.00013037,1,0.147874,0.061498,0.234249,0.713566,0.796822,0.630311,0.320286,0.241182,0.399389,0.012863,0.017834,0.144770,0.059429,0.000000,0,0,0,0,0
100,100.396,0.431821,0.370201,0.306513,0.433890,20,0.00003117,1,0.145219,0.060353,0.230086,0.771076,0.843388,0.698765,0.429367,0.325011,0.533722,0.012555,0.017290,0.129492,0.049101,0.000000,0,0,0,0,0
125,124.833,0.388921,0.419180,0.372345,0.466015,20,0.00019250,1,0.124571,0.056803,0.192340,0.808356,0.873856,0.742857,0.474572,0.393495,0.555648,0.011768,0.014460,0.116793,0.044816,0.000000,0,0,0,0,0
150,149.681,0.357479,0.455741,0.414140,0.497342,20,0.00003542,0,0.103103,0.057719,0.148487,0.838626,0.883576,0.793675,0.504617,0.438044,0.571191,0.011852,0.011386,0.108827,0.040852,0.000000,0,0,0,0,0
175,174.326,0.321757,0.498663,0.463412,0.533913,20,0.00003442,0,0.085189,0.053252,0.117125,0.868745,0.901629,0.835862,0.542269,0.488090,0.596447,0.011066,0.008817,0.099406,0.036607,0.000000,0,0,0,0,0
200,199.176,0.296998,0.527808,0.498743,0.556873,20,0.00001987,0,0.074114,0.047755,0.100472,0.887705,0.916265,0.859144,0.567692,0.522561,0.612823,0.009815,0.007700,0.092197,0.034402,0.000000,0,0,0,0,0
225,224.754,0.278515,0.551408,0.529644,0.573171,20,0.00016667,1,0.067741,0.043060,0.092423,0.899536,0.927692,0.871379,0.589298,0.552451,0.626145,0.008767,0.007174,0.086209,0.033064,0.000000,0,0,0,0,0
250,250.341,0.262380,0.571807,0.559294,0.584321,20,0.00017089,1,0.069581,0.038136,0.101027,0.901324,0.938368,0.864280,0.611988,0.580623,0.643353,0.007516,0.007656,0.079989,0.032177,0.000000,0,0,0,0,0
275,276.342,0.243930,0.598357,0.599534,0.597180,20,0.00019724,0,0.067527,0.032639,0.102415,0.907649,0.949921,0.865378,0.638721,0.619102,0.658340,0.006584,0.007870,0.072510,0.031319,0.000000,0,0,0,0,0
300,302.283,0.223380,0.631769,0.651705,0.611832,20,0.00019160,0,0.071329,0.030806,0.111851,0.907474,0.956153,0.858795,0.676024,0.671782,0.680266,0.006272,0.008470,0.062871,0.030323,0.000000,0,0,0,0,0
325,328.223,0.204779,0.660570,0.689969,0.631170,20,0.00019135,1,0.069877,0.032066,0.107688,0.911719,0.956910,0.866529,0.705617,0.712093,0.699140,0.006243,0.008132,0.055792,0.028562,0.000000,0,0,0,0,0
350,353.973,0.195032,0.677302,0.710409,0.644195,20,0.00024221,1,0.070675,0.029776,0.111574,0.913041,0.960890,0.865191,0.723816,0.731562,0.716070,0.005790,0.008501,0.051995,0.027572,0.000000,0,0,0,0,0
375,380.103,0.198114,0.685488,0.720755,0.650221,20,0.00027699,2,0.081281,0.031837,0.130724,0.903994,0.958949,0.849038,0.739461,0.743701,0.735221,0.006623,0.010066,0.050511,0.027588,0.000000,0,0,0,0,0
400,405.654,0.193768,0.692446,0.729982,0.654911,20,0.00032306,1,0.081499,0.029776,0.133222,0.904856,0.961899,0.847812,0.746939,0.751718,0.742159,0.006228,0.010295,0.048745,0.027371,0.000000,0,0,0,0,0
425,431.133,0.186921,0.706807,0.739989,0.673625,20,0.00027992,2,0.081289,0.032410,0.130169,0.906645,0.959304,0.853985,0.762641,0.763972,0.761310,0.006732,0.009842,0.047041,0.025604,0.000000,0,0,0,0,0
450,457.000,0.178794,0.720105,0.747368,0.692841,20,0.00043238,1,0.077005,0.033555,0.120455,0.912023,0.958369,0.865676,0.774372,0.772446,0.776298,0.006696,0.009259,0.045399,0.023903,0.000000,0,0,0,0,0
475,482.670,0.171115,0.735538,0.752381,0.718695,20,0.00069777,0,0.070075,0.034127,0.106023,0.920149,0.957981,0.882317,0.786475,0.778058,0.794893,0.007132,0.008064,0.044898,0.021420,0.000000,0,0,0,0,0
500,508.424,0.171647,0.733493,0.758808,0.708178,20,0.00021528,0,0.075119,0.033669,0.116570,0.915181,0.958841,0.871520,0.787543,0.784356,0.790730,0.007013,0.008834,0.043579,0.022360,0.000000,0,0,0,0,0
525,533.498,0.172125,0.740351,0.760990,0.719712,20,0.00028175,0,0.077417,0.036876,0.117957,0.913747,0.955352,0.872142,0.796830,0.789052,0.804607,0.007651,0.009134,0.043211,0.021771,0.000000,0,0,0,0,0
550,558.667,0.167926,0.751864,0.765661,0.738066,20,0.00025388,0,0.079326,0.036532,0.122120,0.913745,0.955994,0.871495,0.810916,0.793633,0.828199,0.007630,0.009385,0.042415,0.020192,0.000000,0,0,0,0,0
575,583.550,0.164126,0.759145,0.769767,0.748522,20,0.00024744,0,0.080483,0.034127,0.126839,0.914085,0.958891,0.869279,0.819751,0.796038,0.843464,0.007039,0.009719,0.041595,0.019434,0.000000,0,0,0,0,0
600,608.185,0.160694,0.762642,0.772319,0.752964,20,0.00023940,0,0.078073,0.032639,0.123508,0.916643,0.960684,0.872602,0.821744,0.797526,0.845962,0.006585,0.009587,0.040924,0.019124,0.000000,0,0,0,0,0
625,632.658,0.157840,0.767696,0.777272,0.758120,20,0.00022371,1,0.079950,0.031951,0.127949,0.915770,0.961692,0.869848,0.828614,0.802107,0.855121,0.006428,0.009747,0.039934,0.018690,0.000000,0,0,0,0,0
650,657.517,0.158990,0.768654,0.781049,0.756259,20,0.00021212,0,0.082655,0.034585,0.130724,0.913177,0.958956,0.867399,0.831592,0.808062,0.855121,0.006961,0.010050,0.039393,0.018764,0.000000,0,0,0,0,0
675,681.824,0.159337,0.771008,0.780205,0.761811,20,0.00018043,1,0.082928,0.037907,0.127949,0.912839,0.955282,0.870396,0.834532,0.809780,0.859284,0.007579,0.009788,0.039490,0.018405,0.000000,0,0,0,0,0
700,706.435,0.157744,0.773121,0.783110,0.763132,20,0.00018957,0,0.082025,0.033326,0.130724,0.914441,0.960446,0.868436,0.836050,0.809208,0.862892,0.006870,0.010102,0.039137,0.018454,0.000000,0,0,0,0,0
725,731.080,0.155535,0.773950,0.785984,0.761916,20,0.00019521,0,0.083296,0.031150,0.135443,0.913810,0.962988,0.864632,0.837790,0.810467,0.865112,0.006437,0.010237,0.038516,0.018341,0.000000,0,0,0,0,0
750,756.183,0.154002,0.775827,0.790052,0.761602,20,0.00015951,1,0.083884,0.031493,0.136275,0.913372,0.962793,0.863951,0.840162,0.814934,0.865390,0.006443,0.010229,0.037796,0.018309,0.000000,0,0,0,0,0
775,781.271,0.153093,0.774335,0.791848,0.756823,20,0.00013846,0,0.083669,0.028287,0.139051,0.913765,0.966427,0.861103,0.838153,0.814246,0.862059,0.005678,0.010655,0.037180,0.018901,0.000000,0,0,0,0,0
800,806.803,0.146473,0.779418,0.795905,0.762932,20,0.00013048,1,0.077794,0.023477,0.132112,0.919661,0.971987,0.867336,0.839157,0.814590,0.863725,0.004814,0.009928,0.036513,0.018250,0.000000,0,0,0,0,0
825,832.286,0.146340,0.778008,0.800313,0.755703,20,0.00013608,1,0.078204,0.024851,0.131557,0.918629,0.970592,0.866667,0.837661,0.820202,0.855121,0.004907,0.009992,0.035548,0.018951,0.000000,0,0,0,0,0
850,858.099,0.144674,0.777194,0.800762,0.753627,20,0.00016179,1,0.075385,0.021988,0.128782,0.921176,0.973835,0.868518,0.834525,0.818369,0.850680,0.004543,0.009773,0.035416,0.018969,0.000000,0,0,0,0,0
875,884.205,0.142981,0.784171,0.810892,0.757449,20,0.00014273,1,0.075583,0.024049,0.127116,0.921128,0.971854,0.870402,0.842063,0.830394,0.853733,0.005057,0.009901,0.033794,0.018949,0.000000,0,0,0,0,0
900,910.592,0.147933,0.778017,0.813190,0.742843,20,0.00019033,2,0.085136,0.026225,0.144047,0.912300,0.969532,0.855068,0.842182,0.834517,0.849847,0.005503,0.010798,0.033472,0.020052,0.000000,0,0,0,0,0
925,937.032,0.153635,0.771669,0.813531,0.729808,20,0.00026811,3,0.091039,0.027485,0.154593,0.906571,0.968166,0.844976,0.839261,0.835891,0.842631,0.005673,0.011825,0.033400,0.021451,0.000000,0,0,0,0,0
950,963.726,0.158122,0.768116,0.810808,0.725425,20,0.00014378,3,0.094125,0.027829,0.160422,0.903810,0.967686,0.839934,0.837585,0.833372,0.841799,0.005821,0.012550,0.033853,0.022194,0.000000,0,0,0,0,0
975,990.091,0.146895,0.783380,0.813601,0.753158,20,0.00015915,3,0.084819,0.027256,0.142381,0.913215,0.968418,0.858013,0.848085,0.835776,0.860394,0.005624,0.010914,0.033302,0.019416,0.000000,0,0,0,0,0
1000,1016.614,0.150929,0.783016,0.811535,0.754497,20,0.00023428,1,0.086202,0.030577,0.141826,0.911687,0.964729,0.858645,0.848927,0.836349,0.861504,0.006498,0.011043,0.034092,0.019365,0.000000,0,0,0,0,0
1025,1042.658,0.149357,0.784433,0.815474,0.753391,20,0.00032667,2,0.087973,0.030234,0.145712,0.910417,0.965263,0.855571,0.851649,0.840128,0.863170,0.006257,0.011317,0.033137,0.019459,0.000000,0,0,0,0,0
1050,1068.316,0.146983,0.789795,0.811972,0.767618,20,0.00045323,2,0.083768,0.029317,0.138218,0.914761,0.966111,0.863412,0.854746,0.835776,0.873716,0.006228,0.010731,0.033880,0.018255,0.000000,0,0,0,0,0
1075,1093.921,0.145816,0.786978,0.810452,0.763504,20,0.00031364,3,0.084215,0.027714,0.140716,0.914352,0.967798,0.860905,0.851927,0.832913,0.870941,0.005351,0.011016,0.033663,0.018676,0.000000,0,0,0,0,0
