pair	group	n	final_loss	final_mean_iou	best_mean_iou	best_loss	final_patches	final_overlap	srd_total_adds	total_seconds
acm_scf	basic	1	0.654457	0.283884	0.287172	0.650519	5	0	-	458.983
cat_face_bass	basic	1	0.314132	0.7301	0.747748	0.266635	5	0.00236205	-	379.624
crane_crab	basic	1	0.28155	0.561459	0.561459	0.281333	5	0.00027405	-	418.732
dance_argument	basic	1	0.460639	0.402041	0.408064	0.437153	5	0.00033626	-	387.518
dancer_guitar	basic	1	0.137036	0.729866	0.739187	0.134142	5	3.449e-05	-	1004.43
horse_circle	basic	1	0.181426	0.844956	0.845325	0.180803	5	0.00180365	-	773.975
robot_man	basic	1	0.160705	0.736137	0.73943	0.159115	5	0.00046406	-	601.201
siggraph_sigchi	basic	1	0.4015	0.272772	0.273323	0.397071	5	0.00044807	-	621.732
sun_moon	basic	1	0.381671	0.471904	0.474398	0.37963	5	0	-	399.38
teapot_droplets	basic	1	0.333906	0.425036	0.425302	0.331087	5	0	-	707.727
water_fire	basic	1	0.240935	0.682907	0.687144	0.202058	5	0.00015847	-	404.081
