step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.522,0.769226,0.142558,0.107569,0.177547,5,0.00000000,0,0.090498,0.114844,0.066151,0.625924,0.510815,0.741034,0.154607,0.119922,0.189292,0.026024,0.013458,0.186092,0.149168,0.000000,0,0,0,0,0
25,7.427,0.641206,0.205072,0.177175,0.232968,5,0.00004177,0,0.043828,0.055532,0.032124,0.826597,0.771047,0.882148,0.213733,0.187014,0.240452,0.012388,0.006455,0.162394,0.134639,0.000000,0,0,0,0,0
50,14.369,0.596212,0.251687,0.251495,0.251879,5,0.00001539,1,0.038273,0.047753,0.028792,0.873291,0.846581,0.900000,0.261318,0.263505,0.259131,0.010671,0.005779,0.146612,0.130925,0.000000,0,0,0,0,0
75,21.177,0.548944,0.298340,0.334890,0.261791,5,0.00000793,1,0.031516,0.041379,0.021654,0.909519,0.893935,0.925103,0.308103,0.348747,0.267460,0.009250,0.004228,0.129454,0.128168,0.000000,0,0,0,0,0
100,27.806,0.511445,0.340253,0.408746,0.271761,5,0.00000728,0,0.029202,0.040082,0.018322,0.925872,0.913841,0.937903,0.350935,0.425130,0.276740,0.008631,0.003540,0.114517,0.125989,0.000000,0,0,0,0,0
125,34.363,0.486305,0.370187,0.444884,0.295489,5,0.00001877,0,0.026694,0.037921,0.015467,0.937544,0.924108,0.950980,0.380907,0.461755,0.300059,0.008183,0.003046,0.107410,0.121701,0.000000,0,0,0,0,0
150,40.976,0.461547,0.400839,0.481847,0.319831,5,0.00000144,1,0.025947,0.038570,0.013325,0.944475,0.928443,0.960508,0.412262,0.500432,0.324093,0.008386,0.002430,0.100278,0.116974,0.000000,0,0,0,0,0
175,47.386,0.453958,0.405777,0.489300,0.322254,5,0.00000836,0,0.022148,0.034896,0.009399,0.953723,0.935529,0.971916,0.415828,0.506374,0.325283,0.007733,0.001839,0.098652,0.116360,0.000000,0,0,0,0,0
200,53.768,0.442684,0.414468,0.496391,0.332545,5,0.00000004,0,0.019580,0.032736,0.006425,0.960571,0.939976,0.981165,0.423661,0.512640,0.334682,0.006934,0.001262,0.096827,0.114270,0.000000,0,0,0,0,0
225,60.066,0.437284,0.422244,0.498796,0.345691,5,0.00000000,0,0.020018,0.032303,0.007733,0.959625,0.940967,0.978283,0.431637,0.514909,0.348364,0.006804,0.001423,0.096249,0.112109,0.000000,0,0,0,0,0
250,66.417,0.430658,0.430975,0.502471,0.359478,5,0.00000000,0,0.019556,0.027334,0.011779,0.959171,0.949712,0.968631,0.439959,0.516206,0.363712,0.005858,0.002111,0.095348,0.110020,0.000000,0,0,0,0,0
275,72.769,0.427895,0.435335,0.504636,0.366034,5,0.00000009,0,0.020195,0.025281,0.015110,0.957169,0.953414,0.960923,0.444479,0.517394,0.371565,0.005332,0.002761,0.094647,0.109185,0.000000,0,0,0,0,0
300,79.190,0.419755,0.442075,0.513111,0.371040,5,0.00000036,0,0.017872,0.021824,0.013920,0.962179,0.960040,0.964318,0.450257,0.524309,0.376205,0.004592,0.002552,0.092698,0.108250,0.000000,0,0,0,0,0
325,85.521,0.413427,0.448788,0.519609,0.377967,5,0.00000000,0,0.016950,0.016530,0.017371,0.963217,0.969655,0.956779,0.456365,0.528198,0.384533,0.003497,0.003179,0.091026,0.107342,0.000000,0,0,0,0,0
350,92.036,0.413610,0.454859,0.528054,0.381664,5,0.00000000,0,0.018722,0.010912,0.026532,0.958272,0.979968,0.936576,0.462803,0.533816,0.391791,0.002382,0.005432,0.089054,0.107984,0.000000,0,0,0,0,0
