step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.519,0.680296,0.097724,0.086504,0.108944,5,0.00000000,0,0.377116,0.061980,0.692253,0.403719,0.597127,0.210311,0.138114,0.091866,0.184362,0.014558,0.040935,0.186501,0.084280,0.000000,0,0,0,0,0
25,7.321,0.551612,0.121904,0.077592,0.166215,5,0.00000000,0,0.175402,0.027991,0.322812,0.572695,0.740234,0.405155,0.149818,0.079764,0.219871,0.006520,0.018947,0.182425,0.061546,0.000000,0,0,0,0,0
50,13.690,0.525645,0.144193,0.078969,0.209417,5,0.00000000,0,0.135239,0.028728,0.241750,0.628492,0.738756,0.518227,0.170640,0.081238,0.260043,0.006644,0.014103,0.182150,0.054739,0.000000,0,0,0,0,0
75,20.024,0.513155,0.172608,0.092789,0.252427,5,0.00000000,0,0.126150,0.033147,0.219154,0.663569,0.743067,0.584071,0.201806,0.095864,0.307747,0.007619,0.012874,0.180141,0.050820,0.000000,0,0,0,0,0
100,26.644,0.499141,0.188676,0.108580,0.268772,5,0.00017010,0,0.116966,0.030201,0.203730,0.700506,0.787407,0.613605,0.217694,0.111859,0.323529,0.007117,0.011907,0.176691,0.049039,0.000000,0,0,0,0,0
125,33.209,0.480859,0.207177,0.141654,0.272700,5,0.00000026,0,0.116583,0.024413,0.208752,0.734124,0.855990,0.612258,0.237370,0.145112,0.329627,0.005732,0.012181,0.169124,0.048914,0.000000,0,0,0,0,0
150,39.721,0.468213,0.219424,0.167798,0.271050,5,0.00000000,0,0.114495,0.023466,0.205524,0.746833,0.879784,0.613881,0.249246,0.171735,0.326758,0.005319,0.012049,0.163444,0.048953,0.000000,0,0,0,0,0
175,46.179,0.454750,0.231853,0.188422,0.275284,5,0.00000000,0,0.109246,0.019783,0.198709,0.765403,0.906653,0.624152,0.261068,0.192150,0.329986,0.004448,0.011638,0.158896,0.048371,0.000000,0,0,0,0,0
200,52.702,0.447393,0.244434,0.202683,0.286184,5,0.00000000,0,0.109552,0.019678,0.199426,0.772791,0.913064,0.632518,0.274964,0.206672,0.343257,0.004389,0.011657,0.155987,0.047652,0.000000,0,0,0,0,0
225,59.157,0.447631,0.246138,0.206264,0.286012,5,0.00000000,0,0.113263,0.021362,0.205165,0.767406,0.907937,0.626875,0.277681,0.210670,0.344692,0.004418,0.012050,0.155257,0.047974,0.000000,0,0,0,0,0
250,65.475,0.446234,0.250828,0.214551,0.287105,5,0.00000000,0,0.118359,0.021151,0.215567,0.765064,0.911958,0.618170,0.284042,0.219089,0.348996,0.004400,0.012629,0.153677,0.048154,0.000000,0,0,0,0,0
275,71.779,0.441139,0.263365,0.224637,0.302093,5,0.00000000,0,0.119339,0.021677,0.217001,0.771267,0.913699,0.628834,0.298577,0.229506,0.367647,0.004492,0.012810,0.151590,0.047352,0.000000,0,0,0,0,0
