pair	group	n	milestone	mean_steps	mean_seconds	reached
cat_face_bass	basic	1	iou_0p50	50	82.877	1/1
cat_face_bass	basic	1	iou_0p60	75	122.087	1/1
cat_face_bass	basic	1	iou_0p70	150	241.072	1/1
cat_face_bass	basic	1	iou_0p75	225	358.054	1/1
cat_face_bass	basic	1	iou_0p80	275	436.217	1/1
cat_face_bass	basic	1	iou_0p85	450	710.034	1/1
cat_face_bass	basic	1	iou_0p90	1250	1945.76	1/1
cat_face_bass	basic	1	rel_90pct	350	554.008	1/1
cat_face_bass	basic	1	rel_95pct	750	1173.98	1/1
cat_face_bass	basic	1	rel_99pct	1425	2216.71	1/1
robot_man	basic	1	iou_0p50	25	35.981	1/1
robot_man	basic	1	iou_0p60	50	70.439	1/1
robot_man	basic	1	iou_0p70	75	105.205	1/1
robot_man	basic	1	iou_0p75	125	175.22	1/1
robot_man	basic	1	iou_0p80	150	210.105	1/1
robot_man	basic	1	iou_0p85	200	279.43	1/1
robot_man	basic	1	iou_0p90	-	-	0/1
robot_man	basic	1	rel_90pct	150	210.105	1/1
robot_man	basic	1	rel_95pct	175	244.751	1/1
robot_man	basic	1	rel_99pct	400	555.424	1/1
sun_moon	basic	1	iou_0p50	50	92.685	1/1
sun_moon	basic	1	iou_0p60	50	92.685	1/1
sun_moon	basic	1	iou_0p70	100	184.022	1/1
sun_moon	basic	1	iou_0p75	125	229.564	1/1
sun_moon	basic	1	iou_0p80	225	411.846	1/1
sun_moon	basic	1	iou_0p85	350	642.313	1/1
sun_moon	basic	1	iou_0p90	1100	2022.42	1/1
sun_moon	basic	1	rel_90pct	325	595.573	1/1
sun_moon	basic	1	rel_95pct	725	1336.37	1/1
sun_moon	basic	1	rel_99pct	1550	2822.23	1/1
water_fire	basic	1	iou_0p50	25	32.85	1/1
water_fire	basic	1	iou_0p60	50	63.992	1/1
water_fire	basic	1	iou_0p70	75	95.156	1/1
water_fire	basic	1	iou_0p75	100	126.603	1/1
water_fire	basic	1	iou_0p80	125	157.482	1/1
water_fire	basic	1	iou_0p85	175	218.637	1/1
water_fire	basic	1	iou_0p90	350	435.429	1/1
water_fire	basic	1	rel_90pct	175	218.637	1/1
water_fire	basic	1	rel_95pct	375	466.557	1/1
water_fire	basic	1	rel_99pct	1575	1953.3	1/1
