step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.279,0.872196,0.255926,0.250617,0.261235,30,0.00051687,0,0.167351,0.134854,0.199848,0.644506,0.678358,0.610653,0.298928,0.284414,0.313443,0.033650,0.045387,0.171863,0.165257,0.000000,0,0,0,0,0
25,42.695,0.610649,0.405815,0.368990,0.442641,30,0.00000632,2,0.091496,0.073629,0.109363,0.830562,0.843271,0.817853,0.443604,0.396158,0.491049,0.018063,0.024675,0.136714,0.115185,0.000000,0,0,0,0,0
50,82.877,0.470840,0.538875,0.470149,0.607601,30,0.00018143,2,0.073904,0.057323,0.090485,0.888226,0.896608,0.879844,0.579839,0.497099,0.662580,0.013978,0.020402,0.112961,0.079420,0.000000,0,0,0,0,0
75,122.087,0.392551,0.617904,0.538505,0.697302,30,0.00044128,2,0.066306,0.054822,0.077791,0.909091,0.911982,0.906201,0.659787,0.568027,0.751546,0.013198,0.017261,0.097831,0.060215,0.000000,0,0,0,0,0
100,161.079,0.353013,0.661039,0.572712,0.749366,30,0.00011029,3,0.064056,0.058023,0.070088,0.916116,0.912611,0.919622,0.703915,0.605942,0.801888,0.013681,0.015529,0.090593,0.049362,0.000000,0,0,0,0,0
125,200.975,0.333983,0.685659,0.594623,0.776695,30,0.00006264,2,0.064659,0.060424,0.068894,0.917963,0.912552,0.923374,0.730379,0.630552,0.830205,0.014485,0.015103,0.086213,0.043771,0.000000,0,0,0,0,0
150,241.072,0.314104,0.711520,0.613200,0.809840,30,0.00001234,1,0.063476,0.064026,0.062927,0.921258,0.910639,0.931877,0.756631,0.652461,0.860801,0.015720,0.014003,0.082627,0.037267,0.000000,0,0,0,0,0
175,280.057,0.299692,0.728049,0.624146,0.831952,30,0.00007833,1,0.064517,0.068928,0.060106,0.921279,0.906360,0.936197,0.774562,0.667167,0.881957,0.016460,0.013189,0.080207,0.032550,0.000000,0,0,0,0,0
200,318.280,0.270502,0.744302,0.665812,0.822793,30,0.00010292,0,0.055232,0.053721,0.056743,0.933806,0.928874,0.938737,0.785530,0.701581,0.869480,0.012583,0.012192,0.070291,0.033955,0.000000,0,0,0,0,0
225,358.054,0.238979,0.767428,0.702819,0.832037,30,0.00010059,2,0.046677,0.046919,0.046436,0.944712,0.940056,0.949367,0.803234,0.735794,0.870674,0.010829,0.009671,0.062016,0.031813,0.000000,0,0,0,0,0
