step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.824,0.595475,0.302653,0.347459,0.257848,24,0.00084117,0,0.229949,0.191579,0.268319,0.616483,0.683657,0.549310,0.370529,0.414024,0.327033,0.025724,0.039635,0.093382,0.122363,0.000000,0,0,0,0,0
25,32.850,0.336076,0.505210,0.521995,0.488424,24,0.00019062,2,0.093573,0.083040,0.104105,0.855058,0.871928,0.838189,0.552307,0.565341,0.539272,0.010989,0.015186,0.062075,0.073178,0.000000,0,0,0,0,0
50,63.992,0.247760,0.636174,0.636492,0.635856,24,0.00007697,2,0.076998,0.072974,0.081022,0.899009,0.903462,0.894556,0.685157,0.682939,0.687374,0.009572,0.011601,0.046675,0.050712,0.000000,0,0,0,0,0
75,95.156,0.183150,0.728324,0.737480,0.719168,24,0.00008732,3,0.058529,0.051837,0.065221,0.929452,0.937361,0.921543,0.770891,0.775709,0.766073,0.006771,0.009380,0.032969,0.038387,0.000000,0,0,0,0,0
100,126.603,0.144164,0.795922,0.817365,0.774480,24,0.00005690,2,0.055025,0.045294,0.064756,0.938423,0.949655,0.927190,0.839509,0.854387,0.824632,0.005813,0.009237,0.022671,0.030578,0.000000,0,0,0,0,0
125,157.482,0.125694,0.827183,0.845288,0.809079,24,0.00003977,0,0.052231,0.043114,0.061348,0.943353,0.953383,0.933322,0.870223,0.881731,0.858714,0.005480,0.008827,0.019079,0.025871,0.000000,0,0,0,0,0
150,187.915,0.115001,0.845912,0.860244,0.831580,24,0.00004244,1,0.051843,0.043114,0.060573,0.944945,0.954156,0.935733,0.889642,0.897333,0.881952,0.005484,0.008680,0.017131,0.022650,0.000000,0,0,0,0,0
175,218.637,0.102306,0.866226,0.876230,0.856223,24,0.00008638,2,0.048843,0.039591,0.058095,0.949044,0.958348,0.939740,0.908443,0.910921,0.905964,0.005071,0.008268,0.015182,0.019266,0.000000,0,0,0,0,0
200,249.424,0.091415,0.881825,0.887247,0.876403,24,0.00004775,3,0.046782,0.044456,0.049109,0.951760,0.954224,0.949296,0.923066,0.926690,0.919442,0.005514,0.007089,0.013556,0.016380,0.000000,0,0,0,0,0
225,280.258,0.086894,0.888090,0.880576,0.895604,24,0.00006813,2,0.046271,0.049321,0.043222,0.952556,0.949328,0.955784,0.929160,0.924006,0.934314,0.006229,0.006079,0.014548,0.013489,0.000000,0,0,0,0,0
250,311.123,0.086169,0.891807,0.883109,0.900505,24,0.00008920,2,0.044007,0.044791,0.043222,0.954858,0.953702,0.956015,0.931045,0.922664,0.939427,0.005970,0.006394,0.014541,0.013057,0.000000,0,0,0,0,0
275,341.986,0.082416,0.893219,0.883054,0.903384,24,0.00009135,3,0.042639,0.041436,0.043842,0.956230,0.956886,0.955573,0.931317,0.919644,0.942990,0.005258,0.006171,0.014318,0.012572,0.000000,0,0,0,0,0
300,373.275,0.079658,0.898467,0.888207,0.908727,24,0.00007049,0,0.041129,0.038416,0.043842,0.957918,0.960014,0.955823,0.935448,0.922328,0.948567,0.005107,0.006210,0.013842,0.011817,0.000000,0,0,0,0,0
325,404.166,0.078978,0.898543,0.891068,0.906018,24,0.00008923,2,0.039987,0.034893,0.045081,0.959047,0.963541,0.954553,0.934512,0.922161,0.946863,0.004575,0.006487,0.013384,0.012247,0.000000,0,0,0,0,0
350,435.429,0.074806,0.902823,0.894531,0.911114,24,0.00009032,1,0.037348,0.030700,0.043997,0.961783,0.967776,0.955791,0.936597,0.921993,0.951201,0.003977,0.006324,0.012907,0.011588,0.000000,0,0,0,0,0
375,466.557,0.067694,0.908701,0.893634,0.923768,24,0.00007662,1,0.033720,0.033048,0.034392,0.965348,0.965439,0.965258,0.939353,0.923167,0.955538,0.004203,0.004804,0.012905,0.009655,0.000000,0,0,0,0,0
400,497.637,0.062191,0.914197,0.897474,0.930921,24,0.00009436,1,0.030397,0.029190,0.031603,0.968753,0.969366,0.968140,0.942006,0.923671,0.960341,0.003744,0.004292,0.012425,0.008593,0.000000,0,0,0,0,0
425,528.765,0.060475,0.914469,0.898711,0.930226,24,0.00005284,1,0.029364,0.028519,0.030209,0.969755,0.970070,0.969441,0.941334,0.924342,0.958327,0.003521,0.004051,0.012116,0.008638,0.000000,0,0,0,0,0
450,559.904,0.060611,0.917016,0.902905,0.931128,24,0.00009801,1,0.029112,0.028015,0.030209,0.970085,0.970702,0.969469,0.943728,0.928200,0.959256,0.003475,0.004370,0.011620,0.008845,0.000000,0,0,0,0,0
475,591.287,0.059519,0.916379,0.901849,0.930910,24,0.00007107,1,0.028474,0.025499,0.031448,0.970727,0.973169,0.968286,0.942515,0.924845,0.960186,0.003078,0.004426,0.011647,0.008707,0.000000,0,0,0,0,0
500,622.568,0.059107,0.918357,0.904302,0.932412,24,0.00005983,1,0.028474,0.025499,0.031448,0.970788,0.973239,0.968336,0.944548,0.927361,0.961735,0.003207,0.004417,0.011527,0.008475,0.000000,0,0,0,0,0
525,653.709,0.060598,0.917102,0.905815,0.928390,24,0.00004830,2,0.029120,0.024157,0.034082,0.970169,0.974621,0.965716,0.943864,0.927697,0.960031,0.003074,0.004792,0.011321,0.009129,0.000000,0,0,0,0,0
550,684.715,0.061859,0.916900,0.906669,0.927132,24,0.00002412,3,0.031914,0.026338,0.037490,0.967481,0.972475,0.962486,0.946219,0.930549,0.961890,0.003241,0.005157,0.011198,0.009226,0.000000,0,0,0,0,0
575,715.880,0.060915,0.918127,0.907544,0.928710,24,0.00006182,1,0.030862,0.025164,0.036561,0.968538,0.973666,0.963411,0.946523,0.930381,0.962665,0.003079,0.005110,0.011118,0.009082,0.000000,0,0,0,0,0
600,747.286,0.060356,0.917648,0.904458,0.930838,24,0.00003328,2,0.029255,0.023654,0.034857,0.970083,0.975088,0.965078,0.944568,0.925851,0.963284,0.003006,0.004855,0.011482,0.008858,0.000000,0,0,0,0,0
625,778.504,0.056475,0.918259,0.898952,0.937566,24,0.00005800,1,0.024556,0.024325,0.024787,0.974557,0.974263,0.974851,0.940812,0.920819,0.960806,0.003038,0.003520,0.012159,0.007860,0.000000,0,0,0,0,0
650,809.120,0.053986,0.921540,0.900964,0.942115,24,0.00009132,0,0.023090,0.026506,0.019675,0.976035,0.972139,0.979930,0.942748,0.924845,0.960651,0.003420,0.002807,0.011909,0.007269,0.000000,0,0,0,0,0
675,839.600,0.052516,0.924337,0.906311,0.942363,24,0.00010844,0,0.023691,0.026002,0.021379,0.975534,0.972797,0.978271,0.946194,0.929878,0.962510,0.003345,0.002904,0.011256,0.007153,0.000000,0,0,0,0,0
700,869.846,0.049400,0.927090,0.909956,0.944225,24,0.00012995,0,0.021090,0.022815,0.019365,0.978175,0.976073,0.980278,0.946613,0.930716,0.962510,0.002894,0.002678,0.010747,0.006943,0.000000,0,0,0,0,0
725,899.712,0.047884,0.929888,0.913929,0.945847,24,0.00010267,1,0.019870,0.021305,0.018435,0.979453,0.977684,0.981221,0.948342,0.933400,0.963284,0.002720,0.002633,0.010374,0.006840,0.000000,0,0,0,0,0
750,929.490,0.045211,0.931041,0.915914,0.946168,24,0.00009080,0,0.020109,0.021473,0.018745,0.979244,0.977564,0.980924,0.949743,0.935581,0.963904,0.002545,0.002387,0.009918,0.006491,0.000000,0,0,0,0,0
775,959.052,0.045641,0.931529,0.917860,0.945197,24,0.00008413,0,0.018393,0.019124,0.017661,0.980968,0.979965,0.981971,0.948652,0.935414,0.961890,0.002452,0.002435,0.009882,0.006800,0.000000,0,0,0,0,0
800,989.420,0.046524,0.931062,0.917434,0.944689,24,0.00007195,0,0.019741,0.019963,0.019520,0.979624,0.979112,0.980136,0.949439,0.935749,0.963129,0.002461,0.002744,0.009905,0.006826,0.000000,0,0,0,0,0
825,1019.156,0.044419,0.932768,0.920475,0.945062,24,0.00005108,1,0.017373,0.016776,0.017971,0.982027,0.982391,0.981663,0.948981,0.935917,0.962045,0.002215,0.002528,0.009596,0.006666,0.000000,0,0,0,0,0
850,1049.950,0.044817,0.933446,0.917325,0.949566,24,0.00004751,1,0.017676,0.018621,0.016731,0.981713,0.980461,0.982965,0.949930,0.934407,0.965453,0.002289,0.002602,0.009774,0.006504,0.000000,0,0,0,0,0
875,1080.318,0.044030,0.933490,0.918192,0.948788,24,0.00004270,3,0.016766,0.017111,0.016421,0.982632,0.982007,0.983257,0.949136,0.933904,0.964369,0.002131,0.002426,0.009777,0.006526,0.000000,0,0,0,0,0
900,1110.419,0.045320,0.931747,0.916887,0.946608,24,0.00005854,1,0.017857,0.017279,0.018435,0.981524,0.981812,0.981236,0.948394,0.932729,0.964059,0.002304,0.002514,0.010012,0.006605,0.000000,0,0,0,0,0
925,1140.472,0.043698,0.934388,0.919637,0.949140,24,0.00008581,1,0.016979,0.016608,0.017351,0.982447,0.982546,0.982348,0.950259,0.934910,0.965608,0.002110,0.002518,0.009608,0.006427,0.000000,0,0,0,0,0
950,1170.739,0.042524,0.934030,0.918388,0.949672,24,0.00007319,2,0.015618,0.015434,0.015802,0.983802,0.983720,0.983884,0.948620,0.932562,0.964679,0.002006,0.002173,0.009805,0.006208,0.000000,0,0,0,0,0
975,1200.989,0.042946,0.934286,0.919459,0.949114,24,0.00008640,1,0.015114,0.016440,0.013788,0.984293,0.982713,0.985873,0.948387,0.934575,0.962200,0.002152,0.002085,0.009663,0.006484,0.000000,0,0,0,0,0
1000,1231.409,0.043243,0.934322,0.919855,0.948788,24,0.00006162,1,0.016850,0.017279,0.016421,0.982563,0.981869,0.983257,0.950059,0.935749,0.964369,0.002150,0.002374,0.009567,0.006377,0.000000,0,0,0,0,0
1025,1261.552,0.041586,0.934537,0.919182,0.949893,24,0.00008708,1,0.015604,0.017111,0.014098,0.983801,0.982026,0.985576,0.949097,0.934910,0.963284,0.002025,0.001984,0.009566,0.006185,0.000000,0,0,0,0,0
1050,1291.997,0.042607,0.934553,0.917641,0.951465,24,0.00007124,1,0.016740,0.018453,0.015027,0.982658,0.980637,0.984679,0.950169,0.934575,0.965763,0.002360,0.002017,0.009897,0.005910,0.000000,0,0,0,0,0
1075,1321.934,0.040378,0.937027,0.922174,0.951879,24,0.00006676,1,0.014682,0.015266,0.014098,0.984781,0.983956,0.985606,0.950775,0.936252,0.965298,0.001953,0.001988,0.009321,0.005919,0.000000,0,0,0,0,0
1100,1352.279,0.039634,0.937887,0.922481,0.953292,24,0.00007825,1,0.014365,0.017111,0.011619,0.985092,0.982090,0.988095,0.951317,0.938265,0.964369,0.002024,0.001749,0.009199,0.005875,0.000000,0,0,0,0,0
1125,1382.982,0.041234,0.935136,0.920119,0.950152,24,0.00008540,1,0.016353,0.016440,0.016266,0.983079,0.982725,0.983433,0.950427,0.935246,0.965608,0.001963,0.002126,0.009496,0.005979,0.000000,0,0,0,0,0
1150,1413.813,0.040272,0.936801,0.921578,0.952024,24,0.00008510,1,0.015024,0.016105,0.013943,0.984427,0.983093,0.985762,0.950859,0.936420,0.965298,0.001966,0.001964,0.009295,0.005898,0.000000,0,0,0,0,0
1175,1444.431,0.042009,0.937006,0.922314,0.951699,24,0.00005658,1,0.015831,0.014930,0.016731,0.983652,0.984301,0.983003,0.951853,0.936085,0.967622,0.001928,0.002495,0.009358,0.006099,0.000000,0,0,0,0,0
1200,1475.640,0.040754,0.936591,0.919365,0.953816,24,0.00007544,1,0.014140,0.015266,0.013013,0.985310,0.983908,0.986711,0.949814,0.933400,0.966228,0.001959,0.001944,0.009615,0.005856,0.000000,0,0,0,0,0
1225,1506.807,0.037448,0.939268,0.922708,0.955828,24,0.00008795,1,0.011829,0.013588,0.010070,0.987678,0.985679,0.989678,0.950349,0.935246,0.965453,0.001686,0.001452,0.009219,0.005551,0.000000,0,0,0,0,0
1250,1538.966,0.039357,0.937365,0.922007,0.952723,24,0.00010014,1,0.012817,0.013085,0.012548,0.986672,0.986185,0.987159,0.949375,0.934071,0.964679,0.001635,0.001847,0.009353,0.005937,0.000000,0,0,0,0,0
1275,1571.190,0.039983,0.935726,0.918883,0.952570,24,0.00010718,1,0.015618,0.015434,0.015802,0.983830,0.983728,0.983932,0.950343,0.933065,0.967622,0.001698,0.002104,0.009409,0.005793,0.000000,0,0,0,0,0
1300,1603.573,0.038769,0.937411,0.920840,0.953983,24,0.00011876,1,0.014211,0.015098,0.013323,0.985255,0.984105,0.986405,0.950717,0.934742,0.966692,0.001701,0.001817,0.009286,0.005658,0.000000,0,0,0,0,0
1325,1635.595,0.038308,0.938059,0.921601,0.954518,24,0.00011546,1,0.012939,0.014259,0.011619,0.986542,0.984974,0.988110,0.950175,0.934742,0.965608,0.001635,0.001705,0.009226,0.005712,0.000000,0,0,0,0,0
1350,1667.705,0.039408,0.936550,0.923306,0.949794,24,0.00010979,1,0.013966,0.012750,0.015182,0.985524,0.986549,0.984499,0.949646,0.935078,0.964214,0.001459,0.002095,0.009090,0.006134,0.000000,0,0,0,0,0
1375,1699.107,0.036741,0.939503,0.923944,0.955061,24,0.00009400,1,0.011242,0.012414,0.010070,0.988286,0.986903,0.989669,0.950046,0.935414,0.964679,0.001464,0.001536,0.008926,0.005661,0.000000,0,0,0,0,0
1400,1730.127,0.038828,0.937462,0.921968,0.952956,24,0.00013475,1,0.013417,0.012582,0.014253,0.986085,0.986702,0.985468,0.950053,0.933568,0.966538,0.001439,0.002023,0.009166,0.005874,0.000000,0,0,0,0,0
1425,1761.609,0.038807,0.938335,0.922708,0.953961,24,0.00014313,1,0.013223,0.013588,0.012858,0.986273,0.985679,0.986867,0.950737,0.935246,0.966228,0.001608,0.001918,0.009139,0.005807,0.000000,0,0,0,0,0
1450,1793.553,0.038846,0.939104,0.926866,0.951342,24,0.00014079,1,0.013611,0.011575,0.015647,0.985935,0.987805,0.984064,0.951911,0.937594,0.966228,0.001513,0.002180,0.008726,0.006032,0.000000,0,0,0,0,0
1475,1825.710,0.038235,0.939369,0.927318,0.951421,24,0.00014126,1,0.013675,0.013253,0.014098,0.985845,0.986092,0.985599,0.952220,0.939607,0.964833,0.001582,0.002037,0.008508,0.006036,0.000000,0,0,0,0,0
1500,1858.008,0.038411,0.939205,0.927318,0.951093,24,0.00015259,1,0.013443,0.013253,0.013633,0.986074,0.986092,0.986056,0.951833,0.939607,0.964059,0.001533,0.002012,0.008555,0.006167,0.000000,0,0,0,0,0
1525,1889.709,0.039613,0.938944,0.928536,0.949352,24,0.00014278,1,0.013617,0.011743,0.015492,0.985920,0.987654,0.984185,0.951749,0.939440,0.964059,0.001559,0.002295,0.008569,0.006370,0.000000,0,0,0,0,0
1550,1921.793,0.037828,0.940650,0.930783,0.950518,24,0.00011661,1,0.015295,0.013085,0.017506,0.984267,0.986313,0.982222,0.955060,0.942963,0.967157,0.001503,0.002271,0.008169,0.005987,0.000000,0,0,0,0,0
1575,1953.300,0.037116,0.944152,0.934348,0.953956,24,0.00012317,1,0.015269,0.014427,0.016112,0.984329,0.985007,0.983650,0.958577,0.947828,0.969326,0.001618,0.002381,0.007625,0.005891,0.000000,0,0,0,0,0
1600,1985.117,0.037879,0.941608,0.934250,0.948967,24,0.00010783,1,0.016451,0.012917,0.019985,0.983152,0.986534,0.979771,0.957125,0.946318,0.967932,0.001382,0.002663,0.007639,0.006207,0.000000,0,0,0,0,0
1625,2016.440,0.039105,0.942478,0.937043,0.947912,24,0.00014009,1,0.015019,0.009898,0.020139,0.984624,0.989649,0.979598,0.956660,0.946318,0.967002,0.001346,0.002918,0.007665,0.006509,0.000000,0,0,0,0,0
1650,2048.080,0.040045,0.941160,0.939303,0.943017,24,0.00010586,2,0.018259,0.011575,0.024942,0.981404,0.987964,0.974844,0.958357,0.950176,0.966538,0.001369,0.003315,0.007164,0.006966,0.000000,0,0,0,0,0
1675,2079.115,0.037707,0.943891,0.938102,0.949681,24,0.00013954,2,0.014980,0.010904,0.019055,0.984662,0.988632,0.980691,0.958054,0.948331,0.967777,0.001425,0.002688,0.007354,0.006309,0.000000,0,0,0,0,0
1700,2110.247,0.038477,0.943963,0.940063,0.947863,24,0.00013729,1,0.016277,0.010401,0.022153,0.983407,0.989168,0.977646,0.959351,0.949841,0.968861,0.001366,0.003102,0.007099,0.006506,0.000000,0,0,0,0,0
1725,2141.005,0.039569,0.944305,0.941743,0.946866,24,0.00012596,1,0.017065,0.010736,0.023393,0.982637,0.988846,0.976428,0.960435,0.951854,0.969016,0.001357,0.003466,0.006863,0.006848,0.000000,0,0,0,0,0
1750,2171.739,0.037930,0.944109,0.940786,0.947432,24,0.00010089,1,0.017013,0.011407,0.022618,0.982670,0.988153,0.977187,0.960190,0.951518,0.968861,0.001474,0.002974,0.007016,0.006354,0.000000,0,0,0,0,0
1775,2202.059,0.040751,0.940255,0.934736,0.945774,24,0.00010771,1,0.017761,0.012750,0.022773,0.981855,0.986711,0.976999,0.956983,0.946653,0.967312,0.001596,0.003153,0.007739,0.006662,0.000000,0,0,0,0,0
1800,2233.083,0.036816,0.943224,0.937832,0.948617,24,0.00010987,1,0.015483,0.011911,0.019055,0.984137,0.987605,0.980669,0.957847,0.949002,0.966692,0.001440,0.002506,0.007258,0.006179,0.000000,0,0,0,0,0
1825,2263.698,0.038411,0.943418,0.937686,0.949150,24,0.00011889,1,0.016425,0.012246,0.020604,0.983218,0.987262,0.979173,0.958938,0.949170,0.968706,0.001609,0.002804,0.007454,0.006193,0.000000,0,0,0,0,0
1850,2294.677,0.036785,0.945895,0.938982,0.952809,24,0.00012969,1,0.014702,0.011743,0.017661,0.984951,0.987790,0.982112,0.959822,0.950008,0.969636,0.001375,0.002726,0.007161,0.006060,0.000000,0,0,0,0,0
1875,2325.845,0.035759,0.947279,0.942046,0.952511,24,0.00013479,1,0.014024,0.010233,0.017816,0.985658,0.989362,0.981955,0.960583,0.951686,0.969481,0.001293,0.002665,0.006869,0.006016,0.000000,0,0,0,0,0
1900,2357.105,0.036294,0.946056,0.940728,0.951383,24,0.00012522,1,0.016464,0.013253,0.019675,0.983205,0.986287,0.980122,0.961648,0.953196,0.970101,0.001726,0.002506,0.007025,0.005788,0.000000,0,0,0,0,0
1925,2388.677,0.036673,0.945609,0.939821,0.951397,24,0.00009419,1,0.015948,0.011911,0.019985,0.983726,0.987631,0.979822,0.960713,0.951015,0.970411,0.001555,0.002634,0.007213,0.005854,0.000000,0,0,0,0,0
1950,2420.524,0.034951,0.948180,0.941537,0.954823,24,0.00011479,1,0.013972,0.012917,0.015027,0.985684,0.986637,0.984732,0.961435,0.953699,0.969171,0.001595,0.002300,0.006885,0.005681,0.000000,0,0,0,0,0
1975,2452.375,0.035054,0.947082,0.941820,0.952345,24,0.00008317,1,0.014792,0.012079,0.017506,0.984871,0.987487,0.982255,0.961106,0.953196,0.969016,0.001508,0.002411,0.006805,0.005794,0.000000,0,0,0,0,0
2000,2484.451,0.037929,0.943957,0.940514,0.947400,24,0.00010256,1,0.017206,0.012414,0.021998,0.982458,0.987130,0.977785,0.960215,0.952189,0.968242,0.001511,0.002904,0.007063,0.006347,0.000000,0,0,0,0,0
2025,2515.065,0.034869,0.947191,0.941683,0.952700,24,0.00006006,0,0.015586,0.012582,0.018590,0.984090,0.986977,0.981203,0.961971,0.953531,0.970411,0.001442,0.002488,0.006792,0.005709,0.000000,0,0,0,0,0
2050,2546.585,0.035234,0.947851,0.943459,0.952243,24,0.00009097,0,0.015167,0.011743,0.018590,0.984521,0.987847,0.981194,0.962242,0.954538,0.969946,0.001541,0.002501,0.006735,0.005797,0.000000,0,0,0,0,0
2075,2577.205,0.034777,0.948816,0.942928,0.954704,24,0.00008199,0,0.016651,0.014092,0.019210,0.983059,0.985477,0.980640,0.964630,0.956215,0.973044,0.001814,0.002406,0.006767,0.005318,0.000000,0,0,0,0,0
2100,2608.120,0.031564,0.952720,0.944242,0.961198,24,0.00006387,0,0.012501,0.010904,0.014098,0.987224,0.988705,0.985743,0.964643,0.954538,0.974748,0.001369,0.002099,0.006607,0.004817,0.000000,0,0,0,0,0
2125,2638.587,0.033942,0.949911,0.943874,0.955947,24,0.00007070,0,0.016541,0.013253,0.019830,0.983199,0.986332,0.980065,0.965643,0.956383,0.974903,0.001514,0.002668,0.006444,0.005274,0.000000,0,0,0,0,0
2150,2669.133,0.037024,0.947265,0.939059,0.955471,24,0.00005656,1,0.017567,0.015769,0.019365,0.982121,0.983737,0.980505,0.963920,0.953867,0.973974,0.002056,0.002629,0.007327,0.005308,0.000000,0,0,0,0,0
2175,2699.528,0.038962,0.945273,0.935675,0.954870,24,0.00007059,0,0.018315,0.017111,0.019520,0.981340,0.982338,0.980343,0.962597,0.951686,0.973509,0.002353,0.002588,0.007864,0.005415,0.000000,0,0,0,0,0
2200,2729.875,0.037576,0.944307,0.934193,0.954421,24,0.00006317,0,0.017135,0.014595,0.019675,0.982510,0.984835,0.980184,0.960513,0.947828,0.973199,0.001754,0.002644,0.007780,0.005488,0.000000,0,0,0,0,0
2225,2760.195,0.038871,0.941703,0.931126,0.952280,24,0.00005235,1,0.016309,0.013253,0.019365,0.983294,0.986148,0.980441,0.957093,0.943466,0.970720,0.001672,0.002651,0.008273,0.005741,0.000000,0,0,0,0,0
2250,2790.058,0.039443,0.942434,0.930075,0.954794,24,0.00006789,0,0.016819,0.012414,0.021224,0.982842,0.986988,0.978697,0.958339,0.941621,0.975058,0.001527,0.003019,0.008376,0.005640,0.000000,0,0,0,0,0
2275,2819.580,0.040234,0.939308,0.924760,0.953855,24,0.00007308,0,0.016425,0.012246,0.020604,0.983180,0.987087,0.979274,0.954797,0.936085,0.973509,0.001511,0.002822,0.009042,0.005633,0.000000,0,0,0,0,0
2300,2849.480,0.039449,0.938494,0.921419,0.955569,24,0.00007002,0,0.015018,0.011911,0.018125,0.984548,0.987387,0.981710,0.952642,0.932394,0.972889,0.001484,0.002430,0.009434,0.005373,0.000000,0,0,0,0,0
2325,2879.042,0.038706,0.938343,0.922681,0.954005,24,0.00007887,0,0.014134,0.011072,0.017196,0.985430,0.988271,0.982588,0.951654,0.932897,0.970411,0.001362,0.002261,0.009254,0.005542,0.000000,0,0,0,0,0
2350,2909.214,0.039200,0.938940,0.922504,0.955376,24,0.00007791,0,0.015141,0.013085,0.017196,0.984403,0.986192,0.982613,0.953190,0.934575,0.971805,0.001490,0.002449,0.009173,0.005476,0.000000,0,0,0,0,0
2375,2939.373,0.038253,0.939401,0.923702,0.955101,24,0.00007309,0,0.012907,0.011407,0.014407,0.986642,0.987937,0.985347,0.951550,0.934239,0.968861,0.001526,0.002014,0.009228,0.005449,0.000000,0,0,0,0,0
2400,2969.560,0.039937,0.937351,0.920690,0.954012,24,0.00008303,0,0.014211,0.011072,0.017351,0.985341,0.988246,0.982437,0.950725,0.930884,0.970565,0.001481,0.002304,0.009646,0.005562,0.000000,0,0,0,0,0
