step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.076,1.081650,0.134245,0.143790,0.124700,13,0.00000000,0,0.063733,0.053664,0.073802,0.691559,0.738441,0.644678,0.142705,0.151507,0.133903,0.014630,0.032290,0.194460,0.287715,0.000000,0,0,0,0,0
25,18.288,0.860847,0.234429,0.232493,0.236366,13,0.00014618,0,0.024828,0.025298,0.024358,0.906325,0.904056,0.908594,0.240249,0.238374,0.242123,0.006887,0.010552,0.169426,0.239147,0.000000,0,0,0,0,0
50,35.830,0.686678,0.367400,0.340230,0.394571,13,0.00003520,0,0.014996,0.020461,0.009531,0.960489,0.944346,0.976631,0.372762,0.347191,0.398332,0.005540,0.004056,0.144607,0.186725,0.000000,0,0,0,0,0
75,53.553,0.522016,0.519105,0.467212,0.570998,13,0.00011821,1,0.015900,0.022600,0.009200,0.969559,0.954833,0.984285,0.527011,0.477772,0.576251,0.006152,0.003898,0.116561,0.131843,0.000000,0,0,0,0,0
100,71.251,0.445676,0.594288,0.545982,0.642595,13,0.00000577,0,0.017820,0.026507,0.009134,0.970475,0.954841,0.986110,0.604459,0.560454,0.648464,0.007159,0.003956,0.099182,0.109761,0.000000,0,0,0,0,0
125,88.626,0.427761,0.626993,0.577930,0.676055,13,0.00000227,0,0.025837,0.034133,0.017540,0.960555,0.945974,0.975136,0.642785,0.597656,0.687914,0.009144,0.007621,0.092557,0.100366,0.000000,0,0,0,0,0
150,105.561,0.402978,0.646752,0.587050,0.706453,13,0.00004863,3,0.025354,0.034226,0.016481,0.962100,0.946636,0.977564,0.662620,0.607143,0.718096,0.009246,0.006881,0.090637,0.090676,0.000000,0,0,0,0,0
175,122.827,0.367139,0.676494,0.595232,0.757756,13,0.00046866,3,0.026413,0.041574,0.011252,0.961343,0.937157,0.985528,0.693130,0.619978,0.766283,0.011162,0.004738,0.089226,0.074305,0.000000,0,0,0,0,0
200,140.640,0.315513,0.726116,0.625189,0.827043,13,0.00096698,3,0.029129,0.046410,0.011848,0.959899,0.933758,0.986040,0.745523,0.654204,0.836841,0.012531,0.004903,0.082877,0.052748,0.000000,0,0,0,0,0
225,158.335,0.276545,0.760085,0.648143,0.872028,13,0.00091288,3,0.028801,0.044364,0.013238,0.961865,0.938491,0.985239,0.780234,0.676897,0.883572,0.011774,0.005693,0.077272,0.038847,0.000000,0,0,0,0,0
250,176.083,0.237712,0.788663,0.658683,0.918643,13,0.00114892,1,0.024869,0.036830,0.012907,0.967575,0.948831,0.986319,0.806722,0.682943,0.930500,0.009931,0.005619,0.074554,0.024463,0.000000,0,0,0,0,0
275,193.729,0.221470,0.801317,0.663165,0.939469,13,0.00099470,2,0.025237,0.035714,0.014760,0.967663,0.950573,0.984753,0.820092,0.686849,0.953336,0.009145,0.006305,0.073111,0.017962,0.000000,0,0,0,0,0
300,211.606,0.202812,0.817385,0.671372,0.963398,13,0.00098228,2,0.024454,0.034412,0.014496,0.969087,0.952788,0.985385,0.835919,0.694475,0.977363,0.009289,0.006163,0.071411,0.010336,0.000000,0,0,0,0,0
325,229.540,0.196815,0.825022,0.676020,0.974024,13,0.00108621,2,0.025823,0.037481,0.014165,0.967567,0.949270,0.985863,0.844589,0.701358,0.987821,0.010362,0.005859,0.070762,0.006989,0.000000,0,0,0,0,0
350,247.494,0.190607,0.830289,0.679678,0.980900,13,0.00030410,2,0.025395,0.038876,0.011914,0.967977,0.947815,0.988139,0.849344,0.706101,0.992587,0.010713,0.005244,0.070177,0.005074,0.000000,0,0,0,0,0
