step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.460,1.459260,0.161611,0.157580,0.165641,20,0.00000000,0
25,27.459,1.224856,0.234605,0.201410,0.267801,20,0.00000000,0
50,196.925,1.108704,0.304722,0.273002,0.336442,23,0.00011031,1
75,227.154,1.041984,0.348454,0.305683,0.391224,23,0.00005492,0
100,408.505,0.971465,0.396972,0.339956,0.453988,21,0.00000000,0
125,436.796,0.891304,0.448796,0.390156,0.507435,21,0.00000000,1
150,611.903,0.834397,0.488673,0.420414,0.556933,23,0.00000178,0
175,641.937,0.790623,0.517358,0.450394,0.584323,23,0.00000048,0
200,827.789,0.754808,0.540584,0.479937,0.601231,24,0.00000000,1
225,859.391,0.721571,0.558916,0.508295,0.609536,24,0.00000946,0
250,1055.492,0.696984,0.574023,0.531286,0.616760,22,0.00002276,0
275,1085.491,0.656935,0.594546,0.583268,0.605824,22,0.00001345,2
300,1275.586,0.628023,0.611548,0.613969,0.609127,22,0.00001017,1
325,1304.952,0.609852,0.622315,0.635827,0.608803,22,0.00003799,2
350,1494.387,0.572692,0.642997,0.666169,0.619825,23,0.00014308,1
375,1525.511,0.548220,0.657683,0.691268,0.624097,23,0.00029203,1
400,1713.544,0.544595,0.660259,0.701858,0.618659,22,0.00055028,1
425,1742.519,0.541147,0.663661,0.714647,0.612675,22,0.00022499,1
450,1929.486,0.539415,0.666660,0.724087,0.609232,23,0.00000966,1
475,1961.015,0.525695,0.674675,0.738335,0.611015,23,0.00005875,1
500,2162.590,0.512304,0.686878,0.746483,0.627273,24,0.00006184,2
525,2195.031,0.493060,0.697948,0.756616,0.639280,24,0.00002170,1
550,2404.372,0.472290,0.708256,0.771476,0.645036,26,0.00002817,2
575,2439.627,0.448256,0.722728,0.783901,0.661555,26,0.00000606,1
600,2660.561,0.431811,0.735392,0.795450,0.675335,25,0.00000263,1
625,2694.559,0.417246,0.744576,0.804393,0.684759,25,0.00000087,1
650,2912.181,0.406913,0.752428,0.809122,0.695734,27,0.00001730,1
675,2948.316,0.391048,0.760796,0.818987,0.702605,27,0.00000128,0
700,3165.478,0.375690,0.769023,0.829510,0.708536,25,0.00000280,0
725,3199.312,0.363442,0.775292,0.835286,0.715298,25,0.00000092,2
750,3417.677,0.356026,0.779029,0.838941,0.719116,25,0.00000021,2
775,3451.278,0.352131,0.781513,0.842599,0.720427,25,0.00003746,2
800,3666.283,0.344154,0.784349,0.844987,0.723711,25,0.00000696,0
825,3699.281,0.336690,0.787414,0.847062,0.727766,25,0.00007264,0
850,3910.703,0.331069,0.790979,0.847917,0.734041,25,0.00005996,0
875,3943.628,0.330943,0.792026,0.850858,0.733194,25,0.00009156,1
900,4158.423,0.327383,0.792704,0.852635,0.732774,25,0.00009268,1
925,4191.754,0.325978,0.793642,0.855343,0.731942,25,0.00007222,0
950,4406.120,0.323566,0.795029,0.855216,0.734842,25,0.00003434,1
975,4439.429,0.322484,0.796796,0.855284,0.738309,25,0.00001644,1
1000,4654.827,0.320749,0.797627,0.856070,0.739185,25,0.00005299,1
1025,4688.091,0.322695,0.797219,0.856517,0.737922,25,0.00003059,1
1050,4901.518,0.322619,0.797938,0.857402,0.738474,25,0.00004955,0
1075,4934.538,0.319944,0.797679,0.858994,0.736365,25,0.00002960,0
1100,5149.781,0.327550,0.795725,0.857996,0.733454,25,0.00005614,0
1125,5183.319,0.329389,0.795030,0.854108,0.735952,25,0.00002598,1
1150,5401.940,0.329399,0.795076,0.855933,0.734219,25,0.00008111,0
1175,5435.137,0.331739,0.792931,0.853506,0.732355,25,0.00003846,1
1200,5647.418,0.333801,0.792917,0.854625,0.731209,25,0.00001289,0
1225,5680.141,0.336354,0.791469,0.853851,0.729086,25,0.00000499,0
1250,5892.354,0.334540,0.790591,0.855345,0.725837,25,0.00002393,0
1275,5924.972,0.336489,0.790566,0.853560,0.727572,25,0.00000180,0
1300,6136.323,0.338299,0.789679,0.852996,0.726362,25,0.00000051,0
1325,6168.465,0.340172,0.789537,0.850950,0.728123,25,0.00000392,0
1350,6377.625,0.341364,0.788146,0.848970,0.727323,25,0.00000006,0
1375,6409.462,0.341935,0.788132,0.849178,0.727086,25,0.00000002,0
1400,6621.636,0.341450,0.788107,0.850253,0.725962,25,0.00000664,0
1425,6653.781,0.335838,0.790093,0.852687,0.727498,25,0.00000000,0
1450,6868.031,0.335238,0.789830,0.851295,0.728366,25,0.00000000,0
1475,6900.742,0.332645,0.792146,0.853827,0.730466,25,0.00000264,0
1500,7112.574,0.333867,0.788680,0.850947,0.726412,25,0.00000361,0
1525,7145.128,0.330988,0.790942,0.850922,0.730962,25,0.00000493,0
1550,7356.747,0.331127,0.788910,0.851027,0.726793,25,0.00000055,0
1575,7389.227,0.329409,0.791104,0.849369,0.732838,25,0.00000560,0
1600,7599.685,0.329048,0.791871,0.849332,0.734410,25,0.00000131,0
1625,7632.469,0.328642,0.792352,0.849948,0.734757,25,0.00000000,0
1650,7843.648,0.325768,0.793831,0.848649,0.739014,25,0.00000000,0
1675,7876.639,0.328955,0.792458,0.846908,0.738008,25,0.00000279,0
1700,8088.936,0.326246,0.794706,0.846624,0.742788,25,0.00000000,0
1725,8121.559,0.326264,0.794759,0.846714,0.742804,25,0.00000000,0
1750,8335.477,0.323768,0.796297,0.849538,0.743056,25,0.00000000,0
1775,8368.525,0.324972,0.795363,0.847230,0.743495,25,0.00000082,0
1800,8581.627,0.324263,0.796064,0.847344,0.744784,25,0.00000949,0
1825,8614.212,0.320716,0.796691,0.850892,0.742489,25,0.00000004,0
1850,8825.397,0.320658,0.798098,0.853088,0.743108,25,0.00000706,0
1875,8858.202,0.318330,0.798470,0.854216,0.742724,25,0.00000507,0
1900,9071.573,0.319900,0.797373,0.851824,0.742922,25,0.00000000,0
1925,9104.367,0.325769,0.794200,0.848300,0.740099,25,0.00000002,0
1950,9316.349,0.322866,0.796531,0.850544,0.742517,25,0.00000007,0
1975,9348.329,0.325911,0.794658,0.848817,0.740499,25,0.00000000,0
2000,9554.858,0.322996,0.796413,0.849345,0.743481,25,0.00000039,0
