step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.375,1.459260,0.161611,0.157580,0.165641,20,0.00000000,0
25,26.200,1.224856,0.234605,0.201410,0.267801,20,0.00000000,0
50,188.764,1.099623,0.309175,0.275137,0.343213,23,0.00011031,1
75,217.863,1.007188,0.371737,0.331061,0.412412,23,0.00011119,0
100,405.151,0.906833,0.439851,0.391814,0.487888,26,0.00007031,0
125,438.288,0.806625,0.510871,0.447526,0.574215,26,0.00006970,1
150,654.856,0.744389,0.549810,0.482845,0.616776,29,0.00022550,0
175,692.281,0.701055,0.575437,0.519040,0.631835,29,0.00019628,0
200,934.823,0.650003,0.602327,0.559800,0.644854,32,0.00029076,0
225,976.408,0.600885,0.634275,0.592658,0.675892,32,0.00065812,1
250,1245.325,0.543107,0.666963,0.648863,0.685064,34,0.00039279,2
275,1289.798,0.479071,0.703021,0.702961,0.703082,34,0.00091636,2
300,1561.100,0.432441,0.726874,0.750422,0.703327,35,0.00051489,2
325,1606.380,0.388949,0.749371,0.784538,0.714203,35,0.00075343,3
350,1902.629,0.359240,0.770343,0.803063,0.737622,38,0.00075557,3
375,1951.892,0.330207,0.787922,0.826204,0.749639,38,0.00057794,0
400,2263.766,0.305385,0.805124,0.846040,0.764209,40,0.00063438,1
425,2315.448,0.284703,0.817951,0.855585,0.780317,40,0.00062899,0
450,2642.267,0.255154,0.840026,0.869294,0.810757,41,0.00063836,0
475,2696.421,0.232601,0.853828,0.881500,0.826155,41,0.00067185,0
500,3034.545,0.214577,0.866818,0.896920,0.836717,39,0.00057676,1
525,3086.262,0.217110,0.863593,0.895820,0.831366,39,0.00060745,1
550,3418.017,0.222244,0.863842,0.894162,0.833523,39,0.00057259,1
575,3469.031,0.229060,0.858276,0.893770,0.822783,39,0.00053979,0
600,3797.676,0.231120,0.858614,0.891395,0.825832,39,0.00047110,0
625,3847.833,0.238478,0.854173,0.888409,0.819936,39,0.00047863,0
650,4172.994,0.248602,0.849678,0.886376,0.812980,39,0.00052366,0
675,4222.443,0.245927,0.849467,0.885964,0.812969,39,0.00060087,0
700,4544.696,0.245991,0.850255,0.882465,0.818044,39,0.00050510,0
725,4594.100,0.242792,0.853747,0.884770,0.822723,39,0.00057512,0
750,4915.902,0.244511,0.850208,0.887181,0.813235,39,0.00053496,0
775,4965.167,0.235411,0.855158,0.888803,0.821513,39,0.00047562,0
800,5282.443,0.233055,0.856971,0.890136,0.823806,38,0.00059142,0
825,5331.663,0.237783,0.857062,0.887458,0.826667,38,0.00055808,1
850,5651.534,0.251305,0.851794,0.877537,0.826051,39,0.00058583,1
875,5702.814,0.239488,0.859367,0.874816,0.843918,39,0.00041548,1
900,6033.954,0.242198,0.856598,0.872294,0.840903,39,0.00045386,1
925,6084.509,0.238952,0.857638,0.877875,0.837400,39,0.00050596,1
950,6405.723,0.233146,0.860403,0.878664,0.842143,39,0.00048916,0
975,6456.058,0.231536,0.860528,0.880375,0.840680,39,0.00050260,1
1000,6781.951,0.233958,0.860407,0.880065,0.840748,39,0.00054057,1
1025,6832.382,0.232926,0.861139,0.880090,0.842187,39,0.00064795,1
1050,7154.088,0.232580,0.860350,0.880434,0.840266,39,0.00064011,1
1075,7203.147,0.231280,0.860495,0.880423,0.840567,39,0.00067646,0
1100,7530.143,0.231318,0.861890,0.880877,0.842904,39,0.00060966,1
1125,7579.698,0.225277,0.864445,0.883449,0.845442,39,0.00065351,0
1150,7898.006,0.222725,0.864643,0.884431,0.844855,38,0.00062929,0
1175,7946.891,0.231691,0.862086,0.880635,0.843537,38,0.00068344,0
1200,8263.610,0.224506,0.863065,0.884805,0.841324,38,0.00061414,0
1225,8312.431,0.224367,0.864996,0.884985,0.845006,38,0.00062319,1
1250,8623.752,0.218635,0.867431,0.889463,0.845399,39,0.00056615,1
1275,8674.200,0.213997,0.867219,0.892399,0.842038,39,0.00054429,1
1300,8987.919,0.209414,0.870996,0.898544,0.843449,38,0.00062337,1
1325,9036.205,0.209402,0.871392,0.901891,0.840893,38,0.00068906,0
1350,9349.462,0.202762,0.876016,0.905790,0.846241,38,0.00060286,0
1375,9398.320,0.196399,0.878814,0.905465,0.852164,38,0.00063796,2
1400,9712.423,0.204737,0.874560,0.907230,0.841890,38,0.00067584,1
1425,9761.847,0.198226,0.875158,0.910204,0.840113,38,0.00070887,1
1450,10074.944,0.202763,0.873788,0.909052,0.838524,38,0.00063420,1
