step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.907,1.438301,0.157088,0.189646,0.124530,20,0.00019250,0
25,28.732,1.130752,0.288564,0.324512,0.252616,20,0.00000724,1
50,54.782,0.877301,0.446238,0.476522,0.415954,20,0.00000000,0
75,81.064,0.619828,0.610627,0.598464,0.622789,20,0.00034606,2
100,107.740,0.485621,0.698755,0.642944,0.754567,20,0.00130040,2
125,134.537,0.428165,0.735185,0.662561,0.807809,20,0.00171009,3
150,160.622,0.401966,0.750251,0.671719,0.828783,20,0.00130357,4
175,186.537,0.391453,0.757555,0.680203,0.834908,20,0.00168246,1
200,212.283,0.369448,0.770299,0.697744,0.842854,20,0.00156575,3
225,238.503,0.327486,0.798797,0.733358,0.864236,20,0.00164824,4
250,264.690,0.291241,0.820495,0.768193,0.872797,20,0.00169876,4
275,290.823,0.260241,0.841099,0.798592,0.883606,20,0.00206557,4
300,317.258,0.242417,0.852158,0.813840,0.890476,20,0.00215849,5
325,343.562,0.238010,0.855181,0.824639,0.885723,20,0.00187420,4
350,369.984,0.231695,0.858877,0.834547,0.883207,20,0.00196914,4
375,396.522,0.224854,0.862511,0.839205,0.885817,20,0.00188122,2
400,422.873,0.217142,0.867157,0.844185,0.890128,20,0.00179925,4
425,449.178,0.218188,0.866805,0.844744,0.888866,20,0.00177444,2
450,475.388,0.214717,0.868913,0.850352,0.887474,20,0.00159482,2
475,501.983,0.203826,0.874802,0.858790,0.890813,20,0.00177259,2
500,528.647,0.203290,0.874930,0.865379,0.884482,20,0.00196764,3
525,555.352,0.193418,0.882552,0.878681,0.886422,20,0.00208229,2
550,582.191,0.187533,0.887116,0.887558,0.886674,20,0.00209334,2
575,608.829,0.180867,0.890505,0.893331,0.887680,20,0.00189715,2
600,635.392,0.179909,0.893247,0.896486,0.890007,20,0.00178328,3
625,661.765,0.176667,0.896112,0.901067,0.891158,20,0.00176591,2
650,688.496,0.169269,0.899987,0.910893,0.889082,20,0.00152005,2
675,715.186,0.163012,0.902085,0.911507,0.892663,20,0.00137588,2
700,741.856,0.164732,0.902237,0.909434,0.895040,20,0.00145142,2
725,768.825,0.161121,0.903581,0.912339,0.894824,20,0.00122416,2
750,795.468,0.156673,0.904466,0.911264,0.897668,20,0.00122661,2
775,822.065,0.159825,0.906228,0.914513,0.897942,20,0.00099322,3
800,848.237,0.147957,0.911643,0.915541,0.907746,20,0.00030501,2
825,874.121,0.143704,0.915497,0.915472,0.915522,20,0.00025569,3
850,900.136,0.141579,0.917220,0.916242,0.918199,20,0.00012704,2
875,926.956,0.142770,0.916485,0.919489,0.913481,20,0.00007040,2
900,953.421,0.136374,0.920167,0.921435,0.918899,20,0.00006608,2
925,979.287,0.136882,0.919140,0.921356,0.916924,20,0.00005659,2
950,1005.376,0.136349,0.918964,0.920253,0.917675,20,0.00006359,3
975,1031.613,0.130903,0.922646,0.922096,0.923197,20,0.00010336,2
1000,1057.729,0.142901,0.915716,0.917029,0.914404,20,0.00009669,2
