step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.411,1.238830,0.217224,0.195821,0.238627,20,0.00139278,0
25,27.882,1.007049,0.337466,0.305393,0.369540,20,0.00000140,0
50,198.348,0.825146,0.454781,0.393375,0.516186,22,0.00000298,0
75,227.387,0.685543,0.544745,0.447866,0.641625,22,0.00001544,0
100,418.869,0.592434,0.612817,0.497108,0.728527,23,0.00004695,1
125,449.755,0.548128,0.641019,0.528543,0.753495,23,0.00008827,0
150,651.161,0.507056,0.668863,0.552281,0.785445,25,0.00001006,2
175,684.629,0.464239,0.697120,0.586946,0.807293,25,0.00003894,2
200,889.370,0.404299,0.739612,0.643061,0.836163,24,0.00002878,1
225,921.530,0.351483,0.776113,0.694668,0.857558,24,0.00001178,1
250,1126.557,0.307357,0.805961,0.740566,0.871356,25,0.00008800,1
275,1158.878,0.274094,0.828709,0.775138,0.882279,25,0.00039278,2
300,1363.174,0.235774,0.855396,0.819985,0.890807,26,0.00190355,2
325,1397.117,0.228594,0.861396,0.827548,0.895244,26,0.00215017,1
350,1595.824,0.239464,0.855537,0.814739,0.896336,25,0.00219910,1
375,1628.486,0.245699,0.853193,0.807405,0.898980,25,0.00217190,2
400,1826.105,0.245312,0.852343,0.810036,0.894650,25,0.00191595,5
425,1858.864,0.234664,0.858653,0.827910,0.889396,25,0.00296198,4
450,2064.672,0.225086,0.865222,0.839744,0.890701,27,0.00106594,3
475,2100.605,0.218832,0.870612,0.852335,0.888889,27,0.00119910,4
500,2313.428,0.215382,0.874212,0.856416,0.892008,25,0.00167188,4
525,2345.862,0.213619,0.873291,0.852013,0.894569,25,0.00181296,3
550,2548.480,0.209776,0.875310,0.853018,0.897603,25,0.00181257,3
575,2580.924,0.200919,0.881593,0.866716,0.896470,25,0.00142630,5
600,2792.315,0.197930,0.883399,0.869836,0.896962,25,0.00124618,4
625,2824.733,0.194590,0.885103,0.876388,0.893818,25,0.00111054,4
650,3036.563,0.193757,0.886451,0.876897,0.896004,25,0.00068404,3
675,3069.299,0.198188,0.884097,0.877709,0.890486,25,0.00022072,4
700,3271.507,0.193964,0.886897,0.880740,0.893054,24,0.00042681,3
725,3302.269,0.190795,0.889660,0.884583,0.894737,24,0.00028642,2
750,3488.114,0.191911,0.890162,0.883062,0.897262,23,0.00039498,2
775,3516.950,0.197516,0.889370,0.883510,0.895229,23,0.00036100,1
800,3702.581,0.208423,0.883817,0.874153,0.893480,23,0.00069640,2
825,3731.307,0.213148,0.881845,0.874032,0.889659,23,0.00076992,1
850,3915.107,0.211985,0.882705,0.870748,0.894662,23,0.00079067,1
875,3943.419,0.198540,0.889951,0.871339,0.908562,23,0.00076831,2
900,4125.949,0.192598,0.893670,0.872084,0.915256,23,0.00061036,3
925,4153.922,0.184385,0.897128,0.878231,0.916024,23,0.00039616,4
950,4337.346,0.175655,0.902364,0.883067,0.921662,23,0.00053616,2
975,4365.407,0.166184,0.906606,0.886359,0.926852,23,0.00054957,3
1000,4550.745,0.158707,0.910615,0.891587,0.929642,23,0.00063639,4
1025,4579.695,0.154657,0.912374,0.891442,0.933306,23,0.00052480,3
1050,4763.574,0.150486,0.914618,0.891802,0.937435,23,0.00052413,2
1075,4792.542,0.145290,0.917240,0.896587,0.937894,23,0.00045517,2
1100,4976.105,0.142071,0.918435,0.893886,0.942984,22,0.00033387,1
1125,5003.936,0.133285,0.922494,0.902376,0.942612,22,0.00030028,4
1150,5181.467,0.130248,0.923216,0.901644,0.944788,22,0.00017281,3
1175,5208.793,0.128896,0.923683,0.902437,0.944930,22,0.00018073,2
1200,5381.227,0.127976,0.925270,0.903448,0.947093,21,0.00017298,2
1225,5407.072,0.128742,0.923130,0.902793,0.943467,21,0.00010583,1
1250,5577.825,0.127098,0.923898,0.905366,0.942429,22,0.00019996,1
1275,5605.663,0.112127,0.931735,0.917454,0.946015,22,0.00025122,1
1300,5781.271,0.108770,0.934049,0.916926,0.951173,22,0.00010087,0
1325,5809.281,0.103563,0.937297,0.922137,0.952457,22,0.00013418,0
1350,5986.296,0.102844,0.938121,0.922415,0.953826,21,0.00009738,0
1375,6013.844,0.102143,0.938461,0.920995,0.955926,21,0.00010388,0
1400,6190.296,0.099990,0.940671,0.921450,0.959893,21,0.00011661,1
1425,6218.043,0.103329,0.938359,0.917529,0.959190,21,0.00012627,2
1450,6392.579,0.100022,0.940430,0.920151,0.960709,20,0.00014511,1
1475,6419.564,0.101626,0.939214,0.917043,0.961385,20,0.00008031,1
1500,6588.269,0.099367,0.940367,0.918414,0.962321,20,0.00009178,1
1525,6614.706,0.100054,0.940204,0.919184,0.961224,20,0.00009541,1
1550,6785.695,0.098301,0.942044,0.918616,0.965473,20,0.00011838,1
1575,6812.480,0.096258,0.943338,0.919838,0.966839,20,0.00013842,1
1600,6980.131,0.096826,0.942283,0.918664,0.965903,20,0.00014457,1
1625,7005.606,0.095794,0.942766,0.917894,0.967638,20,0.00012084,1
1650,7172.944,0.096075,0.942852,0.918697,0.967007,20,0.00007403,1
1675,7199.454,0.096189,0.942957,0.917815,0.968100,20,0.00007690,1
1700,7369.059,0.097917,0.941457,0.915313,0.967600,20,0.00005938,1
1725,7395.315,0.100304,0.939961,0.914019,0.965903,20,0.00006206,1
1750,7567.332,0.098564,0.941604,0.915473,0.967735,20,0.00008161,1
1775,7593.912,0.097650,0.942012,0.916808,0.967215,20,0.00039509,2
1800,7762.943,0.094529,0.944541,0.919842,0.969241,20,0.00023495,2
1825,7789.442,0.092978,0.944661,0.920492,0.968831,20,0.00018193,2
1850,7959.616,0.091687,0.945458,0.921422,0.969495,20,0.00021263,2
1875,7985.891,0.091851,0.945535,0.921379,0.969690,20,0.00019136,2
1900,8156.323,0.093291,0.944834,0.920079,0.969590,20,0.00024309,2
1925,8182.471,0.090215,0.946224,0.922858,0.969590,20,0.00017975,2
1950,8353.300,0.090641,0.946481,0.923464,0.969498,20,0.00034798,2
1975,8380.243,0.088969,0.948017,0.925584,0.970449,20,0.00054928,2
2000,8552.294,0.090121,0.946885,0.922698,0.971072,20,0.00062945,2
