step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.403,1.238830,0.217224,0.195821,0.238627,20,0.00139278,0
25,27.513,1.007049,0.337466,0.305393,0.369540,20,0.00000140,0
50,198.034,0.820230,0.457761,0.397704,0.517818,23,0.00000285,0
75,228.640,0.663198,0.558577,0.479550,0.637604,23,0.00000366,1
100,426.166,0.548173,0.641417,0.551175,0.731659,26,0.00003384,2
125,460.886,0.461885,0.696150,0.603847,0.788453,26,0.00002774,1
150,682.966,0.386298,0.747139,0.668786,0.825491,29,0.00003186,2
175,721.710,0.322588,0.788766,0.734011,0.843520,29,0.00032994,2
200,963.650,0.268413,0.822727,0.785604,0.859850,31,0.00042043,1
225,1005.671,0.223702,0.854216,0.830994,0.877439,31,0.00046925,0
250,1269.514,0.184143,0.879326,0.866367,0.892285,33,0.00049320,1
275,1313.897,0.158762,0.896400,0.887749,0.905051,33,0.00022931,0
300,1595.172,0.133790,0.914342,0.904944,0.923741,35,0.00021673,1
325,1641.131,0.117381,0.924307,0.919988,0.928625,35,0.00023909,1
350,1942.853,0.110590,0.928948,0.925466,0.932430,35,0.00020197,2
375,1988.948,0.108965,0.930399,0.925599,0.935198,35,0.00020307,1
400,2286.800,0.104822,0.933089,0.928015,0.938163,35,0.00030341,3
425,2332.589,0.105838,0.932475,0.926289,0.938662,35,0.00021667,2
450,2618.607,0.100418,0.936620,0.926874,0.946365,35,0.00021222,3
475,2664.024,0.101786,0.936362,0.927119,0.945604,35,0.00025482,2
500,2960.252,0.099047,0.936768,0.930935,0.942601,35,0.00028899,3
525,3005.982,0.098318,0.937956,0.930621,0.945292,35,0.00017923,3
550,3306.171,0.097234,0.937670,0.930978,0.944362,35,0.00020102,3
575,3352.288,0.092522,0.942003,0.934879,0.949127,35,0.00028521,4
600,3650.919,0.095107,0.940907,0.936725,0.945090,35,0.00028236,3
625,3697.009,0.092527,0.942442,0.935156,0.949727,35,0.00020447,3
650,3986.873,0.092028,0.942973,0.934828,0.951118,35,0.00019563,3
675,4032.856,0.090284,0.943382,0.936299,0.950465,35,0.00017047,4
700,4316.243,0.094777,0.940443,0.932839,0.948046,34,0.00008682,4
725,4361.786,0.095984,0.939960,0.933135,0.946786,34,0.00007986,4
750,4644.844,0.088821,0.944438,0.938705,0.950171,33,0.00011279,3
775,4689.671,0.086899,0.945612,0.938325,0.952900,33,0.00016693,3
800,4953.672,0.086232,0.945422,0.939236,0.951608,33,0.00016567,5
825,4998.268,0.088019,0.944723,0.937687,0.951760,33,0.00014434,5
850,5274.993,0.086650,0.945930,0.939198,0.952661,33,0.00022869,5
875,5319.058,0.084985,0.946363,0.941057,0.951668,33,0.00017755,5
900,5591.436,0.085618,0.945822,0.939441,0.952203,32,0.00017933,4
925,5634.409,0.084589,0.946426,0.941847,0.951006,32,0.00030290,4
950,5902.147,0.084523,0.947031,0.943671,0.950390,32,0.00028810,4
975,5944.868,0.082038,0.949065,0.944933,0.953197,32,0.00026492,3
1000,6222.135,0.083296,0.948344,0.943443,0.953244,32,0.00030867,4
1025,6265.225,0.081440,0.948922,0.946372,0.951473,32,0.00046056,3
1050,6519.598,0.082254,0.947665,0.947231,0.948099,31,0.00036531,3
1075,6561.286,0.081615,0.948138,0.945993,0.950284,31,0.00030091,2
1100,6830.591,0.081559,0.948973,0.948021,0.949925,31,0.00033264,6
1125,6872.542,0.079501,0.949888,0.945528,0.954248,31,0.00031734,6
1150,7134.823,0.080918,0.949300,0.946616,0.951983,31,0.00031027,4
1175,7176.798,0.081464,0.948660,0.944637,0.952682,31,0.00027658,4
