step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.592,1.301114,0.189260,0.187863,0.190656,20,0.00044675,0
25,27.187,0.951960,0.337129,0.312184,0.362073,20,0.00000732,0
50,194.439,0.737871,0.472892,0.444602,0.501182,23,0.00004508,3
75,224.524,0.548949,0.604910,0.589741,0.620079,23,0.00048584,4
100,420.820,0.464858,0.667581,0.647414,0.687748,26,0.00058972,7
125,455.055,0.384461,0.721683,0.689156,0.754211,26,0.00093742,8
150,679.872,0.298928,0.789876,0.741929,0.837822,29,0.00108136,8
175,718.322,0.255630,0.820568,0.767399,0.873736,29,0.00133399,5
200,970.113,0.235307,0.834701,0.785868,0.883533,32,0.00062367,9
225,1013.027,0.200310,0.860776,0.824264,0.897289,32,0.00028750,7
250,1288.306,0.165776,0.886145,0.860353,0.911937,35,0.00011713,7
275,1335.422,0.143211,0.901487,0.887272,0.915701,35,0.00024448,4
300,1639.775,0.130303,0.912398,0.894171,0.930624,35,0.00025555,2
325,1687.099,0.125308,0.916582,0.891694,0.941470,35,0.00037522,4
350,1990.992,0.128513,0.914458,0.884420,0.944496,35,0.00039685,4
375,2037.672,0.121834,0.919223,0.891329,0.947117,35,0.00046961,4
400,2336.541,0.120384,0.920683,0.896461,0.944905,34,0.00030184,6
425,2382.159,0.114599,0.923696,0.901945,0.945446,34,0.00019144,6
450,2666.291,0.109726,0.927064,0.905412,0.948715,32,0.00025580,7
475,2709.696,0.107697,0.927858,0.912021,0.943695,32,0.00023874,8
500,2970.180,0.104520,0.928656,0.912991,0.944321,32,0.00020380,5
525,3013.312,0.105038,0.929571,0.918809,0.940334,32,0.00026661,4
550,3291.177,0.099012,0.932701,0.920416,0.944986,35,0.00009444,5
575,3337.995,0.093431,0.934632,0.923906,0.945358,35,0.00013591,5
600,3636.022,0.082130,0.940847,0.936643,0.945051,34,0.00015171,4
625,3681.299,0.082292,0.940853,0.938554,0.943152,34,0.00009187,4
650,3976.473,0.074604,0.945538,0.944618,0.946458,34,0.00005260,3
675,4021.835,0.068765,0.949257,0.947588,0.950925,34,0.00007221,3
700,4314.081,0.064898,0.952677,0.948568,0.956787,34,0.00008448,2
725,4359.355,0.065777,0.951493,0.945595,0.957392,34,0.00010703,2
750,4654.978,0.060389,0.955797,0.948171,0.963423,34,0.00007101,2
775,4700.704,0.057173,0.958559,0.952027,0.965092,34,0.00006553,3
800,4988.344,0.059827,0.957380,0.949665,0.965096,34,0.00008676,2
825,5034.133,0.059592,0.957027,0.947968,0.966086,34,0.00004191,1
850,5321.106,0.058912,0.958756,0.952157,0.965356,34,0.00005251,5
875,5366.365,0.062331,0.956131,0.949498,0.962764,34,0.00007433,3
900,5658.876,0.056312,0.960850,0.949645,0.972056,34,0.00012487,2
925,5703.950,0.055888,0.961234,0.949045,0.973424,34,0.00013644,4
950,5997.266,0.055638,0.961305,0.950580,0.972030,34,0.00006192,3
975,6042.370,0.057332,0.959960,0.948723,0.971197,34,0.00007702,2
1000,6315.210,0.055375,0.961242,0.951421,0.971064,34,0.00009377,5
1025,6359.968,0.054838,0.961601,0.950820,0.972382,34,0.00006179,3
1050,6644.208,0.055287,0.961051,0.949364,0.972738,34,0.00011192,3
1075,6689.058,0.056189,0.960497,0.949400,0.971593,34,0.00006914,2
1100,6976.868,0.059216,0.959462,0.947582,0.971341,34,0.00011309,4
1125,7021.211,0.056494,0.960707,0.948053,0.973360,34,0.00014229,3
1150,7290.106,0.056160,0.960922,0.948852,0.972992,34,0.00012016,3
1175,7334.403,0.057944,0.960149,0.948980,0.971318,34,0.00011779,3
1200,7603.042,0.057670,0.960896,0.948502,0.973290,34,0.00016878,7
1225,7647.517,0.060798,0.958571,0.948734,0.968408,34,0.00008106,5
1250,7911.173,0.058235,0.960175,0.948462,0.971887,34,0.00011044,3
1275,7955.780,0.059474,0.960068,0.948240,0.971897,34,0.00008819,4
1300,8235.923,0.059582,0.958515,0.947248,0.969782,34,0.00010095,3
1325,8279.729,0.054558,0.962835,0.952624,0.973046,34,0.00010220,4
1350,8558.927,0.057050,0.959942,0.950265,0.969619,34,0.00010011,5
1375,8603.282,0.056788,0.961973,0.951552,0.972394,34,0.00009564,2
1400,8846.374,0.054725,0.962811,0.952148,0.973474,34,0.00010196,4
1425,8889.957,0.053273,0.963303,0.953739,0.972868,34,0.00011239,2
1450,9174.780,0.052628,0.962599,0.953787,0.971412,34,0.00009801,4
1475,9217.804,0.053033,0.963118,0.955558,0.970678,34,0.00010747,4
1500,9469.592,0.054040,0.963168,0.954522,0.971814,34,0.00012224,2
1525,9513.163,0.053658,0.961754,0.956849,0.966659,34,0.00007562,5
1550,9775.546,0.052410,0.963403,0.957854,0.968951,34,0.00007223,4
1575,9819.272,0.053668,0.962685,0.956241,0.969130,34,0.00005348,3
1600,10059.192,0.054565,0.961545,0.955174,0.967915,34,0.00008964,4
1625,10102.802,0.052895,0.962693,0.955990,0.969396,34,0.00011126,5
1650,10341.855,0.052382,0.963270,0.958669,0.967870,34,0.00011772,7
1675,10384.722,0.051580,0.963398,0.957035,0.969761,34,0.00014473,4
1700,10649.584,0.053935,0.960695,0.955990,0.965401,34,0.00016156,4
1725,10692.574,0.052751,0.962109,0.956304,0.967915,34,0.00013888,6
1750,10940.878,0.053387,0.961585,0.956745,0.966426,34,0.00023167,4
1775,10983.415,0.049833,0.965673,0.958163,0.973182,34,0.00013127,4
1800,11230.382,0.049556,0.965002,0.955987,0.974017,33,0.00006228,3
1825,11272.160,0.047540,0.966568,0.956390,0.976747,33,0.00008127,2
1850,11502.498,0.046140,0.967733,0.958481,0.976984,33,0.00003892,1
1875,11543.566,0.047321,0.967233,0.957727,0.976739,33,0.00005766,0
1900,11775.061,0.045559,0.968900,0.959677,0.978123,33,0.00010135,1
1925,11816.869,0.050758,0.965425,0.954422,0.976428,33,0.00004971,1
1950,12072.271,0.047807,0.967902,0.956617,0.979186,33,0.00005615,1
1975,12113.972,0.048306,0.967236,0.956889,0.977582,33,0.00004250,1
2000,12355.462,0.050297,0.965697,0.956010,0.975384,33,0.00004709,1
