step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.374,0.817469,0.285665,0.264990,0.306340,20,0.00017358,0
25,27.045,0.526509,0.489087,0.475113,0.503061,20,0.00014167,1
50,192.458,0.336970,0.673604,0.679558,0.667650,23,0.00026166,0
75,222.045,0.234649,0.776321,0.803912,0.748730,23,0.00038901,1
100,406.672,0.209812,0.799235,0.822677,0.775793,24,0.00053845,3
125,438.007,0.186452,0.825243,0.853535,0.796951,24,0.00091529,5
150,613.400,0.165713,0.841703,0.870256,0.813150,20,0.00102828,5
175,639.739,0.150965,0.856867,0.886598,0.827135,20,0.00099755,4
200,803.879,0.143395,0.866355,0.908800,0.823910,20,0.00050851,3
225,830.343,0.126523,0.881089,0.924406,0.837771,20,0.00042378,4
250,997.199,0.123287,0.883427,0.926373,0.840481,21,0.00030744,3
275,1024.564,0.122543,0.883514,0.922729,0.844299,21,0.00030312,3
300,1191.549,0.125094,0.883669,0.925908,0.841430,20,0.00033372,2
325,1217.156,0.131850,0.878120,0.920476,0.835763,20,0.00017462,3
350,1381.819,0.138282,0.872246,0.908974,0.835519,21,0.00018820,3
375,1408.908,0.118827,0.888329,0.922978,0.853680,21,0.00017404,1
400,1581.213,0.107579,0.897477,0.932481,0.862474,21,0.00014950,2
425,1607.935,0.102025,0.900788,0.934389,0.867188,21,0.00011134,2
450,1778.962,0.096144,0.907254,0.945161,0.869347,22,0.00021101,0
475,1806.700,0.097189,0.906946,0.945787,0.868104,22,0.00015133,2
500,1973.894,0.096686,0.907088,0.948777,0.865399,20,0.00021411,2
525,1999.538,0.100217,0.904853,0.949992,0.859713,20,0.00023373,3
550,2152.657,0.102747,0.900848,0.949097,0.852599,19,0.00013472,3
575,2176.124,0.099371,0.904011,0.948060,0.859962,19,0.00018154,3
600,2326.843,0.096171,0.905351,0.948095,0.862607,19,0.00017299,2
625,2350.363,0.088696,0.911615,0.947265,0.875964,19,0.00018910,5
650,2496.111,0.089352,0.910970,0.946141,0.875799,19,0.00013241,3
675,2519.034,0.084974,0.913949,0.944372,0.883526,19,0.00018336,3
700,2665.382,0.085618,0.913457,0.945484,0.881429,19,0.00015018,2
725,2688.464,0.081929,0.917451,0.947325,0.887577,19,0.00014511,5
750,2836.189,0.088929,0.910408,0.940917,0.879899,19,0.00016258,2
