step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,2.185,1.190991,0.234935,0.209060,0.260810,20,0.00000000,0
25,43.081,0.922122,0.388647,0.327672,0.449621,20,0.00000962,1
50,320.639,0.763841,0.499408,0.424775,0.574042,23,0.00001041,1
75,370.310,0.660822,0.563788,0.473154,0.654422,23,0.00000523,1
100,685.371,0.560112,0.637823,0.533000,0.742646,26,0.00034300,1
125,740.575,0.482392,0.687882,0.597060,0.778704,26,0.00028388,3
150,1072.851,0.389491,0.751652,0.684013,0.819291,28,0.00028957,3
175,1130.817,0.292984,0.815799,0.764728,0.866870,28,0.00093944,5
200,1509.526,0.229366,0.860425,0.826362,0.894488,30,0.00166515,5
225,1572.557,0.176766,0.893651,0.877123,0.910180,30,0.00271433,2
250,1963.405,0.153833,0.909145,0.895876,0.922414,30,0.00337892,2
275,2027.147,0.137698,0.918229,0.900783,0.935675,30,0.00344945,3
300,2418.212,0.127951,0.923738,0.909805,0.937672,28,0.00339934,2
325,2477.678,0.123885,0.926902,0.914356,0.939448,28,0.00280310,4
350,2834.154,0.121389,0.928891,0.917140,0.940643,28,0.00202163,4
375,2892.513,0.119855,0.929812,0.919508,0.940116,28,0.00215625,3
400,3252.536,0.114833,0.932460,0.919655,0.945266,27,0.00268523,3
425,3309.594,0.124887,0.925644,0.908038,0.943249,27,0.00243901,3
450,3681.231,0.129793,0.922404,0.903563,0.941244,27,0.00189886,2
475,3739.019,0.127107,0.923279,0.906744,0.939813,27,0.00060738,1
500,4112.412,0.126098,0.923386,0.905751,0.941022,27,0.00064517,2
525,4170.296,0.126470,0.923736,0.905017,0.942455,27,0.00054462,1
550,4542.179,0.123706,0.925240,0.913118,0.937363,28,0.00041929,1
575,4602.138,0.104332,0.936897,0.930435,0.943358,28,0.00012881,2
600,4978.737,0.102699,0.937509,0.932074,0.942945,28,0.00015760,2
625,5038.803,0.097418,0.941945,0.932519,0.951372,28,0.00019840,1
650,5403.103,0.093425,0.944385,0.933945,0.954825,28,0.00018846,1
675,5463.286,0.094302,0.943081,0.934666,0.951495,28,0.00012023,1
700,5825.764,0.094115,0.943341,0.932575,0.954107,28,0.00019616,1
725,5884.808,0.092823,0.944736,0.933199,0.956273,28,0.00011525,2
750,6232.130,0.093815,0.944681,0.933065,0.956296,28,0.00017810,3
775,6291.235,0.091010,0.945306,0.931603,0.959009,28,0.00004233,1
800,6659.731,0.089358,0.946881,0.937176,0.956586,28,0.00001337,0
825,6718.066,0.092298,0.944367,0.931600,0.957134,28,0.00003713,0
850,7068.392,0.087917,0.946751,0.936947,0.956554,28,0.00000412,0
875,7125.800,0.088751,0.947050,0.936450,0.957650,28,0.00000240,0
900,7457.116,0.085763,0.948215,0.938697,0.957733,28,0.00000627,0
925,7514.908,0.085056,0.948200,0.937873,0.958528,28,0.00000924,1
950,7881.876,0.085330,0.948403,0.938442,0.958364,28,0.00004109,0
975,7939.951,0.082584,0.950629,0.942302,0.958956,28,0.00003214,0
1000,8283.363,0.082412,0.950495,0.941397,0.959593,28,0.00005752,1
1025,8341.085,0.083899,0.949748,0.941436,0.958060,28,0.00001101,0
1050,8708.642,0.082693,0.950265,0.941340,0.959190,28,0.00002108,0
1075,8767.675,0.085724,0.948362,0.939862,0.956863,28,0.00001672,1
1100,9083.848,0.083676,0.949544,0.940556,0.958532,27,0.00000108,1
1125,9140.954,0.083577,0.949178,0.941470,0.956886,27,0.00002638,0
1150,9477.372,0.081471,0.951077,0.942520,0.959635,27,0.00003691,0
1175,9534.183,0.081167,0.950691,0.942632,0.958750,27,0.00001139,2
1200,9881.913,0.079929,0.952068,0.948440,0.955697,27,0.00000617,1
1225,9939.367,0.080680,0.951102,0.946132,0.956071,27,0.00000613,1
1250,10275.066,0.081717,0.951307,0.947424,0.955191,27,0.00000848,1
1275,10332.241,0.081236,0.950785,0.946461,0.955109,27,0.00001463,1
1300,10670.659,0.080493,0.951140,0.946389,0.955890,27,0.00000895,0
1325,10726.214,0.080141,0.952159,0.948005,0.956314,27,0.00002300,0
1350,11045.576,0.081314,0.951137,0.948271,0.954002,27,0.00000889,1
1375,11101.855,0.080778,0.952331,0.949640,0.955022,27,0.00000782,0
1400,11425.074,0.081845,0.951810,0.948190,0.955431,27,0.00001239,0
1425,11481.671,0.079377,0.952183,0.947928,0.956439,27,0.00001410,0
1450,11788.133,0.082209,0.951088,0.947424,0.954752,27,0.00000983,0
1475,11844.306,0.081265,0.951650,0.946829,0.956471,27,0.00000614,0
1500,12179.706,0.082335,0.951301,0.946523,0.956080,27,0.00002417,0
1525,12236.023,0.083182,0.950410,0.945519,0.955301,27,0.00002678,0
1550,12557.778,0.081072,0.951707,0.948988,0.954425,27,0.00002668,0
1575,12614.695,0.080022,0.952258,0.948777,0.955739,27,0.00003490,0
1600,12941.775,0.081189,0.951264,0.946954,0.955574,27,0.00006123,0
1625,12997.445,0.079338,0.952388,0.949337,0.955440,27,0.00005665,0
1650,13334.569,0.080736,0.951367,0.948602,0.954131,27,0.00005181,0
1675,13390.303,0.081694,0.951167,0.947399,0.954935,27,0.00004435,0
1700,13707.526,0.081743,0.950655,0.947717,0.953594,27,0.00005514,0
1725,13762.629,0.080437,0.951617,0.949942,0.953292,27,0.00015167,0
1750,14095.038,0.080369,0.952133,0.949553,0.954714,27,0.00019664,0
1775,14150.521,0.080376,0.951874,0.950216,0.953533,27,0.00018880,0
1800,14485.934,0.080353,0.951778,0.949394,0.954161,27,0.00018000,1
1825,14541.786,0.082232,0.950960,0.949505,0.952416,27,0.00019282,1
1850,14897.883,0.079888,0.952341,0.951496,0.953186,27,0.00019971,1
1875,14953.695,0.080862,0.951865,0.950746,0.952985,27,0.00017773,1
1900,15292.330,0.080933,0.951604,0.950293,0.952914,27,0.00016036,1
1925,15348.413,0.080307,0.951719,0.951635,0.951803,27,0.00015878,1
1950,15708.567,0.080542,0.951655,0.951400,0.951909,27,0.00010624,1
1975,15764.204,0.081885,0.950266,0.950774,0.949757,27,0.00011410,1
2000,16095.055,0.080990,0.951793,0.951452,0.952135,26,0.00006690,0
