step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.393,1.740854,0.161539,0.164934,0.158144,20,0.00004809,0
25,27.419,1.403824,0.292781,0.297383,0.288179,20,0.00093510,0
50,201.214,1.105884,0.436560,0.413848,0.459272,23,0.00383144,0
75,232.803,0.874916,0.547443,0.512346,0.582539,23,0.00899423,0
100,436.510,0.745984,0.613499,0.585685,0.641313,26,0.00763938,0
125,472.522,0.657368,0.659784,0.632945,0.686623,26,0.00845428,0
150,678.590,0.588707,0.695222,0.667470,0.722973,26,0.00786312,0
175,714.226,0.544422,0.718191,0.686776,0.749607,26,0.00840245,0
200,932.987,0.506030,0.738514,0.700408,0.776619,26,0.00867832,0
225,968.449,0.469533,0.756648,0.716487,0.796809,26,0.00770057,0
250,1194.852,0.420710,0.782024,0.742658,0.821389,29,0.00647082,0
275,1234.489,0.384414,0.801073,0.757094,0.845052,29,0.00760912,0
300,1467.061,0.350274,0.819248,0.771596,0.866901,26,0.01007726,0
325,1502.912,0.333129,0.828063,0.773991,0.882135,26,0.01021322,0
350,1718.029,0.318533,0.836191,0.785189,0.887193,27,0.00917178,0
375,1755.201,0.293606,0.848502,0.793527,0.903477,27,0.00994162,0
400,1984.511,0.271360,0.859036,0.798146,0.919927,27,0.01049269,0
425,2021.336,0.259082,0.867720,0.807240,0.928200,27,0.01097520,0
450,2255.962,0.232532,0.879945,0.822020,0.937870,30,0.00937120,0
475,2297.180,0.216902,0.888384,0.831234,0.945535,30,0.01035449,0
500,2545.648,0.209372,0.894054,0.837797,0.950311,28,0.01333737,0
525,2583.812,0.207418,0.897036,0.842110,0.951962,28,0.01363464,0
550,2827.974,0.208399,0.897462,0.842392,0.952532,28,0.01393481,0
575,2866.168,0.200998,0.901169,0.849304,0.953034,28,0.01520968,0
600,3101.168,0.204331,0.900417,0.848662,0.952172,27,0.01806084,0
625,3137.490,0.203202,0.901362,0.851979,0.950745,27,0.01867345,0
650,3363.765,0.208536,0.899083,0.845592,0.952575,26,0.02070901,0
675,3398.562,0.209161,0.899775,0.848594,0.950955,26,0.02201614,0
700,3615.008,0.212111,0.898451,0.845760,0.951142,25,0.02455370,0
725,3648.452,0.209905,0.900517,0.851999,0.949036,25,0.02524991,0
750,3862.188,0.209842,0.900132,0.853022,0.947243,28,0.02160982,0
775,3899.747,0.209946,0.900455,0.852926,0.947984,28,0.02237946,0
800,4126.275,0.214869,0.898950,0.851799,0.946100,26,0.02639865,0
825,4160.675,0.219462,0.894645,0.852444,0.936846,26,0.02612193,0
850,4382.908,0.215879,0.895081,0.852831,0.937332,29,0.02088994,0
875,4422.168,0.213213,0.894786,0.849392,0.940180,29,0.02186903,0
900,4650.405,0.221874,0.891980,0.843479,0.940480,26,0.02695547,0
925,4685.338,0.231651,0.887698,0.838831,0.936565,26,0.02620603,0
950,4908.460,0.231735,0.888149,0.845424,0.930874,29,0.02146669,0
975,4947.610,0.230115,0.888625,0.847147,0.930103,29,0.02113037,0
1000,5176.392,0.237147,0.886733,0.842957,0.930509,26,0.02661118,0
1025,5211.402,0.244199,0.881640,0.833661,0.929618,26,0.02642580,0
1050,5435.255,0.234199,0.882495,0.834813,0.930177,29,0.02160608,0
1075,5474.739,0.222035,0.889187,0.845933,0.932440,29,0.02273928,0
1100,5701.180,0.229421,0.887215,0.845544,0.928887,26,0.02855426,0
1125,5735.864,0.222861,0.889148,0.841697,0.936599,26,0.02839783,0
1150,5943.098,0.220304,0.892001,0.841315,0.942686,24,0.03296118,0
1175,5975.002,0.213323,0.895185,0.843382,0.946988,24,0.03094432,0
1200,6161.941,0.209806,0.897528,0.840844,0.954211,22,0.03485768,0
1225,6190.419,0.207404,0.897695,0.839770,0.955621,22,0.03397179,0
1250,6368.191,0.202977,0.900351,0.840452,0.960249,21,0.03616583,0
1275,6395.727,0.204770,0.898371,0.837318,0.959423,21,0.03526126,0
1300,6570.549,0.203564,0.898934,0.839350,0.958517,21,0.03403139,0
1325,6597.800,0.208125,0.897665,0.838098,0.957233,21,0.03339772,0
1350,6771.300,0.206655,0.899041,0.840658,0.957425,21,0.03315998,0
1375,6798.194,0.208528,0.897871,0.838852,0.956891,21,0.03274908,0
1400,6974.213,0.200041,0.899248,0.840197,0.958298,24,0.02493899,0
1425,7005.894,0.197647,0.900523,0.844073,0.956973,24,0.02508206,0
1450,7184.511,0.203065,0.900814,0.842488,0.959140,21,0.03290004,0
1475,7211.449,0.203196,0.899759,0.842030,0.957488,21,0.03234316,0
1500,7387.669,0.197319,0.902098,0.845021,0.959174,23,0.02653560,0
1525,7417.861,0.197883,0.901386,0.843728,0.959045,23,0.02689114,0
1550,7610.002,0.192257,0.902738,0.847963,0.957513,26,0.02129709,0
1575,7644.259,0.189703,0.904821,0.849946,0.959697,26,0.02153085,0
1600,7842.080,0.192731,0.905133,0.848675,0.961591,23,0.02738819,0
1625,7872.175,0.197658,0.903231,0.848699,0.957764,23,0.02666563,0
1650,8065.960,0.190546,0.905637,0.852011,0.959263,23,0.02661394,0
1675,8095.999,0.194609,0.903810,0.851068,0.956553,23,0.02611471,0
1700,8289.210,0.190811,0.904323,0.852588,0.956057,26,0.02044610,0
1725,8323.973,0.183415,0.907870,0.855352,0.960389,26,0.02108894,0
1750,8530.371,0.187228,0.907327,0.855979,0.958676,27,0.02118457,0
1775,8566.321,0.180288,0.909663,0.860679,0.958648,27,0.02105066,0
1800,8773.312,0.183433,0.909743,0.859802,0.959684,24,0.02623977,0
