step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.387,1.147478,0.241228,0.186549,0.295908,20,0.00048697,0
25,26.897,0.835906,0.419787,0.392646,0.446927,20,0.00025919,0
50,192.851,0.606105,0.575847,0.557638,0.594056,23,0.00003215,0
75,222.077,0.465498,0.674010,0.661502,0.686519,23,0.00008521,0
100,418.617,0.381920,0.733033,0.699941,0.766126,26,0.00049459,1
125,453.028,0.312090,0.786791,0.731618,0.841964,26,0.00104009,3
150,676.820,0.264515,0.824115,0.768417,0.879813,29,0.00041039,3
175,714.884,0.225915,0.848551,0.789943,0.907160,29,0.00006043,2
200,952.231,0.203733,0.862386,0.810288,0.914485,28,0.00017323,1
225,988.908,0.180738,0.877732,0.832487,0.922977,28,0.00019333,0
250,1225.277,0.167820,0.887464,0.846483,0.928445,28,0.00016554,1
275,1262.685,0.158490,0.892736,0.855358,0.930115,28,0.00020857,0
300,1501.001,0.153537,0.896083,0.863914,0.928251,28,0.00022561,1
325,1538.625,0.147355,0.898566,0.868577,0.928555,28,0.00019449,1
350,1777.580,0.141290,0.902370,0.873635,0.931104,28,0.00014923,1
375,1815.617,0.134937,0.906164,0.881563,0.930766,28,0.00018245,1
400,2054.910,0.131424,0.909170,0.883069,0.935270,28,0.00017360,1
425,2092.897,0.123762,0.914323,0.887018,0.941628,28,0.00015801,1
450,2348.622,0.120614,0.915428,0.886635,0.944221,28,0.00016243,1
475,2386.903,0.122761,0.914913,0.882089,0.947736,28,0.00020309,1
500,2637.953,0.121875,0.916622,0.883296,0.949947,28,0.00017848,1
525,2678.255,0.117019,0.920583,0.886798,0.954368,28,0.00047308,1
550,2926.516,0.126020,0.914189,0.880829,0.947549,28,0.00019136,1
575,2966.555,0.125688,0.914721,0.880955,0.948488,28,0.00034098,1
600,3211.105,0.130573,0.911348,0.874911,0.947785,28,0.00017182,1
625,3252.338,0.134667,0.908661,0.868907,0.948415,28,0.00030760,1
650,3506.445,0.131378,0.910619,0.868784,0.952454,28,0.00019834,1
675,3547.508,0.129393,0.912606,0.871204,0.954008,28,0.00019783,1
