step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs
1,1.382,1.148583,0.240971,0.185919,0.296023,20,0.00151732,0
25,26.843,0.855501,0.406045,0.370968,0.441122,20,0.00498065,0
50,192.674,0.634689,0.556433,0.531232,0.581635,23,0.00761596,0
75,222.548,0.502053,0.649970,0.626533,0.673407,23,0.01164865,0
100,418.463,0.434466,0.698894,0.669912,0.727877,26,0.00917939,0
125,453.191,0.386305,0.734361,0.679450,0.789271,26,0.00961314,0
150,662.265,0.346960,0.765380,0.695268,0.835492,27,0.00809609,0
175,698.362,0.325502,0.782412,0.707764,0.857060,27,0.00739274,0
200,907.462,0.312207,0.790528,0.722003,0.859054,24,0.00902778,0
225,939.285,0.307021,0.794352,0.723560,0.865145,24,0.00834578,0
250,1135.487,0.301864,0.798928,0.726394,0.871462,23,0.00824048,0
275,1165.958,0.295083,0.803985,0.729476,0.878495,23,0.00851919,0
300,1361.787,0.283006,0.813336,0.732389,0.894284,26,0.00717834,0
325,1396.488,0.277994,0.817470,0.730629,0.904312,26,0.00746985,0
350,1597.207,0.279315,0.819205,0.725177,0.913233,23,0.00931026,0
375,1627.578,0.279322,0.817912,0.728978,0.906845,23,0.00944203,0
400,1825.651,0.282163,0.815402,0.731796,0.899009,23,0.00919286,0
425,1856.485,0.282579,0.816109,0.736199,0.896020,23,0.00932094,0
450,2055.230,0.264115,0.826913,0.748739,0.905088,26,0.00703423,0
475,2090.196,0.241818,0.842297,0.769826,0.914768,26,0.00774788,0
500,2316.027,0.224214,0.853809,0.794928,0.912690,28,0.00675556,0
525,2354.045,0.211503,0.862193,0.811527,0.912859,28,0.00708994,0
550,2599.813,0.206566,0.865546,0.814789,0.916303,31,0.00600209,0
575,2642.260,0.193425,0.874728,0.824898,0.924557,31,0.00645621,0
600,2890.198,0.187141,0.881105,0.832093,0.930117,28,0.00781975,0
625,2928.257,0.180838,0.884192,0.834734,0.933649,28,0.00808378,0
650,3172.810,0.176450,0.889058,0.837677,0.940440,28,0.00781357,0
675,3210.499,0.173798,0.890567,0.836769,0.944366,28,0.00745787,0
700,3452.796,0.171579,0.892011,0.837511,0.946511,28,0.00714855,0
725,3490.517,0.171815,0.891949,0.838134,0.945764,28,0.00667648,0
750,3732.235,0.171104,0.893604,0.839609,0.947599,28,0.00679223,0
775,3769.899,0.171240,0.892451,0.840234,0.944667,28,0.00684561,0
800,4006.101,0.173605,0.891448,0.836430,0.946467,27,0.00739586,0
825,4042.327,0.175538,0.890229,0.836347,0.944110,27,0.00790774,0
850,4267.207,0.176021,0.890755,0.836153,0.945358,26,0.00860423,0
875,4302.006,0.171466,0.894094,0.840564,0.947624,26,0.00919913,0
900,4517.617,0.174752,0.893880,0.837612,0.950148,25,0.01065757,0
925,4550.945,0.170854,0.896844,0.838401,0.955287,25,0.01169263,0
950,4756.857,0.167175,0.898687,0.839307,0.958068,24,0.01368530,0
975,4788.778,0.167386,0.899376,0.838595,0.960156,24,0.01297035,0
1000,4992.259,0.160609,0.903847,0.845620,0.962075,24,0.01265489,0
1025,5024.111,0.160549,0.902723,0.845636,0.959811,24,0.01198299,0
1050,5229.312,0.159970,0.902320,0.847560,0.957081,24,0.01155324,0
1075,5261.090,0.157708,0.903284,0.849821,0.956748,24,0.01119285,0
1100,5463.702,0.157879,0.902225,0.848421,0.956028,24,0.01082951,0
1125,5495.475,0.155420,0.903313,0.850125,0.956501,24,0.01091376,0
1150,5700.304,0.154558,0.905435,0.852014,0.958856,24,0.01091518,0
1175,5732.176,0.159669,0.900176,0.851670,0.948682,24,0.01000900,0
1200,5927.285,0.159889,0.897772,0.854963,0.940580,23,0.01012466,0
1225,5957.668,0.161432,0.897112,0.852472,0.941752,23,0.01037486,0
1250,6151.505,0.159201,0.898430,0.854219,0.942641,23,0.01044182,0
1275,6182.032,0.155943,0.901627,0.854378,0.948876,23,0.01042314,0
1300,6375.199,0.158096,0.898875,0.852602,0.945147,23,0.01066759,0
1325,6405.677,0.159561,0.898928,0.852806,0.945050,23,0.01049700,0
1350,6598.928,0.156386,0.900381,0.858077,0.942685,23,0.01058504,0
1375,6629.274,0.160136,0.897261,0.855539,0.938983,23,0.01040728,0
1400,6822.336,0.159288,0.898748,0.856584,0.940912,23,0.00994534,0
1425,6852.707,0.158918,0.898142,0.857544,0.938739,23,0.00990461,0
1450,7036.883,0.158270,0.897853,0.858449,0.937256,22,0.01065768,0
1475,7065.358,0.163249,0.895577,0.854635,0.936519,22,0.01078783,0
1500,7249.265,0.158656,0.899144,0.860958,0.937330,22,0.01034229,0
1525,7278.075,0.156822,0.899898,0.859105,0.940690,22,0.01043927,0
1550,7461.841,0.158229,0.898432,0.859121,0.937743,22,0.01029032,0
1575,7490.454,0.158228,0.899625,0.859950,0.939301,22,0.01055783,0
1600,7673.500,0.160427,0.897359,0.857957,0.936761,22,0.01025235,0
1625,7702.586,0.157427,0.898740,0.862114,0.935366,22,0.00996320,0
1650,7888.971,0.158731,0.897501,0.860078,0.934924,22,0.00949442,0
1675,7917.988,0.158894,0.898034,0.858502,0.937566,22,0.00912468,0
1700,8102.232,0.159028,0.897488,0.857587,0.937389,22,0.00892607,0
1725,8130.996,0.159077,0.897435,0.858360,0.936510,22,0.00871787,0
1750,8317.057,0.159787,0.896358,0.858287,0.934428,22,0.00838024,0
1775,8346.264,0.160500,0.896492,0.858475,0.934508,22,0.00834999,0
1800,8532.958,0.163600,0.893862,0.854083,0.933640,22,0.00807159,0
1825,8562.005,0.163216,0.894326,0.855814,0.932837,22,0.00804433,0
1850,8739.886,0.164378,0.893912,0.855113,0.932711,21,0.00867832,0
1875,8767.161,0.166612,0.893485,0.851715,0.935255,21,0.00892276,0
1900,8943.181,0.167058,0.891904,0.852299,0.931510,21,0.00833645,0
1925,8970.530,0.168951,0.891330,0.851096,0.931563,21,0.00819020,0
1950,9146.782,0.169858,0.890849,0.849622,0.932075,21,0.00796047,0
1975,9174.187,0.170951,0.889130,0.851630,0.926630,21,0.00787924,0
2000,9350.046,0.173242,0.887056,0.848253,0.925860,21,0.00784097,0
