patches,deleted_patch_index,loss,mean_iou,view1_iou,view2_iou,mean_coverage,mean_precision,mean_spill
26,-1,0.170227,0.893533,0.875376,0.911689,0.956085,0.932018,0.070552
25,4,0.164994,0.894901,0.873924,0.915877,0.952772,0.936643,0.065340
24,18,0.161564,0.897281,0.876094,0.918468,0.955959,0.936150,0.066066
23,1,0.168681,0.888010,0.864881,0.911139,0.948547,0.933389,0.069078
22,19,0.170787,0.891552,0.872824,0.910281,0.947656,0.937997,0.063506
21,10,0.178406,0.883219,0.857271,0.909168,0.942826,0.933576,0.068565
20,13,0.189805,0.876246,0.851204,0.901288,0.935714,0.932741,0.068887
19,15,0.196847,0.871924,0.844352,0.899495,0.935001,0.928710,0.073629
18,18,0.202001,0.868819,0.829667,0.907971,0.925542,0.933942,0.067273
17,2,0.208046,0.871771,0.850548,0.892994,0.918234,0.945451,0.054033
16,11,0.225729,0.860324,0.847084,0.873564,0.909352,0.942317,0.057536
15,14,0.243406,0.852721,0.829910,0.875532,0.897924,0.944564,0.053863
14,12,0.270830,0.835747,0.799273,0.872221,0.882663,0.939543,0.057567
13,12,0.288433,0.830402,0.797866,0.862938,0.874325,0.942431,0.054050
12,5,0.316137,0.810166,0.767372,0.852961,0.855346,0.937662,0.057658
11,2,0.340186,0.803509,0.750728,0.856289,0.840914,0.945399,0.048499
10,10,0.367830,0.783558,0.707003,0.860114,0.829939,0.928863,0.062966
9,8,0.421922,0.760191,0.665804,0.854578,0.799989,0.932441,0.056002
8,2,0.475600,0.732405,0.626689,0.838120,0.769720,0.929645,0.055628
7,1,0.536133,0.698462,0.613362,0.783563,0.735550,0.925810,0.057415
6,1,0.622493,0.650281,0.583649,0.716912,0.683992,0.924268,0.055298
5,2,0.711157,0.602640,0.603128,0.602152,0.631322,0.932670,0.047569
4,1,0.829887,0.538555,0.473546,0.603564,0.561264,0.923226,0.045256
3,2,1.000129,0.445130,0.368602,0.521657,0.459433,0.923310,0.035537
2,2,1.216052,0.328345,0.193252,0.463438,0.335783,0.897719,0.028521
1,0,1.465887,0.185290,0.200260,0.170319,0.187652,0.939882,0.012376
