step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.513,1.660304,0.161737,0.165288,0.158186,20,0.00000000,0,0.077283,0.090495,0.064072,0.695023,0.665751,0.724295,0.174283,0.180246,0.168321,0.024734,0.027956,0.805480,0.828545,0.000000,0,0,0,0,0
10,11.464,1.520101,0.208525,0.216084,0.200965,20,0.00000000,0,0.054929,0.067429,0.042428,0.802686,0.773791,0.831582,0.220073,0.230655,0.209492,0.018329,0.018327,0.754728,0.787648,0.000000,0,0,0,0,0
20,22.222,1.384940,0.265746,0.276416,0.255076,20,0.00000000,0,0.042342,0.054501,0.030183,0.869723,0.842473,0.896972,0.277128,0.291481,0.262775,0.014868,0.012935,0.693836,0.733775,0.000000,0,0,0,0,0
30,32.728,1.275979,0.321845,0.333658,0.310032,20,0.00000000,0,0.040484,0.051711,0.029256,0.893791,0.871564,0.916017,0.335007,0.350911,0.319102,0.013833,0.012522,0.634886,0.677446,0.000000,0,0,0,0,0
40,43.332,1.164653,0.377897,0.384227,0.371567,20,0.00000000,0,0.036932,0.049572,0.024292,0.915268,0.890532,0.940003,0.391933,0.403274,0.380593,0.013337,0.010362,0.583812,0.615451,0.000000,0,0,0,0,0
50,199.747,1.038097,0.442704,0.441676,0.443733,23,0.00000000,0,0.032065,0.041295,0.022836,0.934853,0.917610,0.952097,0.456890,0.459914,0.453866,0.011134,0.009742,0.526954,0.542980,0.000000,3,0,0,0,0
60,212.293,0.931424,0.501536,0.495277,0.507795,23,0.00000999,1,0.033473,0.043713,0.023233,0.939615,0.922031,0.957200,0.518260,0.516927,0.519592,0.012024,0.009988,0.469342,0.477516,0.000000,3,0,0,0,0
70,224.909,0.849360,0.543436,0.532651,0.554222,23,0.00006765,1,0.032655,0.045387,0.019923,0.945294,0.924633,0.965954,0.561045,0.556827,0.565263,0.012201,0.008470,0.429974,0.431023,0.000000,3,0,0,0,0
80,237.524,0.788141,0.574287,0.562533,0.586040,23,0.00004655,1,0.030134,0.045573,0.014694,0.951987,0.928089,0.975885,0.591411,0.588170,0.594652,0.012252,0.006361,0.398860,0.402362,0.000000,3,0,0,0,0
90,249.881,0.740643,0.601479,0.593916,0.609041,23,0.00034954,0,0.032443,0.048735,0.016150,0.951001,0.927434,0.974567,0.620869,0.622861,0.618877,0.013118,0.006854,0.364722,0.378055,0.000000,3,0,0,0,0
100,423.665,0.688641,0.630165,0.623818,0.636512,25,0.00075182,1,0.033408,0.051990,0.014827,0.952077,0.926592,0.977562,0.651100,0.656250,0.645949,0.014040,0.006327,0.331963,0.351141,0.000000,6,0,1,0,0
110,437.470,0.651302,0.651079,0.639124,0.663034,25,0.00101149,4,0.033967,0.053571,0.014363,0.952698,0.926305,0.979090,0.672960,0.673363,0.672558,0.014455,0.006170,0.315731,0.324653,0.000000,6,0,1,0,0
120,451.509,0.614008,0.670698,0.657762,0.683634,25,0.00116326,4,0.032865,0.051432,0.014297,0.955289,0.930780,0.979798,0.692500,0.691592,0.693407,0.013985,0.006134,0.297070,0.303779,0.000000,6,0,1,0,0
130,465.215,0.585086,0.685328,0.671003,0.699654,25,0.00162055,5,0.032513,0.051060,0.013966,0.956591,0.932489,0.980694,0.707345,0.705264,0.709425,0.013832,0.005835,0.283273,0.286896,0.000000,6,0,1,0,0
140,478.889,0.555283,0.701857,0.684285,0.719430,25,0.00203909,4,0.033406,0.054036,0.012775,0.956536,0.930302,0.982769,0.724941,0.721261,0.728621,0.014440,0.005448,0.267946,0.267900,0.000000,6,0,1,0,0
150,665.358,0.532793,0.715710,0.694303,0.737117,27,0.00225570,2,0.036272,0.057850,0.014694,0.953860,0.926987,0.980733,0.741208,0.734468,0.747948,0.015492,0.006238,0.254426,0.248891,0.000000,9,0,2,0,0
160,680.055,0.500633,0.732015,0.710633,0.753398,27,0.00224288,1,0.033923,0.054874,0.012973,0.957538,0.931792,0.983285,0.756400,0.749628,0.763172,0.014866,0.005519,0.239657,0.233318,0.000000,9,0,2,0,0
170,694.557,0.465384,0.752398,0.731785,0.773012,27,0.00244457,1,0.035410,0.056920,0.013900,0.957013,0.931452,0.982574,0.778597,0.773438,0.783757,0.015279,0.006067,0.216604,0.213205,0.000000,9,0,2,0,0
180,709.033,0.438314,0.768779,0.752945,0.784612,27,0.00261244,0,0.037364,0.057850,0.016878,0.955786,0.932288,0.979283,0.797179,0.796503,0.797855,0.015787,0.007347,0.193169,0.199278,0.000000,9,0,2,0,0
190,723.705,0.422615,0.778974,0.764278,0.793671,27,0.00180568,2,0.040479,0.060175,0.020784,0.952928,0.930869,0.974988,0.810217,0.810268,0.810167,0.016297,0.008994,0.179695,0.187309,0.000000,9,0,2,0,0
200,931.994,0.404584,0.787082,0.769991,0.804173,27,0.00124676,1,0.040729,0.063058,0.018401,0.953249,0.928473,0.978025,0.818758,0.818545,0.818970,0.016947,0.007870,0.171401,0.177900,0.000000,9,0,2,0,0
210,946.537,0.400088,0.791553,0.776891,0.806216,27,0.00093365,0,0.041612,0.060919,0.022306,0.952413,0.931176,0.973649,0.824209,0.824219,0.824199,0.016677,0.009453,0.166080,0.173215,0.000000,9,0,2,0,0
220,961.136,0.386043,0.797732,0.782341,0.813123,27,0.00052885,3,0.039707,0.057571,0.021843,0.954665,0.934945,0.974385,0.829133,0.827381,0.830884,0.015623,0.009279,0.162304,0.166613,0.000000,9,0,2,0,0
230,975.498,0.377737,0.801453,0.786444,0.816461,27,0.00040074,1,0.038930,0.056548,0.021313,0.955680,0.936282,0.975077,0.832389,0.830915,0.833863,0.015157,0.009136,0.158753,0.163471,0.000000,9,0,2,0,0
240,990.056,0.369458,0.806649,0.792833,0.820466,27,0.00028232,2,0.039110,0.053664,0.024557,0.955627,0.939638,0.971617,0.837997,0.835379,0.840614,0.014398,0.010375,0.154398,0.156803,0.000000,9,0,2,0,0
