step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.368,1.378002,0.285997,0.264764,0.307229,20,0.00019481,0,0.195178,0.181681,0.208675,0.636428,0.632632,0.640224,0.342104,0.312867,0.371340,0.024462,0.030884,0.684096,0.625483,0.000000,0,0,0,0,0
10,18.592,1.171304,0.373293,0.347120,0.399467,20,0.00007321,1,0.148803,0.135715,0.161890,0.742653,0.743906,0.741401,0.429183,0.394229,0.464136,0.017989,0.023888,0.601633,0.532252,0.000000,0,0,0,0,0
20,36.228,0.966066,0.471386,0.448604,0.494169,20,0.00017088,2,0.126880,0.111391,0.142370,0.807990,0.817382,0.798597,0.531549,0.498574,0.564524,0.014720,0.020999,0.499052,0.431348,0.000000,0,0,0,0,0
30,53.683,0.774105,0.566673,0.555249,0.578097,20,0.00040370,1,0.117350,0.093105,0.141596,0.845175,0.867002,0.823348,0.633449,0.606945,0.659954,0.012234,0.020889,0.389972,0.337339,0.000000,0,0,0,0,0
40,71.011,0.611766,0.646663,0.650506,0.642819,20,0.00069826,1,0.124877,0.093441,0.156313,0.855065,0.883886,0.826244,0.727295,0.711290,0.743300,0.012245,0.022878,0.285915,0.252789,0.000000,0,0,0,0,0
50,315.467,0.477834,0.713094,0.727940,0.698248,23,0.00072229,0,0.132215,0.096964,0.167467,0.860648,0.891720,0.829576,0.806853,0.798524,0.815182,0.012707,0.024416,0.199237,0.182636,0.000000,3,0,0,0,0
60,335.342,0.390469,0.758580,0.786287,0.730872,23,0.00042870,2,0.121444,0.088743,0.154144,0.875785,0.906072,0.845497,0.849798,0.856064,0.843532,0.011631,0.022599,0.142557,0.154044,0.000000,3,0,0,0,0
70,355.151,0.337598,0.783534,0.809983,0.757085,23,0.00058273,1,0.121784,0.095622,0.147947,0.878631,0.902730,0.854532,0.878264,0.887435,0.869094,0.012320,0.021513,0.110604,0.128720,0.000000,3,0,0,0,0
80,374.728,0.299220,0.802323,0.823162,0.781484,23,0.00035760,3,0.120105,0.102332,0.137878,0.882208,0.898654,0.865762,0.898316,0.907398,0.889233,0.013174,0.020016,0.090563,0.108864,0.000000,3,0,0,0,0
90,394.258,0.272126,0.816537,0.838164,0.794910,23,0.00027564,3,0.116058,0.099815,0.132301,0.887074,0.902299,0.871849,0.910951,0.921825,0.900077,0.012911,0.018997,0.075744,0.098773,0.000000,3,0,0,0,0
100,661.877,0.245512,0.832306,0.856968,0.807645,25,0.00013939,3,0.108488,0.094279,0.122696,0.894730,0.908648,0.880813,0.922251,0.937762,0.906739,0.012280,0.017739,0.060761,0.091846,0.000000,6,0,1,0,0
110,682.978,0.233032,0.839738,0.865258,0.814218,25,0.00019587,2,0.105673,0.095622,0.115724,0.897691,0.908375,0.887007,0.928219,0.947995,0.908443,0.012369,0.016789,0.051484,0.090657,0.000000,6,0,1,0,0
120,703.760,0.229520,0.842248,0.866073,0.818423,25,0.00020305,0,0.100277,0.092266,0.108288,0.902240,0.911133,0.893348,0.926516,0.945982,0.907049,0.012091,0.015498,0.053032,0.091475,0.000000,6,0,1,0,0
130,724.489,0.214763,0.852249,0.878393,0.826105,25,0.00024252,0,0.092663,0.081530,0.103796,0.909383,0.920963,0.897804,0.930930,0.950008,0.911851,0.010663,0.014866,0.049678,0.086642,0.000000,6,0,1,0,0
140,745.283,0.201606,0.860845,0.889062,0.832628,25,0.00038522,0,0.087209,0.076665,0.097754,0.914616,0.925848,0.903384,0.935621,0.957222,0.914020,0.009921,0.014223,0.042663,0.084465,0.000000,6,0,1,0,0
150,1030.865,0.186340,0.868614,0.900626,0.836602,26,0.00033146,1,0.084938,0.071968,0.097909,0.917150,0.930627,0.903673,0.941977,0.965442,0.918513,0.009312,0.013982,0.034009,0.079601,0.000000,9,0,3,0,0
160,1053.077,0.181298,0.873106,0.900157,0.846055,26,0.00049693,1,0.079233,0.068613,0.089853,0.922313,0.933420,0.911206,0.941998,0.961919,0.922076,0.008857,0.012933,0.037527,0.076369,0.000000,9,0,3,0,0
170,1074.902,0.173890,0.877611,0.908720,0.846503,26,0.00052879,1,0.079898,0.067774,0.092022,0.922089,0.934712,0.909465,0.947353,0.970307,0.924400,0.008751,0.013396,0.030129,0.074085,0.000000,9,0,3,0,0
180,1096.567,0.165280,0.882492,0.915340,0.849644,26,0.00069513,2,0.076581,0.064083,0.089078,0.925227,0.938268,0.912187,0.949663,0.973998,0.925329,0.008219,0.012989,0.025472,0.072798,0.000000,9,0,3,0,0
190,1118.522,0.159854,0.886316,0.917363,0.855269,26,0.00076184,1,0.075096,0.063748,0.086445,0.926784,0.938680,0.914887,0.952523,0.975843,0.929202,0.008240,0.012735,0.023817,0.069309,0.000000,9,0,3,0,0
200,1425.281,0.148545,0.890022,0.918601,0.861442,28,0.00071275,2,0.080433,0.069619,0.091247,0.922677,0.933833,0.911522,0.961300,0.982553,0.940046,0.008785,0.013430,0.017271,0.058365,0.000000,12,0,4,0,0
210,1448.637,0.139599,0.894983,0.924264,0.865701,28,0.00080656,3,0.078336,0.065425,0.091247,0.924809,0.937700,0.911919,0.964714,0.984734,0.944694,0.008503,0.013034,0.014779,0.053557,0.000000,12,0,4,0,0
220,1472.028,0.131382,0.899666,0.921436,0.877895,28,0.00075137,3,0.076644,0.069787,0.083501,0.926592,0.933884,0.919299,0.968471,0.985741,0.951201,0.008976,0.011967,0.014029,0.047593,0.000000,12,0,4,0,0
