step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.592,1.742947,0.158133,0.190908,0.125358,20,0.00019250,0,0.163478,0.113545,0.213410,0.533994,0.651840,0.416147,0.182348,0.212585,0.152110,0.028211,0.048291,0.784822,0.845628,0.000000,0,0,0,0,0
10,12.182,1.586278,0.208772,0.243271,0.174274,20,0.00001569,1,0.125622,0.088936,0.162309,0.651908,0.748657,0.555159,0.233733,0.264906,0.202560,0.022014,0.036704,0.732020,0.795627,0.000000,0,0,0,0,0
20,23.658,1.433843,0.272565,0.303484,0.241646,20,0.00000191,1,0.106655,0.076931,0.136378,0.738814,0.809465,0.668163,0.300716,0.326831,0.274601,0.018979,0.030770,0.670873,0.723289,0.000000,0,0,0,0,0
30,34.661,1.295866,0.338596,0.365317,0.311875,20,0.00000000,0,0.103124,0.077031,0.129218,0.783925,0.836275,0.731575,0.372816,0.393457,0.352175,0.018755,0.028806,0.603334,0.646273,0.000000,0,0,0,0,0
40,45.641,1.159843,0.406015,0.432372,0.379657,20,0.00000000,0,0.098255,0.075430,0.121081,0.819475,0.860422,0.778527,0.445306,0.464986,0.425627,0.018696,0.027217,0.532012,0.573047,0.000000,0,0,0,0,0
50,203.658,1.013041,0.478181,0.504513,0.451848,23,0.00000000,0,0.095230,0.075130,0.115330,0.846056,0.878341,0.813770,0.523189,0.542417,0.503960,0.018371,0.025780,0.454692,0.494305,0.000000,3,0,0,0,0
60,216.409,0.862205,0.552794,0.572998,0.532590,23,0.00006473,0,0.091517,0.074430,0.108604,0.868390,0.892143,0.844638,0.603038,0.615646,0.590431,0.018122,0.024148,0.381472,0.407404,0.000000,3,0,0,0,0
70,229.133,0.747744,0.611400,0.618531,0.604269,23,0.00018295,0,0.090797,0.078631,0.102962,0.880377,0.894567,0.866187,0.666826,0.667167,0.666486,0.019234,0.022945,0.329938,0.332030,0.000000,3,0,0,0,0
80,241.750,0.653489,0.659450,0.652664,0.666236,23,0.00066515,0,0.087877,0.083533,0.092221,0.890939,0.894357,0.887522,0.717430,0.707183,0.727677,0.020447,0.020545,0.290912,0.270699,0.000000,3,0,0,0,0
90,254.467,0.573155,0.699780,0.675599,0.723961,23,0.00102544,1,0.085699,0.090136,0.081263,0.898456,0.890960,0.905952,0.759644,0.736495,0.782793,0.021856,0.018058,0.261779,0.214608,0.000000,3,0,0,0,0
100,428.085,0.515908,0.729522,0.693496,0.765548,25,0.00141145,1,0.081958,0.087535,0.076381,0.905589,0.896007,0.915171,0.789111,0.754202,0.824021,0.021349,0.017009,0.244378,0.174323,0.000000,5,1,1,0,0
110,441.955,0.468390,0.753053,0.707020,0.799085,25,0.00193803,1,0.076713,0.085834,0.067592,0.913011,0.899437,0.926585,0.810402,0.767707,0.853098,0.020896,0.015006,0.230426,0.144889,0.000000,5,1,1,0,0
120,455.804,0.443543,0.765444,0.721137,0.809752,25,0.00181947,3,0.073194,0.080532,0.065857,0.917718,0.906330,0.929105,0.821145,0.779212,0.863079,0.019608,0.014528,0.219307,0.135560,0.000000,5,1,1,0,0
130,469.721,0.412240,0.780802,0.740710,0.820894,25,0.00215898,2,0.071181,0.076831,0.065531,0.921220,0.912138,0.930302,0.836154,0.797619,0.874688,0.018586,0.014473,0.200684,0.123443,0.000000,5,1,1,0,0
140,483.626,0.384105,0.795658,0.762885,0.828431,25,0.00249518,2,0.065956,0.069528,0.062385,0.927643,0.921478,0.933809,0.848020,0.815926,0.880113,0.017074,0.013808,0.183244,0.118072,0.000000,5,1,1,0,0
150,663.146,0.362813,0.806482,0.779307,0.833657,25,0.00273383,3,0.064809,0.068427,0.061191,0.929683,0.924059,0.935306,0.858651,0.832633,0.884670,0.016518,0.013441,0.166555,0.114608,0.000000,8,1,4,0,0
160,677.149,0.339962,0.817776,0.793528,0.842024,25,0.00247337,2,0.060243,0.063525,0.056960,0.934923,0.929997,0.939849,0.866962,0.843938,0.889986,0.015483,0.012598,0.155068,0.108423,0.000000,8,1,4,0,0
170,691.044,0.321465,0.827780,0.809304,0.846256,25,0.00253879,3,0.061487,0.062325,0.060649,0.934557,0.932408,0.936707,0.878662,0.859744,0.897581,0.015194,0.013386,0.139600,0.101287,0.000000,8,1,4,0,0
180,704.960,0.296801,0.839995,0.828439,0.851551,25,0.00234936,2,0.056057,0.056022,0.056092,0.940554,0.939817,0.941290,0.887083,0.874850,0.899316,0.013647,0.012415,0.123920,0.099783,0.000000,8,1,4,0,0
190,718.879,0.279981,0.848470,0.842275,0.854665,25,0.00231577,2,0.055295,0.053521,0.057068,0.941850,0.943115,0.940585,0.895397,0.887355,0.903439,0.013043,0.012492,0.111202,0.095945,0.000000,8,1,4,0,0
200,909.145,0.260012,0.859068,0.853340,0.864795,27,0.00291049,2,0.055573,0.055922,0.055224,0.942251,0.941564,0.942937,0.906807,0.901060,0.912553,0.013436,0.012101,0.097994,0.086497,0.000000,11,1,5,0,0
210,924.052,0.242672,0.868625,0.872141,0.865110,27,0.00259485,2,0.056544,0.058623,0.054465,0.941977,0.940295,0.943659,0.917748,0.923269,0.912227,0.014127,0.012089,0.076145,0.086607,0.000000,11,1,5,0,0
220,938.871,0.221889,0.879139,0.883278,0.875000,27,0.00193054,4,0.053946,0.055922,0.051969,0.944995,0.943433,0.946558,0.926573,0.932673,0.920473,0.013625,0.011433,0.066011,0.078798,0.000000,11,1,5,0,0
230,953.582,0.206342,0.887888,0.893454,0.882323,27,0.00205792,4,0.056469,0.059124,0.053814,0.943242,0.941194,0.945290,0.938041,0.946279,0.929804,0.014334,0.012026,0.052736,0.069495,0.000000,11,1,5,0,0
240,968.318,0.198579,0.891025,0.897438,0.884611,27,0.00211956,4,0.054767,0.058323,0.051210,0.944975,0.942145,0.947805,0.939846,0.949780,0.929912,0.014032,0.011275,0.049070,0.068696,0.000000,11,1,5,0,0
250,1161.184,0.194813,0.894273,0.898519,0.890027,25,0.00257757,4,0.054719,0.060724,0.048714,0.945250,0.940103,0.950398,0.943233,0.953081,0.933384,0.014805,0.010793,0.046187,0.065875,0.000000,12,1,8,0,0
260,1175.138,0.189935,0.895992,0.903015,0.888969,25,0.00216853,5,0.054875,0.058323,0.051427,0.945166,0.942482,0.947849,0.945184,0.955682,0.934686,0.014085,0.011410,0.043242,0.064132,0.000000,12,1,8,0,0
270,1188.862,0.183353,0.899846,0.905759,0.893933,25,0.00208728,4,0.050299,0.056222,0.044375,0.949560,0.944494,0.954626,0.945142,0.956683,0.933601,0.013808,0.009911,0.041997,0.065230,0.000000,12,1,8,0,0
280,1202.469,0.180487,0.900657,0.907102,0.894212,25,0.00158558,7,0.050236,0.056423,0.044049,0.949670,0.944395,0.954944,0.945942,0.958283,0.933601,0.013638,0.009697,0.040610,0.065359,0.000000,12,1,8,0,1
290,1216.154,0.173628,0.904347,0.907362,0.901332,25,0.00176821,4,0.049822,0.057223,0.042422,0.950253,0.943706,0.956800,0.949426,0.959284,0.939568,0.013711,0.009416,0.039670,0.059366,0.000000,12,1,8,0,1
300,1407.330,0.169606,0.906864,0.909134,0.904593,27,0.00158601,4,0.050393,0.059124,0.041662,0.949904,0.942150,0.957658,0.952583,0.962885,0.942281,0.014221,0.009230,0.036425,0.056989,0.000000,15,1,9,0,1
310,1422.223,0.162665,0.910020,0.912425,0.907614,27,0.00187038,6,0.048592,0.055522,0.041662,0.951642,0.945492,0.957793,0.954256,0.963085,0.945427,0.013109,0.009307,0.036051,0.053573,0.000000,15,1,9,0,1
320,1437.200,0.150737,0.916846,0.919779,0.913913,27,0.00205684,6,0.046766,0.052521,0.041011,0.953607,0.948540,0.958675,0.959741,0.968087,0.951394,0.012711,0.009143,0.031218,0.047254,0.000000,15,1,9,0,1
330,1452.191,0.141812,0.921564,0.922069,0.921058,27,0.00217521,7,0.047846,0.053922,0.041771,0.952857,0.947430,0.958284,0.965660,0.971789,0.959531,0.013030,0.009245,0.027448,0.039332,0.000000,15,1,9,0,1
340,1467.167,0.135682,0.923903,0.919844,0.927962,27,0.00191984,6,0.048413,0.054622,0.042205,0.952440,0.946695,0.958186,0.968607,0.970088,0.967126,0.013046,0.009214,0.029125,0.031096,0.000000,15,1,9,0,1
350,1664.040,0.145438,0.918715,0.916541,0.920889,25,0.00056982,6,0.051724,0.058423,0.045025,0.949250,0.943196,0.955304,0.966220,0.970088,0.962352,0.014028,0.010011,0.028962,0.036038,0.000000,15,1,11,0,1
360,1678.030,0.141599,0.921232,0.917093,0.925372,25,0.00025495,5,0.050427,0.057023,0.043832,0.950518,0.944444,0.956592,0.967660,0.969388,0.965933,0.013585,0.009830,0.030259,0.033216,0.000000,15,1,11,0,1
370,1692.119,0.138896,0.922127,0.918944,0.925309,25,0.00009090,5,0.050344,0.057723,0.042964,0.950660,0.943942,0.957378,0.968527,0.971989,0.965065,0.013798,0.009616,0.026623,0.033982,0.000000,15,1,11,0,1
380,1706.067,0.137466,0.922949,0.921374,0.924524,25,0.00010463,6,0.050469,0.057323,0.043615,0.950590,0.944428,0.956751,0.969519,0.974190,0.964848,0.013811,0.009686,0.024748,0.033924,0.000000,15,1,11,0,1
390,1720.060,0.134276,0.924966,0.925304,0.924628,25,0.00007285,7,0.048818,0.054022,0.043615,0.952136,0.947517,0.956756,0.970123,0.975290,0.964956,0.013094,0.009798,0.023910,0.033660,0.000000,15,1,11,0,1
400,1916.098,0.131499,0.925778,0.924460,0.927096,25,0.00011761,4,0.045886,0.051521,0.040252,0.954801,0.949668,0.959935,0.968251,0.972089,0.964414,0.012188,0.008776,0.027374,0.034791,0.000000,15,1,11,0,1
410,1929.913,0.126080,0.928864,0.929975,0.927753,25,0.00006436,5,0.045412,0.048619,0.042205,0.955344,0.952511,0.958177,0.971050,0.975190,0.966909,0.011579,0.009268,0.024233,0.032415,0.000000,15,1,11,0,1
420,1944.029,0.123652,0.930210,0.931901,0.928519,25,0.00007130,5,0.044324,0.047419,0.041228,0.956385,0.953670,0.959100,0.971445,0.976090,0.966800,0.011260,0.009221,0.023297,0.032115,0.000000,15,1,11,0,1
430,1958.212,0.122973,0.930722,0.931981,0.929462,25,0.00007730,5,0.045046,0.045718,0.044375,0.955738,0.955192,0.956285,0.972648,0.974590,0.970706,0.011041,0.009903,0.024378,0.028422,0.000000,15,1,11,0,1
440,1972.325,0.122737,0.930484,0.932581,0.928386,25,0.00013749,3,0.045735,0.046118,0.045351,0.955109,0.954861,0.955356,0.973040,0.975590,0.970489,0.010997,0.009979,0.023656,0.028708,0.000000,15,1,11,0,1
450,2170.885,0.128010,0.926732,0.930188,0.923276,25,0.00009605,5,0.049093,0.047519,0.050667,0.951931,0.953500,0.950361,0.972223,0.974390,0.970055,0.011129,0.011051,0.024068,0.029370,0.000000,15,1,11,0,1
460,2185.063,0.127771,0.927328,0.932135,0.922521,25,0.00009154,5,0.049131,0.046619,0.051644,0.951926,0.954394,0.949458,0.972877,0.975590,0.970164,0.010988,0.011310,0.023556,0.029146,0.000000,15,1,11,0,1
470,2199.298,0.129045,0.927222,0.930705,0.923738,25,0.00008020,2,0.047603,0.048119,0.047087,0.953284,0.952991,0.953578,0.971362,0.975490,0.967234,0.011388,0.010477,0.024012,0.031850,0.000000,15,1,11,0,1
480,2213.382,0.127935,0.927025,0.932411,0.921639,25,0.00018981,4,0.049402,0.047919,0.050884,0.951668,0.953250,0.950085,0.972814,0.977091,0.968536,0.011402,0.011034,0.021920,0.030339,0.000000,15,1,11,0,1
490,2227.607,0.129515,0.926302,0.927852,0.924752,25,0.00010580,4,0.051761,0.052421,0.051101,0.949553,0.949052,0.950053,0.974249,0.976491,0.972008,0.012366,0.011300,0.022072,0.027086,0.000000,15,1,11,0,1
500,2419.015,0.128701,0.927642,0.930903,0.924380,25,0.00012443,3,0.050677,0.051120,0.050233,0.950576,0.950350,0.950802,0.974653,0.978491,0.970815,0.012117,0.011432,0.020848,0.027861,0.000000,15,1,11,0,1
510,2433.300,0.127175,0.928483,0.931621,0.925345,25,0.00015326,1,0.052053,0.051921,0.052186,0.949406,0.949685,0.949127,0.976814,0.979992,0.973636,0.012413,0.011660,0.019618,0.025276,0.000000,15,1,11,0,1
520,2447.629,0.125970,0.928785,0.932467,0.925103,25,0.00020358,3,0.048776,0.047319,0.050233,0.952312,0.953786,0.950839,0.974082,0.976591,0.971574,0.011044,0.011342,0.022655,0.027607,0.000000,15,1,11,0,1
530,2461.839,0.126484,0.928333,0.932367,0.924299,25,0.00027327,4,0.050344,0.048719,0.051969,0.950901,0.952539,0.949264,0.975062,0.977791,0.972334,0.011597,0.011483,0.021062,0.026943,0.000000,15,1,11,0,1
540,2475.713,0.123622,0.930311,0.933498,0.927124,25,0.00020248,0,0.049801,0.050020,0.049582,0.951482,0.951447,0.951517,0.976643,0.980192,0.973093,0.011897,0.011075,0.019326,0.025985,0.000000,15,1,11,0,1
550,2675.718,0.122292,0.930496,0.933321,0.927671,25,0.00012986,2,0.050868,0.051721,0.050016,0.950553,0.949947,0.951160,0.977831,0.981593,0.974070,0.012027,0.011111,0.017804,0.025420,0.000000,15,1,11,0,1
560,2690.168,0.120237,0.932175,0.935305,0.929044,25,0.00013627,1,0.048675,0.048419,0.048931,0.952567,0.952946,0.952189,0.977548,0.980592,0.974504,0.011742,0.010916,0.018549,0.024310,0.000000,15,1,11,0,1
570,2704.407,0.120100,0.931560,0.934586,0.928534,25,0.00011290,2,0.049080,0.049120,0.049040,0.952180,0.952293,0.952068,0.977281,0.980492,0.974070,0.011568,0.010811,0.018393,0.025449,0.000000,15,1,11,0,1
580,2718.422,0.118994,0.932429,0.935453,0.929406,25,0.00012179,1,0.048705,0.047719,0.049691,0.952553,0.953572,0.951534,0.977840,0.980092,0.975589,0.011448,0.010941,0.018832,0.023733,0.000000,15,1,11,0,1
590,2732.334,0.119217,0.932447,0.935228,0.929665,25,0.00010125,1,0.048825,0.048719,0.048931,0.952448,0.952677,0.952220,0.977973,0.980792,0.975155,0.011554,0.010927,0.018538,0.023926,0.000000,15,1,11,0,1
600,2922.541,0.118526,0.932647,0.936103,0.929192,25,0.00005892,1,0.048501,0.047419,0.049582,0.952744,0.953869,0.951620,0.977878,0.980492,0.975263,0.011236,0.011033,0.018706,0.023869,0.000000,15,1,11,0,1
610,2936.562,0.117756,0.932894,0.936026,0.929761,25,0.00005336,1,0.048271,0.047719,0.048823,0.952960,0.953599,0.952320,0.977923,0.980692,0.975155,0.011502,0.010629,0.018363,0.023910,0.000000,15,1,11,0,1
620,2950.555,0.117675,0.932843,0.934822,0.930863,25,0.00004517,1,0.048300,0.048319,0.048280,0.952933,0.953011,0.952855,0.977899,0.979992,0.975806,0.011473,0.010722,0.018481,0.023453,0.000000,15,1,11,0,1
630,2964.614,0.118448,0.932587,0.936300,0.928874,25,0.00008270,1,0.049256,0.047519,0.050993,0.952074,0.953789,0.950359,0.978516,0.980792,0.976240,0.011370,0.011177,0.018259,0.023099,0.000000,15,1,11,0,1
