step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.491,1.670013,0.190116,0.208355,0.171876,20,0.00000464,0,0.209850,0.265279,0.154421,0.530392,0.498438,0.562346,0.231022,0.263627,0.198418,0.036205,0.045783,0.729578,0.798039,0.000000,0,0,0,0,0
10,11.295,1.479428,0.246605,0.284601,0.208609,20,0.00000000,0,0.145170,0.187479,0.102861,0.667118,0.643194,0.691042,0.284013,0.337958,0.230067,0.025341,0.030528,0.654427,0.765907,0.000000,0,0,0,0,0
20,21.787,1.322401,0.312059,0.376160,0.247958,20,0.00016037,0,0.121365,0.157086,0.085645,0.746720,0.734802,0.758638,0.352222,0.435249,0.269194,0.020995,0.025395,0.557234,0.726416,0.000000,0,0,0,0,0
30,31.844,1.195876,0.371410,0.445963,0.296857,20,0.00007486,0,0.119548,0.160059,0.079037,0.782903,0.763716,0.802090,0.418832,0.517344,0.320320,0.021162,0.023397,0.475414,0.675041,0.000000,0,0,0,0,0
40,42.023,1.084596,0.426529,0.500631,0.352428,20,0.00001697,0,0.127033,0.177899,0.076167,0.800499,0.768238,0.832761,0.484482,0.589693,0.379271,0.023788,0.022388,0.404125,0.616265,0.000000,0,0,0,0,0
50,193.979,0.966936,0.484977,0.553974,0.415980,23,0.00000418,0,0.135666,0.195078,0.076254,0.813434,0.772403,0.854464,0.554871,0.662042,0.447700,0.026168,0.022439,0.332105,0.547836,0.000000,3,0,0,0,0
60,206.151,0.851427,0.541896,0.605981,0.477811,23,0.00000021,0,0.134371,0.193095,0.075646,0.830459,0.789217,0.871700,0.618474,0.722993,0.513955,0.025973,0.022182,0.271226,0.482181,0.000000,3,0,0,0,0
70,218.239,0.755182,0.589361,0.636177,0.542545,23,0.00001441,0,0.138722,0.204493,0.072950,0.838993,0.789348,0.888638,0.674197,0.766270,0.582123,0.027442,0.021465,0.228783,0.414668,0.000000,3,0,0,0,0
80,230.462,0.679319,0.627436,0.664037,0.590836,23,0.00003302,1,0.145155,0.214404,0.075906,0.841648,0.789968,0.893328,0.721046,0.806409,0.635684,0.028533,0.022217,0.189874,0.361903,0.000000,3,0,0,0,0
90,242.659,0.619472,0.656383,0.680355,0.632411,23,0.00004476,2,0.141382,0.210770,0.071994,0.850132,0.796264,0.904000,0.750847,0.823753,0.677941,0.028175,0.021049,0.172076,0.319293,0.000000,3,0,0,0,0
100,409.600,0.568427,0.682933,0.690754,0.675111,25,0.00003587,3,0.138300,0.202346,0.074254,0.855609,0.804094,0.907123,0.777883,0.830525,0.725241,0.026929,0.021395,0.165864,0.272400,0.000000,6,0,1,0,0
110,422.594,0.529295,0.702361,0.697874,0.706849,25,0.00015182,1,0.132592,0.196234,0.068951,0.863027,0.809676,0.916377,0.795203,0.834820,0.755586,0.026115,0.020157,0.161551,0.241347,0.000000,6,0,1,0,0
120,435.667,0.497891,0.717929,0.702747,0.733110,25,0.00013203,5,0.130371,0.196399,0.064342,0.867230,0.810639,0.923821,0.810523,0.840766,0.780280,0.026016,0.018842,0.156612,0.217067,0.000000,6,0,1,0,0
130,448.762,0.472008,0.730386,0.709525,0.751246,25,0.00013680,5,0.126811,0.189627,0.063994,0.871214,0.816555,0.925874,0.821696,0.844070,0.799322,0.024873,0.018506,0.152568,0.198264,0.000000,6,0,1,0,0
140,461.883,0.448544,0.743325,0.721143,0.765507,25,0.00018691,4,0.116586,0.173439,0.059734,0.880661,0.829904,0.931417,0.828726,0.846217,0.811234,0.022920,0.017420,0.149918,0.186958,0.000000,6,0,1,0,0
150,648.105,0.422566,0.756595,0.737696,0.775493,28,0.00005625,4,0.109258,0.161216,0.057299,0.888146,0.841610,0.934681,0.838276,0.856624,0.819929,0.021171,0.016743,0.139911,0.177909,0.000000,8,1,1,0,0
160,662.898,0.404346,0.766818,0.744419,0.789218,28,0.00014830,4,0.104528,0.154278,0.054778,0.893022,0.847784,0.938260,0.845858,0.859267,0.832449,0.020411,0.015828,0.138471,0.165728,0.000000,8,1,1,0,0
170,677.882,0.387253,0.773246,0.742418,0.804074,28,0.00010826,3,0.107245,0.160059,0.054430,0.891477,0.843280,0.939674,0.854544,0.861249,0.847839,0.020332,0.015576,0.136407,0.150156,0.000000,8,1,1,0,0
180,692.756,0.368933,0.783792,0.749101,0.818482,28,0.00007075,3,0.100038,0.148167,0.051909,0.898092,0.853047,0.943137,0.860531,0.860093,0.860969,0.018929,0.015014,0.137230,0.136867,0.000000,8,1,1,0,0
190,707.632,0.352840,0.792343,0.752055,0.832631,28,0.00007503,2,0.098855,0.145193,0.052517,0.899599,0.855736,0.943462,0.868804,0.861249,0.876359,0.018590,0.015060,0.135723,0.121664,0.000000,8,1,1,0,0
200,903.244,0.331278,0.803417,0.764295,0.842540,28,0.00009142,2,0.094161,0.135282,0.053039,0.904355,0.865119,0.943592,0.877459,0.867691,0.887227,0.016975,0.015104,0.129161,0.110539,0.000000,11,1,4,0,0
210,918.373,0.315747,0.812211,0.770870,0.853552,28,0.00013767,2,0.091644,0.131814,0.051474,0.907254,0.868750,0.945758,0.884984,0.872481,0.897487,0.016359,0.015085,0.125169,0.099778,0.000000,11,1,4,0,0
220,933.351,0.303143,0.820975,0.782174,0.859777,28,0.00009833,1,0.087353,0.123059,0.051648,0.911545,0.877124,0.945966,0.891305,0.878427,0.904182,0.016183,0.014973,0.119056,0.093072,0.000000,11,1,4,0,0
230,947.913,0.292519,0.824410,0.784096,0.864724,28,0.00009784,1,0.090127,0.129997,0.050256,0.909809,0.872053,0.947564,0.897104,0.886026,0.908182,0.016411,0.014438,0.112383,0.089168,0.000000,11,1,4,0,0
240,962.652,0.285488,0.829156,0.786332,0.871980,28,0.00008630,2,0.086831,0.126363,0.047300,0.912949,0.875143,0.950756,0.899460,0.885695,0.913225,0.016896,0.013222,0.112531,0.084139,0.000000,11,1,4,0,0
250,1172.829,0.280419,0.830321,0.783709,0.876932,28,0.00008614,2,0.090978,0.135613,0.046344,0.909847,0.867773,0.951921,0.903781,0.889990,0.917572,0.017578,0.013337,0.107672,0.080175,0.000000,11,1,4,0,0
260,1187.473,0.275845,0.831473,0.784915,0.878031,28,0.00004714,2,0.091909,0.136604,0.047213,0.909186,0.867213,0.951160,0.905811,0.892137,0.919485,0.017413,0.013391,0.105050,0.078194,0.000000,11,1,4,0,0
270,1202.055,0.270376,0.834900,0.788434,0.881367,28,0.00003067,1,0.092426,0.136769,0.048083,0.909064,0.867605,0.950523,0.910006,0.896267,0.923746,0.017712,0.013575,0.101939,0.073306,0.000000,11,1,4,0,0
280,1216.702,0.261200,0.841735,0.799353,0.884117,28,0.00002311,1,0.085206,0.123720,0.046692,0.915454,0.878940,0.951968,0.911823,0.898249,0.925398,0.016249,0.013236,0.099963,0.072304,0.000000,11,1,4,0,0
290,1231.301,0.259376,0.840444,0.794079,0.886810,28,0.00003466,1,0.089057,0.132640,0.045474,0.912362,0.871479,0.953245,0.913271,0.899405,0.927137,0.016832,0.013096,0.097876,0.070579,0.000000,11,1,4,0,0
300,1439.813,0.251147,0.845078,0.798842,0.891313,30,0.00008198,1,0.092695,0.141394,0.043996,0.910300,0.865747,0.954854,0.921161,0.911794,0.930528,0.018678,0.012454,0.086629,0.067835,0.000000,14,1,5,0,0
310,1455.697,0.237400,0.851356,0.806014,0.896698,30,0.00013420,1,0.088518,0.131648,0.045387,0.913845,0.873872,0.953818,0.924760,0.912124,0.937397,0.016584,0.012975,0.085812,0.059625,0.000000,14,1,5,0,0
