step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.529,1.591758,0.223209,0.192984,0.253433,20,0.00000000,0,0.178953,0.179559,0.178346,0.592563,0.559034,0.626091,0.263134,0.227636,0.298632,0.040695,0.035942,0.765997,0.696076,0.000000,0,0,0,0,0
10,11.401,1.397899,0.291349,0.265017,0.317682,20,0.00000000,0,0.129992,0.134939,0.125045,0.715559,0.690305,0.740814,0.329092,0.300778,0.357406,0.030229,0.025161,0.692668,0.638992,0.000000,0,0,0,0,0
20,22.087,1.233847,0.360645,0.339971,0.381320,20,0.00000000,0,0.103241,0.112252,0.094230,0.793433,0.771095,0.815771,0.397692,0.378133,0.417252,0.025169,0.018937,0.615342,0.579173,0.000000,0,0,0,0,0
30,32.543,1.091202,0.430710,0.415157,0.446264,20,0.00000557,0,0.098767,0.114844,0.082689,0.827533,0.801197,0.853869,0.473000,0.462835,0.483165,0.025510,0.016488,0.531596,0.512856,0.000000,0,0,0,0,0
40,43.172,0.991565,0.481576,0.474737,0.488416,20,0.00004258,2,0.098354,0.118302,0.078406,0.844101,0.817773,0.870429,0.528805,0.530899,0.526710,0.026220,0.015556,0.464472,0.470131,0.000000,0,0,0,0,0
50,193.833,0.916639,0.519177,0.526458,0.511896,23,0.00002534,0,0.098044,0.120895,0.075193,0.854884,0.829965,0.879802,0.570245,0.590104,0.550387,0.026959,0.014825,0.405202,0.446128,0.000000,3,0,0,0,0
60,205.999,0.852315,0.550701,0.564021,0.537382,23,0.00016764,0,0.095436,0.123055,0.067817,0.865820,0.837332,0.894307,0.603626,0.633427,0.573825,0.027259,0.013290,0.362254,0.422434,0.000000,3,0,0,0,0
70,218.207,0.800346,0.577356,0.588830,0.565882,23,0.00015385,2,0.094182,0.121975,0.066389,0.872517,0.844147,0.900888,0.632051,0.660653,0.603450,0.026797,0.013147,0.335688,0.393692,0.000000,3,0,0,0,0
80,230.627,0.751848,0.599921,0.611284,0.588557,23,0.00009963,2,0.087677,0.110631,0.064723,0.883132,0.859880,0.906384,0.652781,0.678911,0.626651,0.024540,0.012518,0.316581,0.370498,0.000000,3,0,0,0,0
90,242.981,0.707153,0.623474,0.619426,0.627521,23,0.00010420,3,0.088135,0.114520,0.061749,0.886450,0.857718,0.915182,0.678317,0.690363,0.666270,0.025379,0.012045,0.305934,0.330016,0.000000,3,0,0,0,0
100,413.528,0.663147,0.647450,0.622122,0.672778,25,0.00013436,4,0.091946,0.126188,0.057704,0.886186,0.847380,0.924992,0.706113,0.700627,0.711600,0.027665,0.011233,0.295909,0.285226,0.000000,6,0,1,0,0
110,426.992,0.631078,0.664639,0.630011,0.699266,25,0.00011822,4,0.092673,0.131806,0.053540,0.888120,0.843990,0.932249,0.724878,0.713051,0.736704,0.029263,0.010196,0.283572,0.259700,0.000000,6,0,1,0,0
120,440.277,0.602583,0.680643,0.634365,0.726921,25,0.00012007,3,0.090075,0.134939,0.045211,0.892998,0.842158,0.943837,0.739876,0.719965,0.759786,0.029896,0.008953,0.276539,0.237509,0.000000,6,0,1,0,0
130,453.482,0.578020,0.693326,0.639498,0.747154,25,0.00022550,3,0.091204,0.137316,0.045092,0.893295,0.841185,0.945405,0.754078,0.727312,0.780845,0.030380,0.008827,0.269435,0.215803,0.000000,6,0,1,0,0
140,466.627,0.541508,0.712984,0.653970,0.771998,25,0.00029278,4,0.092722,0.140233,0.045211,0.894325,0.841707,0.946942,0.776290,0.745678,0.806901,0.030938,0.008915,0.251540,0.190497,0.000000,6,0,1,0,0
150,658.503,0.505458,0.730055,0.672027,0.788082,28,0.00020882,3,0.089870,0.135480,0.044259,0.899094,0.849224,0.948964,0.793018,0.763073,0.822963,0.029817,0.008540,0.233464,0.174566,0.000000,8,1,1,0,0
160,673.551,0.459281,0.754593,0.686639,0.822546,28,0.00016606,3,0.091837,0.137748,0.045925,0.899715,0.850106,0.949324,0.820772,0.781223,0.860321,0.030369,0.008873,0.215442,0.137773,0.000000,8,1,1,0,0
170,688.452,0.424876,0.772195,0.699323,0.845067,28,0.00017618,2,0.088471,0.132563,0.044378,0.904375,0.856625,0.952124,0.837298,0.792027,0.882570,0.029313,0.008619,0.205077,0.115143,0.000000,8,1,1,0,0
180,703.190,0.395434,0.787514,0.706691,0.868337,28,0.00022736,2,0.086005,0.131914,0.040095,0.907964,0.858435,0.957492,0.851533,0.799914,0.903153,0.029173,0.007624,0.197334,0.094674,0.000000,8,1,1,0,0
190,718.046,0.369594,0.800367,0.720542,0.880193,28,0.00024357,2,0.084555,0.132347,0.036764,0.910852,0.860431,0.961273,0.864228,0.815903,0.912552,0.028976,0.007070,0.180932,0.085356,0.000000,8,1,1,0,0
200,928.704,0.353970,0.808879,0.735864,0.881894,31,0.00019868,2,0.082433,0.127269,0.037597,0.913759,0.866983,0.960535,0.872283,0.829516,0.915051,0.028173,0.007205,0.168300,0.083336,0.000000,10,2,1,0,0
