step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.515,1.555599,0.188370,0.187974,0.188767,20,0.00005626,0,0.483933,0.109544,0.858321,0.472881,0.655640,0.290122,0.279677,0.208566,0.350789,0.025628,0.050610,0.785403,0.638043,0.000000,0,0,0,0,0
10,11.766,1.310555,0.268012,0.236659,0.299364,20,0.00000027,1,0.383842,0.074713,0.692970,0.597683,0.772945,0.422422,0.380578,0.254341,0.506815,0.017321,0.040535,0.740351,0.484398,0.000000,0,0,0,0,0
20,22.683,1.131634,0.338371,0.293247,0.383494,20,0.00000689,1,0.329510,0.059665,0.599354,0.672344,0.838920,0.505768,0.462043,0.310744,0.613343,0.013761,0.034916,0.683643,0.379011,0.000000,0,0,0,0,0
30,33.314,1.007776,0.391720,0.354454,0.428986,20,0.00008245,2,0.334120,0.059560,0.608680,0.697232,0.863120,0.531345,0.532833,0.375566,0.690100,0.013859,0.035259,0.618343,0.304875,0.000000,0,0,0,0,0
40,44.008,0.922206,0.430238,0.413649,0.446827,20,0.00030794,2,0.349995,0.060823,0.639168,0.706130,0.878265,0.533996,0.585617,0.438809,0.732425,0.014072,0.037043,0.555143,0.264830,0.000000,0,0,0,0,0
50,199.029,0.856622,0.460714,0.463205,0.458223,23,0.00045962,3,0.342577,0.053878,0.631277,0.721373,0.900602,0.542144,0.617825,0.488162,0.747489,0.012482,0.036556,0.505751,0.249545,0.000000,2,1,0,0,0
60,211.523,0.811867,0.484526,0.501604,0.467448,23,0.00016661,2,0.320977,0.049774,0.592181,0.735268,0.913639,0.556897,0.635416,0.526571,0.744261,0.011272,0.034133,0.467842,0.252479,0.000000,2,1,0,0,0
70,223.920,0.761887,0.511494,0.543740,0.479248,23,0.00007966,2,0.306568,0.048932,0.564204,0.745778,0.920986,0.570571,0.659994,0.570346,0.749641,0.011286,0.032448,0.423996,0.247546,0.000000,2,1,0,0,0
80,236.005,0.725729,0.531664,0.580784,0.482543,23,0.00011131,2,0.301900,0.052510,0.551291,0.748389,0.920894,0.575883,0.679923,0.611281,0.748565,0.011557,0.031823,0.383891,0.248869,0.000000,2,1,0,0,0
90,248.143,0.689897,0.549735,0.610555,0.488915,23,0.00026767,2,0.293885,0.050826,0.536944,0.754918,0.926596,0.583241,0.696511,0.641587,0.751435,0.011265,0.030669,0.353327,0.245279,0.000000,2,1,0,0,0
100,399.598,0.657421,0.567637,0.641740,0.493534,23,0.00042146,1,0.287620,0.049774,0.525466,0.760073,0.931200,0.588945,0.713276,0.673682,0.752869,0.011088,0.030135,0.321694,0.243553,0.000000,5,1,3,0,0
110,411.550,0.626324,0.584791,0.664688,0.504894,23,0.00035197,2,0.274248,0.045985,0.502511,0.769749,0.937961,0.601536,0.726931,0.695254,0.758608,0.010432,0.028771,0.299929,0.238903,0.000000,5,1,3,0,0
120,423.564,0.593512,0.600627,0.686087,0.515166,23,0.00023180,2,0.268760,0.047564,0.489957,0.774156,0.937929,0.610382,0.743148,0.718720,0.767575,0.010578,0.027829,0.276442,0.229206,0.000000,5,1,3,0,0
130,435.610,0.564980,0.616359,0.703965,0.528752,23,0.00013710,1,0.257478,0.042934,0.472023,0.783621,0.944753,0.622490,0.756262,0.734189,0.778336,0.009690,0.026925,0.261294,0.219894,0.000000,5,1,3,0,0
140,447.714,0.540974,0.628183,0.718132,0.538235,23,0.00006474,2,0.251106,0.043460,0.458752,0.788191,0.945182,0.631200,0.767246,0.749342,0.785151,0.009714,0.026143,0.245573,0.212029,0.000000,5,1,3,0,0
150,614.587,0.518634,0.641028,0.738867,0.543189,25,0.00009262,2,0.247732,0.042092,0.453372,0.791688,0.948166,0.635209,0.779711,0.769967,0.789455,0.009412,0.026139,0.225976,0.208008,0.000000,8,1,4,0,0
160,627.924,0.492251,0.653921,0.754471,0.553371,25,0.00010963,1,0.241498,0.041461,0.441535,0.796792,0.949879,0.643705,0.791728,0.785752,0.797704,0.008913,0.025408,0.209564,0.200012,0.000000,8,1,4,0,0
170,641.212,0.455823,0.670362,0.772907,0.567818,25,0.00011956,2,0.236321,0.039356,0.433286,0.802935,0.953297,0.652574,0.808585,0.803325,0.813845,0.008242,0.024569,0.192016,0.183117,0.000000,8,1,4,0,0
180,654.749,0.440802,0.678167,0.784586,0.571749,25,0.00019806,2,0.239391,0.039040,0.439742,0.803051,0.954299,0.651803,0.819193,0.815216,0.823171,0.008358,0.025077,0.180614,0.175271,0.000000,8,1,4,0,0
190,668.315,0.418471,0.688230,0.787353,0.589106,25,0.00011237,1,0.232853,0.036725,0.428981,0.809689,0.956945,0.662433,0.829045,0.816269,0.841822,0.007885,0.024439,0.179397,0.156185,0.000000,8,1,4,0,0
200,849.602,0.384829,0.702691,0.785866,0.619516,27,0.00011129,3,0.230941,0.039356,0.422525,0.814980,0.954031,0.675928,0.849036,0.816795,0.881277,0.008488,0.024068,0.179070,0.118207,0.000000,11,1,5,0,0
210,864.046,0.371871,0.707496,0.786751,0.628241,27,0.00022020,1,0.231144,0.037251,0.425036,0.817211,0.956345,0.678077,0.855662,0.816058,0.895265,0.007851,0.024469,0.179264,0.104474,0.000000,11,1,5,0,0
220,878.511,0.362218,0.712484,0.793296,0.631672,27,0.00013781,1,0.230333,0.035989,0.424677,0.818720,0.958047,0.679393,0.860887,0.821846,0.899928,0.007712,0.024288,0.173862,0.100494,0.000000,11,1,5,0,0
230,893.046,0.351957,0.716684,0.802317,0.631051,27,0.00017089,2,0.232707,0.035357,0.430057,0.818214,0.959174,0.677254,0.866562,0.830685,0.902439,0.007422,0.024546,0.165094,0.097963,0.000000,11,1,5,0,0
