step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.506,1.555599,0.188370,0.187974,0.188767,20,0.00005626,0,0.483933,0.109544,0.858321,0.472881,0.655640,0.290122,0.279677,0.208566,0.350789,0.025628,0.050610,0.785403,0.638043,0.000000,0,0,0,0,0
10,11.677,1.310555,0.268012,0.236659,0.299364,20,0.00000027,1,0.383842,0.074713,0.692970,0.597683,0.772945,0.422422,0.380578,0.254341,0.506815,0.017321,0.040535,0.740351,0.484398,0.000000,0,0,0,0,0
20,22.542,1.131634,0.338371,0.293247,0.383494,20,0.00000689,1,0.329510,0.059665,0.599354,0.672344,0.838920,0.505768,0.462043,0.310744,0.613343,0.013761,0.034916,0.683643,0.379011,0.000000,0,0,0,0,0
30,33.115,1.007776,0.391720,0.354454,0.428986,20,0.00008245,2,0.334120,0.059560,0.608680,0.697232,0.863120,0.531345,0.532833,0.375566,0.690100,0.013859,0.035259,0.618343,0.304875,0.000000,0,0,0,0,0
40,43.789,0.922206,0.430238,0.413649,0.446827,20,0.00030794,2,0.349995,0.060823,0.639168,0.706130,0.878265,0.533996,0.585617,0.438809,0.732425,0.014072,0.037043,0.555143,0.264830,0.000000,0,0,0,0,0
50,199.261,0.858628,0.459774,0.461984,0.457564,23,0.00045962,3,0.342946,0.054614,0.631277,0.720495,0.899204,0.541786,0.616814,0.487215,0.746413,0.012652,0.036556,0.506659,0.250183,0.000000,2,1,0,0,0
60,211.721,0.813809,0.483373,0.497947,0.468799,23,0.00016661,2,0.321346,0.050510,0.592181,0.734776,0.911943,0.557610,0.634756,0.523098,0.746413,0.011443,0.034137,0.471372,0.250410,0.000000,2,1,0,0,0
70,224.066,0.764674,0.509660,0.536426,0.482893,23,0.00008078,2,0.306071,0.050089,0.562052,0.745682,0.918339,0.573025,0.658800,0.563296,0.754304,0.011555,0.032210,0.431099,0.243416,0.000000,2,1,0,0,0
80,236.119,0.737967,0.524695,0.564722,0.484667,23,0.00016446,3,0.304579,0.053562,0.555595,0.746572,0.917410,0.575733,0.674458,0.594970,0.753945,0.011806,0.032072,0.399943,0.244378,0.000000,2,1,0,0,0
90,248.234,0.706119,0.541414,0.590200,0.492628,23,0.00025854,3,0.292470,0.052299,0.532640,0.754341,0.922332,0.586351,0.688044,0.621067,0.755022,0.011599,0.030536,0.373892,0.241946,0.000000,2,1,0,0,0
100,407.404,0.672944,0.559618,0.611016,0.508220,24,0.00038348,2,0.277103,0.048827,0.505380,0.765703,0.929204,0.602202,0.702957,0.640850,0.765065,0.010941,0.029135,0.354613,0.232501,0.000000,5,1,2,0,0
110,419.963,0.632096,0.579206,0.633454,0.524958,24,0.00045795,2,0.266505,0.045565,0.487446,0.775650,0.935633,0.615667,0.721582,0.662317,0.780846,0.010337,0.027865,0.332833,0.216335,0.000000,5,1,2,0,0
120,432.457,0.608256,0.590059,0.644100,0.536017,24,0.00039652,2,0.262464,0.046091,0.478838,0.779694,0.935974,0.623413,0.733235,0.673787,0.792683,0.010349,0.027162,0.321727,0.203760,0.000000,5,1,2,0,0
130,444.844,0.585759,0.600877,0.653931,0.547822,24,0.00035678,1,0.258849,0.043881,0.473816,0.784890,0.939600,0.630179,0.745008,0.682627,0.807389,0.009802,0.027158,0.312883,0.189842,0.000000,5,1,2,0,0
140,457.242,0.556940,0.614882,0.673585,0.556180,24,0.00018141,3,0.253896,0.039356,0.468436,0.791139,0.946777,0.635501,0.758405,0.700095,0.816714,0.008882,0.026754,0.295172,0.180963,0.000000,5,1,2,0,0
150,639.985,0.515715,0.633964,0.705823,0.562106,27,0.00018737,0,0.258812,0.039146,0.478479,0.791977,0.949333,0.634621,0.782257,0.733453,0.831062,0.008785,0.027178,0.262095,0.166922,0.000000,8,1,2,0,0
160,654.482,0.473259,0.653784,0.730990,0.576579,27,0.00020744,1,0.263626,0.044828,0.482425,0.791888,0.944560,0.639217,0.809247,0.763759,0.854735,0.009568,0.027550,0.231806,0.145403,0.000000,8,1,2,0,0
170,669.144,0.428340,0.674670,0.763997,0.585342,27,0.00011792,1,0.263580,0.039356,0.487805,0.796875,0.952778,0.640971,0.832470,0.794065,0.870875,0.008496,0.027964,0.201501,0.128502,0.000000,8,1,2,0,0
180,683.759,0.401371,0.688293,0.779209,0.597377,27,0.00007308,1,0.257306,0.037567,0.477044,0.802337,0.955597,0.649077,0.845417,0.808482,0.882353,0.008121,0.027240,0.187445,0.117025,0.000000,8,1,2,0,0
190,698.201,0.383288,0.694637,0.786719,0.602555,27,0.00006828,1,0.263865,0.039566,0.488164,0.800677,0.953854,0.647501,0.857274,0.817847,0.896700,0.008472,0.028120,0.177813,0.101639,0.000000,8,1,2,0,0
200,902.349,0.355690,0.706331,0.787722,0.624939,30,0.00007340,1,0.257760,0.037041,0.478479,0.807724,0.956624,0.658824,0.870430,0.816900,0.923960,0.008065,0.027202,0.179045,0.075042,0.000000,11,1,2,0,0
210,918.282,0.330722,0.718995,0.795344,0.642647,30,0.00003459,2,0.249228,0.035042,0.463415,0.814537,0.959171,0.669903,0.881836,0.823214,0.940459,0.007806,0.026322,0.172682,0.058245,0.000000,11,1,2,0,0
220,934.217,0.316774,0.723996,0.801890,0.646102,30,0.00003133,2,0.256232,0.035778,0.476686,0.812768,0.958703,0.666834,0.892334,0.830580,0.954089,0.007911,0.027268,0.165005,0.046225,0.000000,11,1,2,0,0
230,950.197,0.307525,0.727741,0.810289,0.645193,30,0.00006936,3,0.258016,0.035042,0.480990,0.812531,0.959894,0.665169,0.897103,0.838683,0.955524,0.007595,0.027347,0.156794,0.045077,0.000000,11,1,2,0,0
240,966.175,0.299884,0.730937,0.818793,0.643081,30,0.00010890,3,0.261995,0.033674,0.490316,0.811643,0.961736,0.661550,0.902379,0.846364,0.958393,0.007282,0.028114,0.149449,0.042088,0.000000,11,1,2,0,0
250,1177.802,0.279116,0.741007,0.829766,0.652247,30,0.00015699,2,0.258262,0.032306,0.484218,0.815120,0.963656,0.666584,0.912325,0.856572,0.968077,0.007075,0.027534,0.139363,0.032207,0.000000,14,1,5,0,0
