pair	arm	n	final_loss	final_mean_iou	best_mean_iou	final_mean_spill	final_mean_precision	final_mean_coverage	best_loss	final_patches	max_patches	mean_patches	final_overlap	srd_total_adds	srd_total_deletes	final_step	total_seconds
crane_crab	basic	3	0.226611	0.730603	0.737161	0.100023	0.892773	0.80223	0.219846	20	20	20	0.000144757	-	-	1800	1855.76
crane_crab	srd	3	0.185485	0.780496	0.782161	0.0936717	0.904161	0.851975	0.182869	27	30.3333	26.9017	0.000103893	22.6667	15.6667	1525	7848.96
crane_crab	srd_no_swept	3	0.232139	0.739878	0.755129	0.139432	0.865652	0.838987	0.210866	16.3333	23	17.5423	0.000153403	15	18.6667	1175	3897.94
dance_argument	basic	3	0.264984	0.78002	0.788865	0.0732977	0.92104	0.836699	0.253068	20	20	20	0.00015642	-	-	1950	1922.31
dance_argument	srd	3	0.163785	0.87609	0.883086	0.082336	0.922692	0.945183	0.150102	33.3333	34.6667	28.904	1.15667e-05	31.6667	18.3333	2250	13919.7
dance_argument	srd_no_swept	3	0.236851	0.813221	0.834484	0.0823237	0.91531	0.878117	0.202326	18.6667	22.6667	19.5727	0.000572257	16.6667	18	2291.67	8273.87
dancer_guitar	basic	3	0.122356	0.827915	0.831159	0.0435853	0.952974	0.863899	0.119297	20	20	20	0.000312983	-	-	2433.33	2549.21
dancer_guitar	srd	3	0.057038	0.917386	0.919174	0.025915	0.973202	0.941061	0.0560303	28	29.6667	27.4563	3.159e-05	21.6667	13.6667	1691.67	9330.13
dancer_guitar	srd_no_swept	3	0.110646	0.84396	0.871791	0.0414907	0.954859	0.878851	0.0894123	16	22.6667	18.338	0.00012022	7.33333	11.3333	2000	6701.11
siggraph_sigchi	basic	3	0.233895	0.721083	0.765491	0.1459	0.852991	0.814518	0.196759	20	20	20	0.000405023	-	-	2266.67	2146.61
siggraph_sigchi	srd	3	0.165954	0.789867	0.813424	0.115522	0.884244	0.8712	0.145144	28	30.6667	27.436	0.000192227	21.3333	13.3333	1600	7904.88
siggraph_sigchi	srd_no_swept	3	0.200518	0.756021	0.761643	0.114003	0.879377	0.831297	0.191615	17.3333	24.6667	19.556	5.15767e-05	15	17.6667	2091.67	7520.57
teapot_droplets	basic	3	0.329773	0.628078	0.693938	0.316717	0.762309	0.777442	0.2291	20	20	20	0.00032147	-	-	1075	1331.55
teapot_droplets	srd	3	0.16059	0.799777	0.822164	0.17411	0.859815	0.923553	0.135147	33.3333	35.3333	31.5667	0.00050177	22.6667	9.33333	1308.33	7752.73
teapot_droplets	srd_no_swept	3	0.23326	0.694008	0.708961	0.193189	0.821216	0.801251	0.215082	22.6667	24.6667	21.945	0.000144123	13.6667	11	1075	4358.92
