step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.394,0.791879,0.243605,0.300703,0.186508,20,0.00078208,0,0.272245,0.387264,0.157225,0.548563,0.518578,0.578549,0.316493,0.417154,0.215831,0.025222,0.035490,0.059133,0.174289
25,27.440,0.563127,0.385766,0.436245,0.335288,20,0.00024789,2,0.136604,0.197531,0.075677,0.776098,0.725632,0.826564,0.441539,0.522417,0.360661,0.012612,0.016961,0.040737,0.132128
50,198.615,0.473390,0.471561,0.501832,0.441290,23,0.00031545,3,0.112664,0.153021,0.072306,0.829152,0.790853,0.867451,0.525910,0.578622,0.473198,0.009761,0.016006,0.034543,0.110296
75,228.749,0.409870,0.543820,0.587997,0.499643,23,0.00025075,5,0.093103,0.120533,0.065674,0.867777,0.845352,0.890202,0.595663,0.658869,0.532456,0.007763,0.014408,0.027580,0.097899
100,426.090,0.362983,0.592614,0.626117,0.559111,26,0.00011196,4,0.091894,0.127031,0.056758,0.879901,0.847444,0.912357,0.648249,0.705653,0.590845,0.008129,0.012777,0.024945,0.085571
125,460.695,0.317392,0.637773,0.648501,0.627045,26,0.00026513,3,0.091623,0.126706,0.056540,0.886792,0.852217,0.921367,0.696584,0.730669,0.662499,0.008053,0.012440,0.023469,0.072020
150,669.518,0.292732,0.662592,0.661188,0.663996,27,0.00021693,2,0.092601,0.126706,0.058497,0.888903,0.854640,0.923165,0.723901,0.744964,0.702838,0.008033,0.012686,0.022508,0.064659
175,705.354,0.273222,0.682321,0.668196,0.696445,27,0.00008777,2,0.094057,0.132878,0.055235,0.890385,0.850675,0.930095,0.745949,0.756985,0.734914,0.008520,0.012248,0.022262,0.058408
200,916.789,0.255392,0.700954,0.681467,0.720441,24,0.00006767,3,0.094489,0.134178,0.054800,0.892407,0.852077,0.932737,0.766413,0.772904,0.759922,0.008499,0.012141,0.021168,0.053627
225,948.538,0.245804,0.713147,0.691775,0.734520,24,0.00003771,0,0.091407,0.125731,0.057084,0.896254,0.860991,0.931516,0.777601,0.778752,0.776449,0.008114,0.012740,0.020567,0.050932
