step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.341,1.198859,0.151054,0.200219,0.101888,20,0.00001191,0,0.186326,0.207796,0.164855,0.478212,0.537840,0.418583,0.180254,0.241824,0.118685,0.028662,0.049107,0.117751,0.242981
25,25.730,0.950374,0.253043,0.322476,0.183609,20,0.00000000,0,0.100935,0.120747,0.081123,0.729730,0.749572,0.709888,0.279959,0.361414,0.198504,0.016150,0.023762,0.092018,0.204817
50,49.710,0.816784,0.350083,0.423065,0.277101,20,0.00000000,0,0.083560,0.097126,0.069994,0.817986,0.826957,0.809015,0.380326,0.464156,0.296496,0.012908,0.020183,0.076507,0.179210
75,73.387,0.736218,0.413236,0.479078,0.347394,20,0.00008742,1,0.078630,0.089528,0.067733,0.849591,0.853593,0.845590,0.446447,0.521969,0.370924,0.011827,0.019507,0.068411,0.161307
100,97.174,0.699885,0.439925,0.508490,0.371361,20,0.00000008,0,0.071497,0.079782,0.063212,0.867563,0.873128,0.861997,0.471947,0.549058,0.394835,0.010519,0.018419,0.063928,0.154898
125,120.428,0.676927,0.455954,0.511677,0.400230,20,0.00000852,1,0.074031,0.089197,0.058864,0.870037,0.862034,0.878040,0.490553,0.557317,0.423789,0.011807,0.017229,0.063953,0.147170
150,143.947,0.641955,0.471321,0.515060,0.427582,20,0.00000046,1,0.066453,0.091345,0.041562,0.887428,0.860212,0.914643,0.503730,0.562108,0.445353,0.012066,0.012074,0.063743,0.138172
175,167.093,0.616041,0.487370,0.526012,0.448728,20,0.00000000,0,0.062167,0.089032,0.035301,0.897432,0.865485,0.929379,0.518706,0.572844,0.464568,0.011874,0.010113,0.062144,0.132210
200,190.637,0.584352,0.510514,0.544529,0.476500,20,0.00000030,0,0.058658,0.086885,0.030432,0.906813,0.871988,0.941637,0.541420,0.591840,0.491001,0.011503,0.008836,0.059562,0.125052
225,214.447,0.562532,0.530991,0.563246,0.498735,20,0.00000662,1,0.062192,0.092996,0.031389,0.905627,0.868765,0.942488,0.565008,0.615626,0.514390,0.012137,0.009032,0.057220,0.119704
250,238.027,0.539234,0.544395,0.578014,0.510777,20,0.00005646,1,0.050025,0.071358,0.028693,0.922447,0.896675,0.948219,0.572346,0.619260,0.525433,0.009326,0.008409,0.054228,0.116636
275,262.066,0.522147,0.559713,0.601309,0.518116,20,0.00013920,1,0.045853,0.059795,0.031910,0.928948,0.914218,0.943677,0.585957,0.637265,0.534649,0.007808,0.008864,0.050769,0.114912
300,286.274,0.506901,0.577308,0.623042,0.531573,20,0.00005982,1,0.049665,0.065246,0.034084,0.926053,0.910492,0.941615,0.606692,0.663693,0.549691,0.008512,0.009446,0.048122,0.111853
325,310.478,0.500121,0.586664,0.630455,0.542874,20,0.00008614,1,0.055147,0.074992,0.035301,0.920638,0.900373,0.940902,0.619886,0.677734,0.562038,0.009922,0.009746,0.047682,0.109171
350,334.503,0.488391,0.595359,0.640982,0.549735,20,0.00006419,1,0.054247,0.076148,0.032345,0.923331,0.900582,0.946079,0.628654,0.689792,0.567516,0.009997,0.008718,0.046353,0.107071
375,358.653,0.481441,0.601900,0.646745,0.557055,20,0.00002841,2,0.057185,0.083416,0.030954,0.921237,0.893617,0.948858,0.637496,0.700694,0.574298,0.010901,0.008250,0.045810,0.105088
400,382.915,0.475274,0.604971,0.646655,0.563287,20,0.00001181,1,0.056211,0.084077,0.028345,0.923129,0.892910,0.953349,0.640139,0.701024,0.579254,0.010725,0.007742,0.045591,0.103598
425,406.954,0.470619,0.608770,0.650575,0.566965,20,0.00000492,1,0.053725,0.077800,0.029650,0.925896,0.900127,0.951665,0.642482,0.701189,0.583775,0.010308,0.007886,0.045137,0.102638
450,430.700,0.472090,0.610041,0.653693,0.566389,20,0.00000532,1,0.055329,0.077965,0.032693,0.923722,0.900380,0.947065,0.644782,0.704658,0.584906,0.010316,0.008844,0.044712,0.103070
475,454.533,0.468479,0.611504,0.652833,0.570175,20,0.00001405,1,0.054746,0.078626,0.030867,0.924831,0.899557,0.950105,0.645969,0.704163,0.587775,0.010217,0.008442,0.044687,0.102140
500,478.683,0.464814,0.614190,0.655564,0.572816,20,0.00001922,1,0.053029,0.076148,0.029910,0.927162,0.902578,0.951746,0.647716,0.705484,0.589949,0.010112,0.008115,0.044430,0.101390
525,503.240,0.466470,0.614346,0.656915,0.571777,20,0.00001591,1,0.056490,0.078461,0.034519,0.922577,0.900294,0.944861,0.649985,0.708457,0.591514,0.010242,0.009078,0.044118,0.101707
550,527.810,0.464537,0.619549,0.663859,0.575240,20,0.00002202,1,0.055877,0.078626,0.033128,0.924130,0.901060,0.947201,0.655176,0.716056,0.594296,0.010257,0.009715,0.043286,0.101568
575,552.626,0.462429,0.620095,0.664629,0.575561,20,0.00002232,1,0.057507,0.081103,0.033910,0.922331,0.898575,0.946088,0.656806,0.718533,0.595079,0.010485,0.009265,0.043141,0.101121
600,577.560,0.459808,0.620824,0.668148,0.573500,20,0.00003078,1,0.054599,0.077635,0.031562,0.926011,0.902671,0.949351,0.655810,0.720020,0.591601,0.010204,0.008446,0.042641,0.101296
625,602.337,0.451917,0.626663,0.661461,0.591864,20,0.00009745,1,0.057763,0.089528,0.025998,0.924223,0.889501,0.958945,0.663966,0.720681,0.607252,0.011667,0.007780,0.043794,0.097099
650,627.353,0.451578,0.628145,0.662566,0.593724,20,0.00001322,1,0.057811,0.087711,0.027911,0.923883,0.891500,0.956267,0.665488,0.720681,0.610295,0.011602,0.008370,0.043729,0.096807
675,652.129,0.451242,0.628087,0.662213,0.593961,20,0.00000149,0,0.059454,0.088041,0.030867,0.921560,0.891113,0.952008,0.666405,0.720515,0.612295,0.011773,0.008336,0.043959,0.096401
700,676.922,0.451370,0.627855,0.664536,0.591173,20,0.00001498,0,0.058789,0.085233,0.032345,0.921987,0.894306,0.949669,0.665735,0.721176,0.610295,0.011222,0.008781,0.043313,0.097138
725,701.776,0.451174,0.628697,0.671612,0.585783,20,0.00001113,0,0.056146,0.079947,0.032345,0.924973,0.900718,0.949229,0.665018,0.725306,0.604730,0.010494,0.008808,0.042269,0.098468
750,725.811,0.450136,0.627601,0.675131,0.580071,20,0.00001347,0,0.051930,0.073340,0.030519,0.929759,0.908094,0.951425,0.661209,0.724645,0.597774,0.009669,0.008137,0.041585,0.099554
775,750.191,0.445504,0.631817,0.667424,0.596211,20,0.00000632,1,0.059341,0.090684,0.027998,0.922770,0.889225,0.956315,0.670426,0.727948,0.612903,0.011897,0.007596,0.043219,0.095535
