step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.393,1.198859,0.151054,0.200219,0.101888,20,0.00001191,0,0.186326,0.207796,0.164855,0.478212,0.537840,0.418583,0.180254,0.241824,0.118685,0.028662,0.049107,0.117751,0.242981
25,26.608,0.950374,0.253043,0.322476,0.183609,20,0.00000000,0,0.100935,0.120747,0.081123,0.729730,0.749572,0.709888,0.279959,0.361414,0.198504,0.016150,0.023762,0.092018,0.204817
50,187.804,0.813224,0.353600,0.426767,0.280432,23,0.00000060,0,0.084221,0.098447,0.069994,0.818648,0.826441,0.810855,0.384421,0.468781,0.300061,0.013085,0.020192,0.076107,0.178329
75,216.722,0.731292,0.422174,0.497358,0.346990,23,0.00007352,1,0.080895,0.094318,0.067472,0.849106,0.852302,0.845909,0.457335,0.544268,0.370403,0.012431,0.019642,0.066217,0.161493
100,399.685,0.680993,0.462330,0.546286,0.378374,25,0.00006002,1,0.073062,0.083086,0.063038,0.870689,0.876867,0.864511,0.496950,0.591675,0.402226,0.010964,0.018455,0.059058,0.153216
125,431.409,0.650529,0.484162,0.567551,0.400772,25,0.00018100,1,0.067828,0.077139,0.058517,0.883369,0.887956,0.878782,0.517778,0.611331,0.424224,0.010257,0.017116,0.056183,0.146931
150,623.981,0.593768,0.521469,0.594298,0.448640,26,0.00000056,1,0.064402,0.083416,0.045387,0.898535,0.885305,0.911765,0.556437,0.643872,0.469003,0.010912,0.013060,0.052674,0.133263
175,658.261,0.544282,0.559516,0.626648,0.492384,26,0.00011236,1,0.058085,0.077304,0.038866,0.913320,0.897256,0.929384,0.593306,0.675091,0.511521,0.010254,0.011406,0.048307,0.122264
200,871.320,0.507696,0.593636,0.656705,0.530566,28,0.00011170,1,0.062867,0.088867,0.036866,0.913327,0.889460,0.937194,0.632595,0.715064,0.550126,0.011999,0.010927,0.044856,0.112887
225,908.894,0.473950,0.623010,0.691435,0.554585,28,0.00004895,1,0.063449,0.091510,0.035388,0.916904,0.891860,0.941948,0.664459,0.754708,0.574211,0.012107,0.010254,0.040184,0.106608
250,1147.394,0.436866,0.655152,0.734850,0.575454,30,0.00021754,0,0.057872,0.082094,0.033649,0.926439,0.906421,0.946458,0.694997,0.795177,0.594818,0.010770,0.009816,0.033851,0.101427
