step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.452,0.679646,0.259741,0.306756,0.212725,20,0.00052127,0,0.257278,0.197290,0.317266,0.559770,0.650545,0.468995,0.323746,0.367276,0.280216,0.021057,0.039344,0.080982,0.115245
25,26.976,0.440401,0.403069,0.403710,0.402427,20,0.00000000,0,0.092503,0.073496,0.111511,0.827726,0.855002,0.800451,0.440342,0.433381,0.447302,0.007688,0.013617,0.062607,0.073541
50,52.891,0.311159,0.558593,0.544695,0.572491,20,0.00118957,2,0.060423,0.056457,0.064388,0.907544,0.910656,0.904431,0.592400,0.575447,0.609353,0.005798,0.007735,0.046622,0.050054
75,79.417,0.249925,0.647264,0.626508,0.668019,20,0.00096992,3,0.059421,0.054814,0.064029,0.920385,0.923408,0.917363,0.685821,0.660850,0.710791,0.005594,0.007565,0.038025,0.038478
100,106.124,0.210620,0.705193,0.684721,0.725664,20,0.00066643,4,0.057159,0.057483,0.056835,0.928728,0.926451,0.931004,0.745494,0.724081,0.766906,0.005864,0.006905,0.032102,0.031565
125,132.752,0.189297,0.729030,0.694698,0.763363,20,0.00035086,1,0.048410,0.057072,0.039748,0.940097,0.927886,0.952309,0.764026,0.734346,0.793705,0.005793,0.004799,0.031013,0.026708
150,158.951,0.180999,0.737409,0.699358,0.775461,20,0.00033358,1,0.044956,0.055020,0.034892,0.944470,0.930606,0.958333,0.770177,0.737836,0.802518,0.005585,0.003947,0.030478,0.025011
175,184.951,0.170759,0.750334,0.707902,0.792766,20,0.00016043,0,0.040731,0.052145,0.029317,0.949944,0.934570,0.965319,0.780412,0.744816,0.816007,0.005339,0.003350,0.029607,0.022931
200,210.698,0.162273,0.762958,0.725567,0.800349,20,0.00017568,0,0.040437,0.050298,0.030576,0.951170,0.938084,0.964256,0.793441,0.762061,0.824820,0.005225,0.003484,0.027696,0.021999
225,236.633,0.157472,0.769816,0.731597,0.808035,20,0.00009510,0,0.039166,0.048655,0.029676,0.952961,0.940362,0.965560,0.799604,0.767194,0.832014,0.005138,0.003328,0.027168,0.021068
250,262.751,0.147482,0.781568,0.744475,0.818660,20,0.00012551,0,0.032992,0.040443,0.025540,0.960428,0.950378,0.970478,0.807076,0.774584,0.839568,0.004200,0.002978,0.025522,0.020020
275,288.708,0.139228,0.792845,0.756314,0.829376,20,0.00009685,0,0.031463,0.040443,0.022482,0.962645,0.951117,0.974174,0.817462,0.786902,0.848022,0.004097,0.002623,0.024304,0.018723
300,314.349,0.135946,0.800226,0.760353,0.840098,20,0.00009869,0,0.034774,0.045986,0.023561,0.959335,0.945339,0.973331,0.827606,0.795319,0.859892,0.004833,0.002592,0.024192,0.017389
325,340.511,0.135265,0.804428,0.761322,0.847535,20,0.00017663,0,0.038917,0.056251,0.021583,0.955150,0.934622,0.975679,0.834987,0.804147,0.865827,0.005776,0.002579,0.024108,0.016762
350,366.627,0.132226,0.809627,0.769350,0.849903,20,0.00011609,0,0.041548,0.060973,0.022122,0.952830,0.930494,0.975167,0.842482,0.816259,0.868705,0.006223,0.002601,0.023305,0.016332
375,393.148,0.127150,0.817559,0.776339,0.858780,20,0.00007663,1,0.041072,0.062000,0.020144,0.953792,0.930060,0.977524,0.850275,0.824471,0.876079,0.006452,0.002348,0.022696,0.015269
400,419.634,0.127317,0.818652,0.778717,0.858588,20,0.00005698,1,0.041222,0.068774,0.013669,0.954105,0.923673,0.984537,0.851298,0.832273,0.870324,0.007182,0.001711,0.022546,0.015433
425,445.838,0.123131,0.822585,0.786636,0.858534,20,0.00014215,2,0.040966,0.066106,0.015827,0.954555,0.926934,0.982175,0.855380,0.838637,0.872122,0.006789,0.001742,0.021525,0.015220
450,471.457,0.119615,0.831041,0.797537,0.864545,20,0.00030842,0,0.041904,0.066721,0.017086,0.954108,0.927277,0.980939,0.865033,0.850749,0.879317,0.006957,0.002054,0.020571,0.014723
475,497.100,0.116031,0.837348,0.810842,0.863853,20,0.00064514,1,0.043239,0.067953,0.018525,0.953308,0.927237,0.979379,0.872899,0.865941,0.879856,0.007183,0.002055,0.019277,0.014630
500,522.384,0.113065,0.840055,0.817029,0.863082,20,0.00043343,1,0.042443,0.068158,0.016727,0.954427,0.927558,0.981295,0.875117,0.872716,0.877518,0.007088,0.001812,0.018508,0.014629
525,547.512,0.113446,0.841018,0.810651,0.871385,20,0.00039471,2,0.044699,0.075549,0.013849,0.952413,0.920260,0.984566,0.877674,0.871895,0.883453,0.007726,0.001631,0.019173,0.013871
550,572.703,0.110595,0.845411,0.810595,0.880227,20,0.00046674,1,0.046252,0.077397,0.015108,0.950983,0.918592,0.983373,0.883429,0.873332,0.893525,0.007902,0.001670,0.019221,0.012749
575,597.292,0.107883,0.849600,0.817835,0.881365,20,0.00027564,0,0.046202,0.075139,0.017266,0.951190,0.921273,0.981106,0.887934,0.879286,0.896583,0.007697,0.001985,0.018415,0.012640
600,621.937,0.108920,0.849046,0.819866,0.878226,20,0.00022776,0,0.046177,0.074728,0.017626,0.951240,0.921821,0.980659,0.887419,0.881133,0.893705,0.007730,0.002036,0.018318,0.013053
625,646.838,0.108779,0.848007,0.815880,0.880135,20,0.00004104,1,0.044774,0.078218,0.011331,0.952888,0.918345,0.987430,0.884902,0.879696,0.890108,0.008042,0.001320,0.018664,0.012905
650,672.754,0.108032,0.849751,0.822129,0.877374,20,0.00003430,1,0.045751,0.078013,0.013489,0.952077,0.919097,0.985057,0.887737,0.886266,0.889209,0.008030,0.001588,0.017968,0.013226
675,698.601,0.104981,0.853635,0.828364,0.878906,20,0.00003143,1,0.043531,0.074112,0.012950,0.954386,0.923110,0.985663,0.890022,0.889756,0.890288,0.007706,0.001484,0.017435,0.012956
700,723.001,0.106799,0.852215,0.829474,0.874956,20,0.00002619,0,0.044071,0.072675,0.015468,0.953689,0.924488,0.982889,0.889122,0.889756,0.888489,0.007787,0.001682,0.017539,0.013321
725,748.112,0.102513,0.855900,0.838130,0.873669,20,0.00001949,0,0.038245,0.062821,0.013669,0.959461,0.934123,0.984800,0.888197,0.890782,0.885612,0.006764,0.001550,0.016495,0.013514
750,773.975,0.104352,0.854862,0.833014,0.876710,20,0.00002028,0,0.042235,0.072059,0.012410,0.955773,0.925335,0.986211,0.890315,0.893040,0.887590,0.007662,0.001442,0.017090,0.013137
775,799.257,0.104513,0.853762,0.832280,0.875244,20,0.00001761,0,0.043596,0.072264,0.014928,0.954282,0.925090,0.983473,0.890367,0.892425,0.888309,0.007474,0.001689,0.016882,0.013371
800,824.489,0.102638,0.856401,0.835475,0.877327,20,0.00001857,0,0.042595,0.070622,0.014568,0.955360,0.926824,0.983897,0.892293,0.894478,0.890108,0.007233,0.001701,0.016562,0.013180
825,849.423,0.103238,0.855981,0.837469,0.874492,20,0.00000992,0,0.043111,0.067337,0.018885,0.954595,0.929944,0.979245,0.892434,0.893862,0.891007,0.007043,0.002115,0.016422,0.013410
850,875.008,0.105444,0.853714,0.832472,0.874956,20,0.00001406,0,0.046024,0.072264,0.019784,0.951707,0.925106,0.978308,0.892448,0.892630,0.892266,0.007495,0.002219,0.016926,0.013361
875,900.500,0.103360,0.857049,0.834197,0.879901,20,0.00000588,0,0.044073,0.069801,0.018345,0.953698,0.927459,0.979937,0.894234,0.892425,0.896043,0.007275,0.002176,0.016794,0.012932
900,926.172,0.101568,0.860362,0.834165,0.886560,20,0.00015280,1,0.045319,0.069596,0.021043,0.952461,0.927641,0.977282,0.898718,0.892219,0.905216,0.007326,0.002412,0.016854,0.012097
925,951.672,0.103826,0.862004,0.829124,0.894884,20,0.00012524,1,0.051458,0.072880,0.030036,0.946359,0.924275,0.968443,0.905656,0.889550,0.921763,0.007701,0.003636,0.017535,0.011376
950,977.384,0.101792,0.864867,0.831385,0.898349,20,0.00013593,1,0.053258,0.071443,0.035072,0.944703,0.925752,0.963653,0.910319,0.890782,0.929856,0.007361,0.004258,0.017092,0.010997
975,1003.078,0.104396,0.863310,0.829824,0.896797,20,0.00018683,1,0.055569,0.072470,0.038669,0.942421,0.924701,0.960141,0.910718,0.889961,0.931475,0.007569,0.004724,0.017348,0.011261
1000,1028.894,0.105795,0.861166,0.831448,0.890884,20,0.00021871,1,0.056174,0.070622,0.041727,0.941735,0.926496,0.956973,0.909112,0.890166,0.928058,0.007401,0.004987,0.017187,0.011833
1025,1054.829,0.104515,0.861644,0.839992,0.883296,20,0.00023132,1,0.050927,0.058510,0.043345,0.946669,0.938258,0.955079,0.905361,0.889140,0.921583,0.006212,0.005293,0.016132,0.012901
1050,1080.403,0.102250,0.864064,0.840349,0.887778,20,0.00019427,1,0.050825,0.058304,0.043345,0.946885,0.938475,0.955296,0.907802,0.889345,0.926259,0.006075,0.005283,0.015991,0.012368
1075,1106.426,0.101654,0.863818,0.840630,0.887005,20,0.00015549,1,0.047204,0.055020,0.039388,0.950307,0.941587,0.959027,0.904412,0.886882,0.921942,0.005800,0.004896,0.015924,0.012577
1100,1132.311,0.096674,0.867484,0.844804,0.890163,20,0.00019271,1,0.043929,0.052967,0.034892,0.953655,0.943803,0.963506,0.905387,0.889550,0.921223,0.005379,0.004328,0.015314,0.012012
1125,1158.214,0.096081,0.869931,0.844090,0.895772,20,0.00019451,2,0.044840,0.056046,0.033633,0.952897,0.940845,0.964948,0.908649,0.891398,0.925899,0.005774,0.004146,0.015534,0.011488
1150,1184.024,0.094893,0.870683,0.846004,0.895361,20,0.00020147,2,0.043568,0.055841,0.031295,0.954192,0.941164,0.967219,0.908314,0.893246,0.923381,0.005758,0.003840,0.015380,0.011405
1175,1210.377,0.091984,0.874082,0.851431,0.896732,20,0.00015948,2,0.038370,0.047424,0.029317,0.959362,0.949508,0.969216,0.907415,0.891809,0.923022,0.005189,0.003625,0.015006,0.011211
1200,1236.762,0.091550,0.874572,0.852526,0.896618,20,0.00017901,1,0.039950,0.048245,0.031655,0.957845,0.948779,0.966911,0.909328,0.893656,0.925000,0.005015,0.003933,0.014669,0.011332
1225,1263.209,0.093053,0.873054,0.848284,0.897824,20,0.00022020,2,0.043017,0.052761,0.033273,0.954795,0.944215,0.965375,0.910369,0.893040,0.927698,0.005530,0.003989,0.015224,0.010983
1250,1289.559,0.091569,0.874338,0.852636,0.896040,20,0.00016694,2,0.039372,0.047629,0.031115,0.958399,0.949378,0.967420,0.908583,0.893246,0.923921,0.005066,0.003777,0.014797,0.011265
1275,1315.948,0.093280,0.872930,0.846887,0.898972,20,0.00019036,2,0.043889,0.055225,0.032554,0.953959,0.941800,0.966118,0.910947,0.893656,0.928237,0.005748,0.003904,0.015251,0.010972
1300,1342.382,0.088878,0.876543,0.852510,0.900576,20,0.00020652,2,0.041014,0.050914,0.031115,0.956903,0.946227,0.967579,0.912256,0.895915,0.928597,0.005203,0.003668,0.014534,0.010608
1325,1368.678,0.089344,0.876879,0.849222,0.904537,20,0.00026592,2,0.041012,0.055225,0.026799,0.956953,0.941951,0.971956,0.912448,0.896120,0.928777,0.005746,0.003218,0.015050,0.010187
1350,1394.985,0.088157,0.878075,0.846228,0.909921,20,0.00022911,1,0.041498,0.058715,0.024281,0.956552,0.938495,0.974610,0.913964,0.895915,0.932014,0.006109,0.002793,0.015360,0.009521
1375,1421.350,0.085588,0.880829,0.846348,0.915311,20,0.00016148,2,0.038401,0.059536,0.017266,0.959768,0.937742,0.981794,0.913925,0.896736,0.931115,0.006262,0.001971,0.015510,0.008865
1400,1447.754,0.082533,0.882890,0.844798,0.920982,20,0.00014255,2,0.035074,0.059536,0.010612,0.963181,0.937634,0.988728,0.912924,0.895093,0.930755,0.006172,0.001232,0.015538,0.008238
1425,1474.820,0.081292,0.884908,0.846766,0.923049,20,0.00024963,2,0.032223,0.057072,0.007374,0.966096,0.940060,0.992132,0.912475,0.895093,0.929856,0.006043,0.000931,0.015410,0.008142
1450,1501.690,0.081881,0.883656,0.847006,0.920307,20,0.00035417,1,0.032429,0.056046,0.008813,0.965817,0.941037,0.990597,0.911447,0.894478,0.928417,0.005933,0.001066,0.015370,0.008341
1475,1528.274,0.080230,0.884295,0.848420,0.920171,20,0.00033637,1,0.030852,0.052351,0.009353,0.967322,0.944613,0.990031,0.910806,0.892835,0.928777,0.005498,0.001061,0.015160,0.008225
1500,1554.779,0.081972,0.883876,0.845675,0.922076,20,0.00031680,1,0.032442,0.056251,0.008633,0.965780,0.940757,0.990803,0.911641,0.893246,0.930036,0.005901,0.001066,0.015470,0.008297
1525,1581.217,0.082205,0.883500,0.844677,0.922323,20,0.00034555,1,0.034124,0.058715,0.009532,0.964127,0.938389,0.989866,0.912694,0.894272,0.931115,0.006073,0.001096,0.015560,0.008177
1550,1607.730,0.081362,0.885780,0.847454,0.924105,20,0.00033429,1,0.032994,0.056457,0.009532,0.965284,0.940682,0.989885,0.914106,0.895299,0.932914,0.006023,0.001233,0.015379,0.008035
1575,1633.547,0.081984,0.884188,0.847300,0.921076,20,0.00029821,1,0.035150,0.060768,0.009532,0.963262,0.936671,0.989853,0.914322,0.898789,0.929856,0.006328,0.001143,0.015236,0.008286
1600,1659.754,0.080802,0.886272,0.849563,0.922981,20,0.00030442,1,0.032532,0.056251,0.008813,0.965818,0.941012,0.990624,0.914233,0.897352,0.931115,0.006037,0.001053,0.015204,0.008114
1625,1685.729,0.081371,0.885117,0.846691,0.923543,20,0.00029516,1,0.033533,0.057894,0.009173,0.964772,0.939290,0.990254,0.913862,0.895709,0.932014,0.006077,0.001074,0.015420,0.008059
1650,1711.373,0.080889,0.885058,0.848767,0.921348,20,0.00029498,1,0.032968,0.057483,0.008453,0.965397,0.939811,0.990984,0.913347,0.897557,0.929137,0.006071,0.001007,0.015209,0.008145
1675,1737.024,0.080794,0.885909,0.848426,0.923393,20,0.00029752,1,0.031825,0.056457,0.007194,0.966535,0.940746,0.992324,0.913181,0.896325,0.930036,0.005962,0.000953,0.015265,0.008139
1700,1763.041,0.081751,0.883526,0.845319,0.921733,20,0.00031573,1,0.033969,0.059125,0.008813,0.964331,0.938051,0.990611,0.912577,0.895299,0.929856,0.006102,0.001012,0.015473,0.008146
1725,1789.153,0.081546,0.884922,0.844901,0.924942,20,0.00029435,1,0.033867,0.058920,0.008813,0.964428,0.938213,0.990643,0.913888,0.894683,0.933094,0.006209,0.001043,0.015602,0.007885
1750,1815.159,0.082592,0.883897,0.847303,0.920491,20,0.00033253,1,0.034625,0.058099,0.011151,0.963650,0.939140,0.988161,0.913643,0.896530,0.930755,0.006204,0.001303,0.015418,0.008282
1775,1841.186,0.082004,0.883839,0.845588,0.922089,20,0.00032254,1,0.034893,0.060973,0.008813,0.963488,0.936362,0.990615,0.913681,0.897146,0.930216,0.006297,0.001051,0.015449,0.008136
