step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.386,0.742229,0.217108,0.245244,0.188971,20,0.00096609,0,0.284969,0.187025,0.382914,0.507242,0.608845,0.405639,0.276221,0.291111,0.261331,0.020082,0.048054,0.087845,0.125271
25,26.449,0.481334,0.372694,0.370740,0.374647,20,0.00014238,0,0.119086,0.090331,0.147842,0.780758,0.817352,0.744164,0.417133,0.404229,0.430036,0.009597,0.018114,0.067040,0.079516
50,184.994,0.383752,0.479522,0.472122,0.486922,23,0.00034440,1,0.089785,0.086225,0.093345,0.853442,0.856066,0.850819,0.522603,0.512831,0.532374,0.009051,0.011213,0.055859,0.061845
75,214.025,0.335284,0.545175,0.516184,0.574167,23,0.00004365,4,0.085042,0.090946,0.079137,0.873849,0.860954,0.886744,0.591367,0.563129,0.619604,0.009653,0.009686,0.051386,0.050696
100,380.777,0.309444,0.577040,0.548760,0.605320,22,0.00003245,3,0.079586,0.084172,0.075000,0.886356,0.876058,0.896654,0.622835,0.594950,0.650719,0.008889,0.008985,0.047597,0.046607
125,408.798,0.285786,0.606048,0.568359,0.643736,22,0.00004209,0,0.073191,0.079655,0.066727,0.898270,0.885105,0.911435,0.650161,0.613632,0.686691,0.008410,0.007962,0.045368,0.041698
150,568.906,0.266926,0.631737,0.584443,0.679031,21,0.00006437,1,0.070660,0.079450,0.061871,0.904562,0.888150,0.920974,0.675960,0.630877,0.721043,0.008480,0.007510,0.043627,0.037338
175,594.381,0.254973,0.650721,0.603523,0.697918,21,0.00000246,0,0.073265,0.083761,0.062770,0.904227,0.886477,0.921976,0.697901,0.654075,0.741727,0.008761,0.007696,0.041628,0.035134
200,737.819,0.235562,0.676625,0.634240,0.719010,19,0.00000927,0,0.066335,0.072059,0.060612,0.915274,0.904177,0.926371,0.721266,0.679943,0.762590,0.007764,0.007457,0.038256,0.032652
225,760.967,0.223107,0.692920,0.645813,0.740027,19,0.00003142,3,0.065703,0.076370,0.055036,0.917581,0.901011,0.934151,0.737945,0.695134,0.780755,0.008098,0.006626,0.037070,0.029929
250,905.348,0.213714,0.709189,0.666036,0.752342,18,0.00003639,2,0.070156,0.084377,0.055935,0.914807,0.895393,0.934222,0.758329,0.722234,0.794424,0.008981,0.006638,0.035102,0.028319
275,927.726,0.198486,0.733179,0.695603,0.770755,18,0.00001019,2,0.072733,0.092589,0.052878,0.915115,0.891404,0.938826,0.785760,0.760008,0.811511,0.009672,0.006337,0.031997,0.026157
300,1069.499,0.192147,0.746685,0.707427,0.785944,18,0.00000111,1,0.078346,0.094642,0.062050,0.910950,0.891094,0.930806,0.804546,0.774379,0.834712,0.009963,0.007477,0.030827,0.024502
325,1091.925,0.189943,0.751821,0.705232,0.798410,18,0.00000501,1,0.079168,0.094847,0.063489,0.910514,0.890599,0.930430,0.810611,0.772121,0.849101,0.010120,0.007771,0.031171,0.023197
350,1229.994,0.190572,0.756075,0.707095,0.805055,18,0.00001054,3,0.086382,0.105317,0.067446,0.904238,0.881250,0.927227,0.820458,0.781564,0.859353,0.011243,0.008270,0.031241,0.022524
375,1251.957,0.189279,0.756582,0.705511,0.807653,18,0.00008490,3,0.086625,0.106344,0.066906,0.904021,0.880093,0.927949,0.821114,0.780538,0.861691,0.011282,0.008098,0.031381,0.022002
400,1388.232,0.207092,0.742742,0.699357,0.786127,18,0.00005998,1,0.103435,0.117840,0.089029,0.887407,0.869010,0.905804,0.818942,0.781770,0.856115,0.012432,0.010837,0.032303,0.025079
425,1410.333,0.187423,0.762304,0.714286,0.810322,18,0.00000318,2,0.089965,0.106549,0.073381,0.901703,0.881209,0.922197,0.830088,0.790392,0.869784,0.011289,0.009002,0.030406,0.021922
450,1550.702,0.179913,0.775289,0.734262,0.816316,18,0.00000459,1,0.091790,0.105522,0.078058,0.901744,0.884960,0.918528,0.845889,0.811743,0.880036,0.011223,0.009553,0.028317,0.021265
475,1572.767,0.171120,0.788581,0.753801,0.823362,18,0.00000323,1,0.091815,0.107370,0.076259,0.903397,0.886032,0.920762,0.860444,0.834736,0.886151,0.011427,0.009400,0.026181,0.020445
500,1716.665,0.162095,0.802369,0.772296,0.832442,19,0.00004581,2,0.089634,0.102648,0.076619,0.906835,0.892427,0.921242,0.873897,0.851571,0.896223,0.011101,0.009456,0.024267,0.019475
525,1740.445,0.153750,0.812281,0.789022,0.835541,19,0.00000689,1,0.086205,0.099569,0.072842,0.910948,0.897049,0.924847,0.881993,0.867584,0.896403,0.010722,0.009007,0.022368,0.019017
