step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.377,0.679646,0.259741,0.306756,0.212725,20,0.00052127,0,0.257278,0.197290,0.317266,0.559770,0.650545,0.468995,0.323746,0.367276,0.280216,0.021057,0.039344,0.080982,0.115245
25,26.911,0.440401,0.403069,0.403710,0.402427,20,0.00000000,0,0.092503,0.073496,0.111511,0.827726,0.855002,0.800451,0.440342,0.433381,0.447302,0.007688,0.013617,0.062607,0.073541
50,200.159,0.307663,0.563189,0.550000,0.576377,23,0.00107710,2,0.059807,0.055225,0.064388,0.909064,0.913114,0.905015,0.596931,0.580374,0.613489,0.005666,0.007735,0.046014,0.049588
75,231.139,0.233687,0.670458,0.647835,0.693081,23,0.00134061,4,0.056439,0.057483,0.055396,0.926094,0.922588,0.929600,0.708275,0.685075,0.731475,0.005956,0.006637,0.035990,0.035296
100,426.160,0.193901,0.726756,0.699961,0.753551,26,0.00037773,4,0.054704,0.058510,0.050899,0.933209,0.926810,0.939607,0.766411,0.740916,0.791906,0.006113,0.005925,0.030691,0.027835
125,460.772,0.171438,0.754452,0.721888,0.787016,26,0.00010316,4,0.046612,0.057072,0.036151,0.943982,0.930413,0.957550,0.789278,0.763088,0.815468,0.006013,0.004152,0.028411,0.023628
150,679.758,0.153484,0.778642,0.741124,0.816160,28,0.00003057,3,0.043711,0.052351,0.035072,0.948619,0.937099,0.960139,0.812353,0.779922,0.844784,0.005410,0.003956,0.026255,0.020216
175,716.819,0.141697,0.797515,0.760093,0.834936,28,0.00001311,0,0.043143,0.057688,0.028597,0.950411,0.933047,0.967775,0.831377,0.803942,0.858813,0.006015,0.003367,0.024377,0.018162
200,944.870,0.135903,0.805997,0.770664,0.841331,29,0.00001984,1,0.042539,0.058099,0.026978,0.951606,0.933490,0.969721,0.839734,0.815438,0.864029,0.005958,0.003192,0.023175,0.017547
225,983.066,0.128544,0.817335,0.776448,0.858222,29,0.00003665,2,0.043589,0.063437,0.023741,0.951172,0.928654,0.973689,0.852150,0.825703,0.878597,0.006381,0.002875,0.022576,0.015635
