step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.369,1.012011,0.150333,0.126963,0.173704,20,0.00016185,0,0.466056,0.203275,0.728837,0.360439,0.429077,0.291802,0.226538,0.152771,0.300305,0.042887,0.056541,0.185008,0.102577
25,26.701,0.779154,0.204872,0.156126,0.253619,20,0.00001391,1,0.229354,0.097343,0.361366,0.563145,0.637681,0.488610,0.258296,0.171324,0.345268,0.020354,0.027551,0.163319,0.072443
50,185.150,0.696210,0.255152,0.200894,0.309409,23,0.00011704,1,0.172043,0.075699,0.268387,0.667224,0.740581,0.593868,0.304276,0.216102,0.392451,0.015702,0.020397,0.151585,0.062408
75,213.697,0.603890,0.347336,0.281401,0.413270,23,0.00001488,1,0.145748,0.065850,0.225645,0.755893,0.819975,0.691812,0.403227,0.299931,0.506522,0.013505,0.017095,0.134963,0.051030
100,396.810,0.509397,0.445229,0.390572,0.499886,25,0.00008895,0,0.135164,0.054398,0.215931,0.810596,0.883321,0.737871,0.509823,0.411819,0.607827,0.011262,0.016457,0.113036,0.042883
125,428.507,0.448720,0.500000,0.466260,0.533741,25,0.00016958,3,0.115455,0.050504,0.180405,0.841963,0.906528,0.777397,0.559919,0.489808,0.630031,0.010473,0.013771,0.098600,0.038812
150,600.861,0.401630,0.540642,0.522949,0.558335,24,0.00025581,2,0.099613,0.045465,0.153761,0.865265,0.923226,0.807304,0.595455,0.546725,0.644185,0.009377,0.011524,0.087624,0.035742
175,631.568,0.358530,0.578109,0.582563,0.573655,24,0.00010408,3,0.090097,0.040311,0.139883,0.880705,0.937633,0.823776,0.629973,0.606047,0.653900,0.008135,0.010643,0.076016,0.034081
200,820.937,0.331731,0.603050,0.628863,0.577238,25,0.00003807,2,0.093748,0.034013,0.153483,0.881481,0.950293,0.812669,0.658043,0.650252,0.665834,0.007011,0.011401,0.067344,0.034018
225,853.298,0.301132,0.630697,0.678400,0.582993,25,0.00005927,1,0.091742,0.028058,0.155426,0.886923,0.961326,0.812521,0.685520,0.697435,0.673605,0.005801,0.011623,0.057973,0.033678
250,1059.854,0.274121,0.658671,0.727525,0.589817,27,0.00011184,1,0.094400,0.033097,0.155704,0.885938,0.957823,0.814054,0.716629,0.751603,0.681654,0.006544,0.011819,0.048949,0.033217
275,1095.093,0.250545,0.683563,0.763043,0.604083,27,0.00003787,3,0.097192,0.025080,0.169303,0.887794,0.968932,0.806656,0.744268,0.782180,0.706356,0.004986,0.012802,0.042292,0.032320
300,1310.368,0.237963,0.699940,0.785205,0.614675,28,0.00008454,2,0.100289,0.027943,0.172634,0.886655,0.966539,0.806772,0.763967,0.807146,0.720788,0.005554,0.013212,0.038337,0.031582
325,1347.374,0.227269,0.711958,0.798209,0.625708,28,0.00006618,2,0.100022,0.023248,0.176797,0.889354,0.972324,0.806383,0.776548,0.816766,0.736331,0.004735,0.013516,0.036014,0.030602
350,1578.620,0.218802,0.723144,0.806553,0.639735,27,0.00003714,3,0.097734,0.020614,0.174854,0.893417,0.975570,0.811264,0.787388,0.823179,0.751596,0.004221,0.013446,0.034517,0.029574
375,1614.231,0.212930,0.730900,0.809225,0.652574,27,0.00003491,2,0.099018,0.022904,0.175132,0.893579,0.973075,0.814084,0.797310,0.827760,0.766861,0.004463,0.013276,0.033904,0.028195
400,1844.759,0.204745,0.739915,0.820236,0.659595,27,0.00002393,0,0.098010,0.018667,0.177352,0.896115,0.978147,0.814082,0.806061,0.835547,0.776575,0.003876,0.013297,0.031967,0.027689
425,1880.216,0.207470,0.742570,0.825317,0.659823,27,0.00000884,0,0.105490,0.021415,0.189564,0.890347,0.975225,0.805469,0.813946,0.842991,0.784901,0.004329,0.014775,0.031053,0.028550
450,2109.002,0.205258,0.743095,0.828713,0.657477,27,0.00001117,0,0.104085,0.020270,0.187899,0.891330,0.976587,0.806073,0.813263,0.845511,0.781016,0.004154,0.014577,0.030482,0.028569
475,2144.375,0.198146,0.749747,0.836888,0.662605,27,0.00002342,0,0.102362,0.020156,0.184568,0.893278,0.976936,0.809619,0.819329,0.853756,0.784901,0.004094,0.014244,0.028880,0.027995
500,2369.659,0.196578,0.752432,0.837883,0.666980,27,0.00001567,0,0.102276,0.023591,0.180960,0.893205,0.973229,0.813181,0.822663,0.857650,0.787677,0.004668,0.013932,0.028750,0.027472
525,2404.867,0.196200,0.752641,0.841887,0.663394,27,0.00001656,0,0.104666,0.021988,0.187344,0.891469,0.975081,0.807857,0.824038,0.860399,0.787677,0.004478,0.014436,0.027968,0.027971
550,2628.407,0.196066,0.754724,0.851541,0.657907,27,0.00000820,1,0.113050,0.022103,0.203997,0.885221,0.975234,0.795208,0.831240,0.870362,0.792118,0.004627,0.015622,0.026477,0.028752
575,2663.422,0.198181,0.753610,0.855481,0.651739,27,0.00000882,2,0.122374,0.023820,0.220927,0.878108,0.973523,0.782692,0.835792,0.875859,0.795726,0.004705,0.016981,0.025487,0.029728
600,2890.322,0.191957,0.762072,0.860139,0.664005,27,0.00004708,0,0.118918,0.021072,0.216764,0.882516,0.976569,0.788462,0.843101,0.878264,0.807938,0.004492,0.016780,0.024766,0.028573
625,2925.202,0.188565,0.763614,0.865501,0.661728,27,0.00002588,0,0.119678,0.021759,0.217596,0.881673,0.975986,0.787361,0.845025,0.884333,0.805717,0.004469,0.016689,0.023740,0.028530
650,3153.482,0.185989,0.769914,0.861428,0.678399,27,0.00001625,0,0.114814,0.023133,0.206495,0.886481,0.974424,0.798538,0.849920,0.881356,0.818485,0.004768,0.015962,0.024486,0.027141
675,3187.796,0.185426,0.771442,0.861432,0.681453,27,0.00002680,0,0.114968,0.022332,0.207605,0.886908,0.975269,0.798546,0.851797,0.880669,0.822925,0.004515,0.016102,0.024568,0.026926
700,3414.804,0.181584,0.774570,0.868893,0.680247,27,0.00002176,0,0.117294,0.021988,0.212601,0.885457,0.975837,0.795078,0.856433,0.887998,0.824868,0.004413,0.016369,0.023184,0.026947
725,3449.607,0.181182,0.777579,0.867616,0.687543,27,0.00002033,0,0.117955,0.021645,0.214266,0.885965,0.976163,0.795767,0.860627,0.886395,0.834860,0.004509,0.016557,0.023494,0.026362
750,3676.805,0.177212,0.779749,0.869755,0.689742,27,0.00003526,0,0.113808,0.020843,0.206772,0.889039,0.977064,0.801015,0.860123,0.887884,0.832362,0.004268,0.015937,0.022970,0.025990
775,3711.696,0.172707,0.784955,0.874607,0.695302,27,0.00003058,0,0.113089,0.021072,0.205107,0.890150,0.976948,0.803353,0.865475,0.893037,0.837913,0.004153,0.015852,0.022018,0.025541
