step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.843,0.827046,0.198164,0.185583,0.210744,20,0.00001341,0,0.343975,0.125539,0.562410,0.496937,0.624607,0.369268,0.269075,0.208881,0.329268,0.029487,0.032944,0.175920,0.068544
25,36.167,0.616350,0.308030,0.286317,0.329743,20,0.00003189,0,0.173120,0.047459,0.298780,0.726211,0.863375,0.589048,0.364085,0.299905,0.428264,0.010904,0.017214,0.143293,0.048090
50,71.395,0.525532,0.388250,0.389620,0.386880,20,0.00006238,1,0.155701,0.031990,0.279412,0.782744,0.926303,0.639185,0.448531,0.402084,0.494978,0.007311,0.015892,0.120553,0.043008
75,106.611,0.453608,0.451456,0.493048,0.409864,20,0.00001322,2,0.147391,0.029359,0.265423,0.803399,0.945316,0.661482,0.513088,0.507524,0.518651,0.006641,0.015010,0.099550,0.040825
100,141.874,0.413329,0.490955,0.561701,0.420208,20,0.00004503,2,0.151822,0.029254,0.274390,0.806521,0.951836,0.661205,0.556821,0.578133,0.535509,0.006791,0.015602,0.086113,0.040457
125,177.209,0.372660,0.526375,0.630739,0.422011,20,0.00003477,2,0.154945,0.029043,0.280846,0.807624,0.957169,0.658079,0.594795,0.649058,0.540531,0.006688,0.016024,0.072238,0.040618
150,212.731,0.339046,0.557001,0.688195,0.425806,20,0.00003671,2,0.155026,0.031359,0.278694,0.809563,0.957688,0.661438,0.627126,0.709776,0.544476,0.007246,0.016059,0.061093,0.040262
175,248.410,0.313215,0.578697,0.722783,0.434610,20,0.00001411,1,0.147853,0.031359,0.264347,0.817409,0.959632,0.675187,0.647473,0.745449,0.549498,0.007185,0.015090,0.054092,0.039171
200,283.917,0.301789,0.586771,0.750966,0.422575,20,0.00001513,2,0.149558,0.034410,0.264706,0.813172,0.957582,0.668761,0.655620,0.776807,0.534433,0.008003,0.015307,0.048790,0.040147
225,319.059,0.295732,0.591618,0.763032,0.420204,20,0.00002695,0,0.151572,0.035568,0.267575,0.811274,0.956926,0.665621,0.661406,0.790172,0.532640,0.008098,0.015430,0.046331,0.040476
250,354.654,0.291046,0.598000,0.768926,0.427074,20,0.00003636,1,0.151033,0.035568,0.266499,0.813583,0.957242,0.669924,0.668582,0.796275,0.540890,0.008313,0.015303,0.045351,0.039848
275,389.704,0.286281,0.603287,0.775496,0.431078,20,0.00002509,0,0.151076,0.034936,0.267217,0.814901,0.958286,0.671517,0.674429,0.802589,0.546270,0.008081,0.015532,0.043921,0.039694
300,424.632,0.287407,0.603831,0.774964,0.432698,20,0.00000071,0,0.156942,0.034831,0.279053,0.811587,0.958375,0.664800,0.677700,0.801957,0.553443,0.008119,0.015882,0.044096,0.039706
325,459.227,0.289178,0.600704,0.772556,0.428853,20,0.00000462,0,0.154991,0.034515,0.275466,0.811835,0.958602,0.665068,0.673104,0.799221,0.546987,0.007839,0.015878,0.044418,0.040115
350,493.659,0.285689,0.603871,0.776760,0.430981,20,0.00001049,0,0.155012,0.034200,0.275825,0.812554,0.959166,0.665943,0.676591,0.803325,0.549857,0.007939,0.015801,0.043575,0.039782
375,528.277,0.278705,0.609705,0.789302,0.430108,20,0.00002718,0,0.150204,0.032832,0.267575,0.816036,0.961286,0.670786,0.680205,0.815216,0.545194,0.007793,0.015635,0.041336,0.039845
400,562.603,0.277558,0.609732,0.787561,0.431902,20,0.00001483,0,0.147628,0.033779,0.261478,0.817938,0.960164,0.675712,0.679499,0.814164,0.544835,0.007973,0.015137,0.041593,0.039368
425,597.170,0.276633,0.609121,0.784957,0.433286,20,0.00001784,0,0.141258,0.032516,0.250000,0.822807,0.961428,0.684187,0.676044,0.810481,0.541607,0.007569,0.014564,0.042087,0.039053
