step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette
1,1.411,0.883136,0.184212,0.187488,0.180936,20,0.00009523,0,0.477185,0.106808,0.847561,0.471523,0.660194,0.282853,0.270902,0.207513,0.334290,0.025029,0.049990,0.172524,0.084323
25,26.791,0.652818,0.305707,0.270881,0.340532,20,0.00003389,2,0.240124,0.051984,0.428264,0.688743,0.845721,0.531765,0.385666,0.284963,0.486370,0.011983,0.024973,0.147048,0.052072
50,190.847,0.544460,0.411258,0.386512,0.436004,23,0.00033081,2,0.212113,0.045459,0.378766,0.756173,0.898876,0.613470,0.502615,0.404083,0.601148,0.010598,0.021625,0.122897,0.042401
75,220.049,0.479831,0.466088,0.474527,0.457650,23,0.00026607,4,0.200118,0.045144,0.355093,0.776232,0.916569,0.635896,0.558053,0.495949,0.620158,0.010075,0.020177,0.104827,0.039928
100,377.463,0.426264,0.515775,0.535722,0.495828,22,0.00028612,3,0.184716,0.036936,0.332496,0.801439,0.937655,0.665222,0.608099,0.555509,0.660689,0.008554,0.018904,0.091966,0.036326
125,405.043,0.392262,0.546397,0.567272,0.525521,22,0.00021881,2,0.168931,0.030832,0.307030,0.820500,0.949915,0.691086,0.635818,0.584763,0.686872,0.006997,0.017321,0.085114,0.033430
150,583.237,0.358665,0.584838,0.595690,0.573986,25,0.00008944,1,0.156346,0.030411,0.282281,0.837791,0.952793,0.722790,0.674909,0.613806,0.736011,0.006747,0.015611,0.079326,0.029030
175,615.565,0.318138,0.625418,0.650610,0.600227,25,0.00002359,1,0.146793,0.026728,0.266858,0.850875,0.961527,0.740223,0.714201,0.668000,0.760402,0.006189,0.014894,0.068480,0.027018
200,822.196,0.294852,0.650211,0.690946,0.609476,28,0.00000178,1,0.154017,0.028623,0.279412,0.848744,0.961287,0.736200,0.745247,0.710723,0.779770,0.006471,0.015777,0.060410,0.026750
225,858.363,0.278481,0.666918,0.719967,0.613870,28,0.00001383,0,0.161148,0.029254,0.293042,0.846192,0.962022,0.730363,0.767394,0.741029,0.793759,0.006669,0.016471,0.054587,0.026667
250,1083.043,0.247693,0.701146,0.763835,0.638457,27,0.00001086,0,0.161652,0.030622,0.292683,0.850384,0.962558,0.738210,0.806274,0.787225,0.825323,0.006999,0.016460,0.045919,0.024914
