step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.380,1.260056,0.190821,0.151570,0.230071,20,0.00000000,0,0.212629,0.093992,0.331265,0.559317,0.638225,0.480410,0.236051,0.165817,0.306286,0.034612,0.046126,0.253811,0.125838,0.050000,0,0,0,0,0
25,26.749,1.004623,0.285657,0.223962,0.347352,20,0.00000000,0,0.110991,0.037981,0.184000,0.775228,0.859563,0.690894,0.321867,0.232469,0.411265,0.013871,0.025420,0.220435,0.094794,0.050000,0,0,0,0,0
50,196.536,0.910614,0.357882,0.278690,0.437075,20,0.00007860,1,0.106024,0.035395,0.176653,0.817534,0.890739,0.744329,0.401420,0.288554,0.514286,0.012639,0.024257,0.204204,0.080868,0.050000,0,0,0,0,0
75,222.842,0.841915,0.404297,0.311076,0.497518,20,0.00014117,1,0.091294,0.031405,0.151184,0.851002,0.910845,0.791159,0.446790,0.320845,0.572735,0.011224,0.020656,0.194242,0.070423,0.050000,0,0,0,0,0
100,390.501,0.785693,0.448506,0.352036,0.544975,20,0.00030454,1,0.088910,0.032513,0.145306,0.864528,0.917895,0.811161,0.493823,0.363482,0.624163,0.011466,0.019926,0.182815,0.063315,0.050000,0,0,0,0,0
125,416.502,0.720916,0.492539,0.403162,0.581917,20,0.00031183,1,0.085624,0.028227,0.143020,0.879639,0.936248,0.823030,0.539843,0.414542,0.665143,0.009825,0.019779,0.167395,0.058035,0.050000,0,0,0,0,0
150,583.614,0.658128,0.542526,0.467828,0.617224,20,0.00000430,0,0.097256,0.026676,0.167837,0.879259,0.947384,0.811134,0.600562,0.480307,0.720816,0.009704,0.022928,0.149254,0.053805,0.050000,0,0,0,0,0
175,609.678,0.612305,0.582607,0.526568,0.638645,20,0.00000000,0,0.111891,0.033252,0.190531,0.871013,0.942404,0.799622,0.652202,0.544077,0.760327,0.011939,0.026072,0.133382,0.051715,0.050000,0,0,0,0,0
200,776.589,0.594182,0.598088,0.534010,0.662166,20,0.00000000,0,0.109042,0.033104,0.184980,0.876309,0.943391,0.809227,0.668171,0.551688,0.784653,0.012156,0.025255,0.131253,0.048102,0.050000,0,0,0,0,0
225,802.688,0.574691,0.617192,0.548975,0.685409,20,0.00000000,0,0.112409,0.034287,0.190531,0.876880,0.943054,0.810706,0.691899,0.567797,0.816000,0.012489,0.026254,0.127201,0.044992,0.050000,0,0,0,0,0
250,971.590,0.559410,0.628122,0.560029,0.696215,20,0.00000000,0,0.109761,0.033400,0.186122,0.880753,0.945437,0.816070,0.702265,0.578733,0.825796,0.012272,0.025851,0.124067,0.043342,0.050000,0,0,0,0,0
275,997.370,0.540612,0.642104,0.577443,0.706766,20,0.00000000,0,0.109330,0.033843,0.184816,0.882775,0.946351,0.819198,0.717186,0.596985,0.837388,0.012625,0.025609,0.119326,0.041761,0.050000,0,0,0,0,0
300,1163.939,0.529704,0.654581,0.590148,0.719015,20,0.00000000,0,0.117240,0.041011,0.193469,0.876722,0.937422,0.816022,0.736236,0.614350,0.858122,0.014811,0.026341,0.116170,0.039822,0.050000,0,0,0,0,0
325,1189.634,0.520502,0.660506,0.595686,0.725326,20,0.00000000,0,0.113648,0.037907,0.189388,0.881109,0.942230,0.819988,0.740480,0.618266,0.862694,0.014015,0.025928,0.114454,0.039075,0.050000,0,0,0,0,0
350,1357.034,0.514978,0.664546,0.598094,0.730998,20,0.00000000,0,0.109030,0.038794,0.179265,0.884537,0.941229,0.827846,0.741668,0.621296,0.862041,0.014256,0.024904,0.113839,0.038241,0.050000,0,0,0,0,0
375,1382.837,0.513354,0.665012,0.596645,0.733380,20,0.00000000,0,0.106668,0.039459,0.173878,0.886074,0.940181,0.831966,0.740543,0.620188,0.860898,0.014762,0.023797,0.114453,0.037386,0.050000,0,0,0,0,0
400,1550.401,0.507234,0.668425,0.594842,0.742008,20,0.00000000,0,0.099736,0.040124,0.159347,0.891407,0.939098,0.843715,0.739477,0.618710,0.860245,0.014515,0.022161,0.114719,0.036021,0.050000,0,0,0,0,0
425,1576.079,0.501291,0.673755,0.596946,0.750563,20,0.00000000,0,0.100128,0.040420,0.159837,0.891885,0.938896,0.844874,0.745803,0.621074,0.870531,0.014795,0.021880,0.114269,0.034490,0.050000,0,0,0,0,0
450,1744.473,0.493303,0.679683,0.603129,0.756236,20,0.00000000,0,0.095471,0.038942,0.152000,0.896467,0.941490,0.851444,0.748900,0.626616,0.871184,0.014759,0.021158,0.112767,0.033709,0.050000,0,0,0,0,0
475,1770.339,0.490251,0.682469,0.605832,0.759106,20,0.00000000,0,0.099961,0.038942,0.160980,0.893644,0.941736,0.845551,0.755365,0.629424,0.881306,0.014415,0.022214,0.111681,0.033422,0.050000,0,0,0,0,0
500,1942.143,0.490099,0.683395,0.606856,0.759933,20,0.00000000,0,0.104053,0.041085,0.167020,0.890230,0.938941,0.841518,0.759323,0.631789,0.886857,0.014692,0.022929,0.111233,0.033322,0.050000,0,0,0,0,0
525,1968.357,0.487657,0.686693,0.612424,0.760963,20,0.00000000,0,0.105617,0.038498,0.172735,0.890376,0.942923,0.837830,0.764205,0.636001,0.892408,0.014242,0.024048,0.109718,0.033690,0.050000,0,0,0,0,0
550,2133.982,0.485893,0.685868,0.612524,0.759213,20,0.00000000,0,0.103437,0.037242,0.169633,0.892119,0.944628,0.839611,0.761668,0.635336,0.888000,0.013751,0.023602,0.109500,0.033788,0.050000,0,0,0,0,0
575,2159.404,0.487828,0.683405,0.607389,0.759421,20,0.00000000,0,0.106011,0.037981,0.174041,0.889929,0.943179,0.836678,0.761025,0.630459,0.891592,0.013539,0.023578,0.110768,0.033282,0.050000,0,0,0,0,0
600,2324.566,0.489807,0.682126,0.607252,0.757000,20,0.00000000,0,0.107519,0.037242,0.177796,0.888957,0.944174,0.833740,0.760730,0.629868,0.891592,0.012987,0.024507,0.110527,0.033995,0.050000,0,0,0,0,0
625,2350.381,0.487574,0.684008,0.610117,0.757899,20,0.00000000,0,0.105429,0.032735,0.178122,0.892151,0.950613,0.833689,0.761494,0.630089,0.892898,0.012237,0.024731,0.110047,0.033994,0.050000,0,0,0,0,0
650,2515.689,0.484479,0.685379,0.608021,0.762738,20,0.00000000,0,0.104811,0.033622,0.176000,0.892595,0.949219,0.835971,0.762722,0.628464,0.896980,0.012168,0.024067,0.110413,0.032963,0.050000,0,0,0,0,0
675,2541.202,0.471613,0.695254,0.611717,0.778791,20,0.00000000,0,0.097218,0.030518,0.163918,0.900341,0.953824,0.846858,0.768417,0.630385,0.906449,0.011617,0.022804,0.109314,0.030680,0.050000,0,0,0,0,0
700,2706.547,0.469041,0.698945,0.613936,0.783954,20,0.00000000,0,0.098944,0.031848,0.166041,0.899207,0.952132,0.846282,0.773805,0.633489,0.914122,0.011961,0.023152,0.108812,0.029979,0.050000,0,0,0,0,0
725,2731.966,0.466264,0.700191,0.617245,0.783138,20,0.00000000,0,0.100167,0.032661,0.167673,0.898154,0.951257,0.845051,0.775927,0.637405,0.914449,0.012194,0.023130,0.107861,0.029898,0.050000,0,0,0,0,0
750,2897.987,0.477482,0.696920,0.613627,0.780214,20,0.00000000,0,0.107280,0.037907,0.176653,0.891226,0.943824,0.838628,0.777464,0.636888,0.918041,0.014379,0.024151,0.109593,0.030302,0.050000,0,0,0,0,0
775,2923.252,0.481543,0.693860,0.609204,0.778515,20,0.00000000,0,0.108257,0.035617,0.180898,0.891074,0.946563,0.835584,0.775125,0.630902,0.919347,0.013568,0.024945,0.110633,0.030625,0.050000,0,0,0,0,0
