step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.365,1.255568,0.156907,0.189697,0.124116,20,0.00019250,0,0.162589,0.112745,0.212434,0.533243,0.651838,0.414649,0.180784,0.211084,0.150483,0.027994,0.048116,0.182323,0.198100,0.050000,0,0,0,0,0
25,26.804,0.981256,0.272606,0.298704,0.246508,20,0.00000069,1,0.087846,0.057323,0.118368,0.772998,0.846381,0.699615,0.295756,0.315826,0.275686,0.014034,0.026551,0.149813,0.156980,0.050000,0,0,0,0,0
50,185.787,0.762170,0.429678,0.435963,0.423392,20,0.00034587,0,0.074058,0.049820,0.098297,0.863667,0.901833,0.825501,0.461347,0.457683,0.465010,0.011967,0.021911,0.119292,0.117745,0.050000,0,0,0,0,0
75,210.727,0.560340,0.579684,0.547876,0.611492,20,0.00017388,0,0.062096,0.047919,0.076272,0.909555,0.922966,0.896144,0.616131,0.574130,0.658132,0.011557,0.016726,0.095300,0.077297,0.050000,0,0,0,0,0
100,372.400,0.428828,0.682260,0.628912,0.735609,20,0.00013905,0,0.056650,0.048419,0.064880,0.927550,0.931590,0.923510,0.721349,0.659364,0.783335,0.011721,0.014318,0.078074,0.051817,0.050000,0,0,0,0,0
125,397.523,0.369595,0.727098,0.660227,0.793969,20,0.00005823,2,0.052684,0.051120,0.054248,0.935263,0.931391,0.939136,0.765509,0.693978,0.837040,0.012166,0.011954,0.071430,0.039695,0.050000,0,0,0,0,0
150,559.823,0.323864,0.760514,0.703972,0.817057,20,0.00006410,2,0.046751,0.050320,0.043181,0.944031,0.936281,0.951781,0.795867,0.739396,0.852338,0.012072,0.009431,0.062357,0.034831,0.050000,0,0,0,0,0
175,584.850,0.276232,0.800190,0.747559,0.852822,20,0.00025325,2,0.047733,0.055322,0.040143,0.945588,0.934471,0.956705,0.837986,0.788916,0.887057,0.013372,0.008647,0.053162,0.027847,0.050000,0,0,0,0,0
200,748.115,0.232238,0.832158,0.790375,0.873941,20,0.00032452,1,0.044463,0.051821,0.037105,0.950997,0.941323,0.960672,0.868851,0.831333,0.906369,0.012409,0.007807,0.043794,0.023435,0.050000,0,0,0,0,0
225,772.722,0.205070,0.856964,0.818475,0.895454,20,0.00127147,0,0.045258,0.054822,0.035695,0.951615,0.940292,0.962938,0.895381,0.863345,0.927417,0.013367,0.007573,0.038243,0.019347,0.050000,0,0,0,0,0
