step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.395,1.152610,0.188629,0.206117,0.171142,20,0.00000464,0,0.208281,0.263793,0.152769,0.530218,0.496849,0.563587,0.228888,0.260489,0.197287,0.036081,0.045266,0.122050,0.221479,0.050000,0,0,0,0,0
25,26.399,0.871730,0.307010,0.359446,0.254574,20,0.00005177,0,0.095561,0.121738,0.069385,0.782494,0.768093,0.796895,0.337721,0.403204,0.272237,0.016410,0.020540,0.087104,0.184987,0.050000,0,0,0,0,0
50,190.799,0.721965,0.423267,0.476057,0.370477,20,0.00000175,0,0.087454,0.117608,0.057299,0.845677,0.818968,0.872386,0.461875,0.532045,0.391705,0.015536,0.016570,0.070518,0.154084,0.050000,0,0,0,0,0
75,216.624,0.594364,0.530765,0.576979,0.484551,20,0.00017729,1,0.089479,0.126528,0.052430,0.871914,0.837056,0.906772,0.579970,0.649983,0.509956,0.016615,0.015244,0.056749,0.125402,0.050000,0,0,0,0,0
100,386.044,0.488561,0.614438,0.641421,0.587454,20,0.00012547,2,0.086640,0.125372,0.047909,0.889906,0.852018,0.927795,0.668718,0.721837,0.615599,0.016529,0.013807,0.047959,0.099698,0.050000,0,0,0,0,0
125,412.278,0.394375,0.687938,0.675617,0.700258,20,0.00055707,2,0.091043,0.138091,0.043996,0.895493,0.847751,0.943235,0.749990,0.768913,0.731067,0.018339,0.012986,0.043660,0.072006,0.050000,0,0,0,0,0
150,581.091,0.340360,0.724983,0.691980,0.757987,20,0.00034444,2,0.084836,0.124546,0.045127,0.904069,0.862031,0.946106,0.785178,0.778163,0.792192,0.016464,0.013002,0.040874,0.057766,0.050000,0,0,0,0,0
175,607.156,0.294433,0.758070,0.707963,0.808177,20,0.00044850,2,0.079020,0.115956,0.042083,0.912212,0.872015,0.952409,0.816122,0.790056,0.842188,0.015462,0.012342,0.038542,0.045596,0.050000,0,0,0,0,0
200,772.208,0.266690,0.778998,0.714835,0.843162,20,0.00041765,3,0.082563,0.116782,0.048344,0.910263,0.872383,0.948144,0.841119,0.798315,0.883923,0.015292,0.013695,0.037456,0.036850,0.050000,0,0,0,0,0
225,797.792,0.247301,0.793625,0.723737,0.863512,20,0.00050865,2,0.078868,0.108523,0.049213,0.914664,0.880849,0.948480,0.854144,0.802279,0.906008,0.014118,0.014111,0.036013,0.032188,0.050000,0,0,0,0,0
250,965.364,0.238661,0.798833,0.726208,0.871458,20,0.00023489,2,0.073430,0.100429,0.046431,0.919955,0.888358,0.951551,0.855531,0.799141,0.911921,0.013407,0.013519,0.035808,0.030228,0.050000,0,0,0,0,0
275,991.155,0.233054,0.803463,0.731905,0.875021,20,0.00031044,2,0.074295,0.102246,0.046344,0.919669,0.887516,0.951821,0.861156,0.806739,0.915573,0.013679,0.013413,0.034957,0.029109,0.050000,0,0,0,0,0
300,1157.825,0.225818,0.807736,0.737998,0.877475,20,0.00021223,2,0.067992,0.090684,0.045300,0.925841,0.898746,0.952936,0.861073,0.804922,0.917225,0.012368,0.013148,0.033880,0.028585,0.050000,0,0,0,0,0
325,1183.642,0.223870,0.810332,0.740897,0.879766,20,0.00017895,2,0.069935,0.097787,0.042083,0.924394,0.892676,0.956112,0.865068,0.813347,0.916790,0.013261,0.012294,0.033659,0.028145,0.050000,0,0,0,0,0
350,1349.995,0.217447,0.813195,0.746477,0.879913,20,0.00017655,2,0.071830,0.101751,0.041909,0.923093,0.889902,0.956285,0.869611,0.822431,0.916790,0.012796,0.012011,0.032178,0.027860,0.050000,0,0,0,0,0
375,1376.019,0.216622,0.814749,0.747706,0.881793,20,0.00010290,2,0.069757,0.097952,0.041562,0.925055,0.893403,0.956707,0.869693,0.820945,0.918442,0.012765,0.012052,0.032205,0.027570,0.050000,0,0,0,0,0
400,1543.796,0.208415,0.818887,0.746441,0.891333,20,0.00014218,2,0.070817,0.102246,0.039388,0.924341,0.889464,0.959219,0.874601,0.822762,0.926441,0.012901,0.011310,0.032235,0.025099,0.050000,0,0,0,0,0
425,1569.812,0.203948,0.823770,0.754202,0.893339,20,0.00027311,2,0.069248,0.100760,0.037736,0.926327,0.891767,0.960887,0.878622,0.830195,0.927050,0.012884,0.010931,0.031331,0.024681,0.050000,0,0,0,0,0
450,1738.883,0.204186,0.825637,0.756696,0.894578,20,0.00026578,2,0.066848,0.097787,0.035910,0.928688,0.894681,0.962695,0.878696,0.830690,0.926702,0.013164,0.010503,0.031640,0.024526,0.050000,0,0,0,0,0
475,1764.874,0.199403,0.828480,0.760568,0.896393,20,0.00025459,2,0.065292,0.094153,0.036432,0.930313,0.898359,0.962266,0.880613,0.832177,0.929050,0.012629,0.010596,0.030831,0.023964,0.050000,0,0,0,0,0
500,1930.676,0.200366,0.828065,0.758900,0.897229,20,0.00022222,3,0.067583,0.099604,0.035562,0.928253,0.893369,0.963137,0.881813,0.834490,0.929137,0.013188,0.010468,0.031071,0.023837,0.050000,0,0,0,0,0
525,1956.037,0.193812,0.832730,0.766090,0.899371,20,0.00028482,2,0.062536,0.088206,0.036866,0.933144,0.904318,0.961970,0.883096,0.833664,0.932528,0.011818,0.010706,0.030010,0.023265,0.050000,0,0,0,0,0
550,2121.144,0.196579,0.829449,0.755302,0.903596,20,0.00019246,3,0.067748,0.098282,0.037214,0.927941,0.894072,0.961810,0.883379,0.829534,0.937223,0.012899,0.010766,0.031395,0.022254,0.050000,0,0,0,0,0
575,2147.042,0.195360,0.829295,0.753588,0.905002,20,0.00029295,2,0.064705,0.093327,0.036084,0.930598,0.898253,0.962943,0.880788,0.823918,0.937658,0.012484,0.010434,0.031751,0.021841,0.050000,0,0,0,0,0
600,2310.684,0.197330,0.827450,0.749623,0.905277,20,0.00024433,2,0.065744,0.095144,0.036345,0.929423,0.896141,0.962705,0.879562,0.820945,0.938179,0.012694,0.010522,0.032318,0.021793,0.050000,0,0,0,0,0
