step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.416,1.095125,0.222408,0.192544,0.252272,20,0.00000000,0,0.178780,0.179451,0.178108,0.591939,0.558597,0.625282,0.262150,0.227096,0.297204,0.040569,0.035884,0.177669,0.149146,0.050000,0,0,0,0,0
25,25.720,0.797285,0.364217,0.354434,0.374001,20,0.00000003,0,0.090185,0.093993,0.086377,0.814785,0.804889,0.824680,0.397027,0.387748,0.406306,0.020869,0.017323,0.131327,0.115338,0.050000,0,0,0,0,0
50,181.962,0.631132,0.486983,0.503193,0.470772,20,0.00002927,1,0.073621,0.082757,0.064485,0.877063,0.868136,0.885991,0.522983,0.544836,0.501130,0.018183,0.012747,0.099722,0.095183,0.050000,0,0,0,0,0
75,207.115,0.534639,0.562236,0.584075,0.540397,20,0.00018396,1,0.065013,0.080056,0.049970,0.903223,0.887386,0.919060,0.599117,0.630834,0.567400,0.017539,0.009877,0.082964,0.081498,0.050000,0,0,0,0,0
100,360.813,0.472219,0.615158,0.621799,0.608517,19,0.00145174,4,0.063248,0.084378,0.042118,0.913249,0.888778,0.937720,0.654206,0.674265,0.634146,0.018262,0.008067,0.075275,0.068628,0.050000,0,0,1,0,0
125,384.674,0.444365,0.642098,0.634452,0.649744,19,0.00351712,2,0.061985,0.078760,0.045211,0.917191,0.896801,0.937582,0.681770,0.684421,0.679120,0.017119,0.009015,0.072645,0.061589,0.050000,0,0,1,0,0
150,531.785,0.412478,0.673156,0.640008,0.706304,19,0.00255116,3,0.064487,0.083405,0.045568,0.917255,0.892629,0.941882,0.715939,0.693388,0.738489,0.018240,0.008972,0.071843,0.051448,0.050000,0,0,1,0,0
175,554.876,0.383239,0.700426,0.634219,0.766632,19,0.00176337,4,0.062671,0.089888,0.035455,0.921085,0.884924,0.957245,0.742520,0.691227,0.793813,0.019788,0.006981,0.073510,0.040441,0.050000,0,0,1,0,0
200,702.142,0.347491,0.728923,0.647880,0.809965,19,0.00104027,5,0.058761,0.090752,0.026770,0.927505,0.886194,0.968815,0.769162,0.706677,0.831648,0.019918,0.005112,0.070706,0.032366,0.050000,0,0,1,0,0
225,725.575,0.330940,0.743592,0.653388,0.833797,19,0.00086758,3,0.057021,0.087511,0.026532,0.930141,0.890348,0.969934,0.783243,0.710566,0.855919,0.019375,0.005025,0.069557,0.028353,0.050000,0,0,1,0,0
