job	pair	arm	count_target_iou	count_lambda	count_power	count_margin_reward	count_hard_floor	count_start_mode	delete_eval_steps	shed_patience_evals	seed	stop_reason	final_step	count_target_reached	count_final_deficit	final_mean_iou	best_mean_iou	final_patches	shed_entered_step	shed_entry_patches	shed_entry_mean_iou	shed_evals	min_iou_after_target	patches_at_threshold	patches_shed_after_threshold	start_patches	max_patches	min_patches	final_mean_spill	final_mean_precision	final_mean_coverage	final_overlap	srd_total_adds	srd_total_splits	srd_total_deletes	total_seconds
h2_sun_moon_l200	sun_moon	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1050	False	0.372591	0.537409	0.540304	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.041329	0.930412	0.559416	0.00000000	0	0	0	1101.511
h2_sun_moon_l2000	sun_moon	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1000	False	0.380635	0.529365	0.531190	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.035312	0.938417	0.547880	0.00002485	0	0	0	1036.710
h2_sun_moon_l500	sun_moon	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1425	False	0.369964	0.540036	0.540036	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.028976	0.950189	0.555697	0.00000186	0	0	0	1416.410
h2_water_fire_l200	water_fire	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1350	False	0.174766	0.735234	0.743014	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.130901	0.864400	0.831822	0.00000000	0	0	0	1375.189
h2_water_fire_l2000	water_fire	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1000	False	0.209351	0.700649	0.701913	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.093749	0.898455	0.769222	0.00027668	0	0	0	1024.914
h2_water_fire_l500	water_fire	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1750	False	0.196099	0.713901	0.721202	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.068812	0.918671	0.764858	0.00001763	0	0	0	1708.789
h2_cat_face_bass_l200	cat_face_bass	l200	0.91	200	1	5	True	on_target	15	8	0	steps	3000	False	0.104112	0.805888	0.806020	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.060432	0.934417	0.854605	0.00058817	0	0	0	2997.953
h2_cat_face_bass_l2000	cat_face_bass	l2000	0.91	2000	1	5	True	on_target	15	8	0	converged	1350	False	0.116094	0.793906	0.795288	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.064592	0.929070	0.845203	0.00546776	0	0	0	1398.850
h2_cat_face_bass_l500	cat_face_bass	l500	0.91	500	1	5	True	on_target	15	8	0	converged	1000	False	0.121445	0.788555	0.800545	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.073833	0.920212	0.846870	0.00501156	0	0	0	995.285
h2_dance_argument_l200	dance_argument	l200	0.91	200	1	5	True	on_target	15	8	0	converged	1000	False	0.560050	0.349950	0.399572	5	-1	-1	-1	0	-1	-1	-1	5	5	5	0.162008	0.666992	0.376216	0.00000000	0	0	0	1062.197
