step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,0.533,0.896057,0.098179,0.087198,0.109160,5,0.00000000,0,0.378731,0.061980,0.695481,0.404615,0.599047,0.210183,0.138841,0.092602,0.185079,0.014558,0.041177,0.186359,0.084460,0.050000,0,0,0,0,0
25,6.933,0.767164,0.134994,0.088723,0.181265,5,0.00000000,0,0.191879,0.028307,0.355452,0.585958,0.763204,0.408711,0.168465,0.091234,0.245696,0.006600,0.020798,0.180189,0.061833,0.050000,0,0,0,0,0
50,48.254,0.739443,0.158738,0.094137,0.223339,5,0.00000000,0,0.156602,0.028412,0.284792,0.637496,0.773109,0.501882,0.191878,0.096812,0.286944,0.006720,0.016701,0.179156,0.055614,0.050000,0,0,0,0,0
75,53.936,0.725997,0.176129,0.102830,0.249429,5,0.00000007,0,0.144474,0.033568,0.255380,0.655379,0.759970,0.550789,0.209705,0.106282,0.313128,0.007742,0.014966,0.178220,0.052425,0.050000,0,0,0,0,0
100,95.314,0.709495,0.197899,0.124034,0.271764,5,0.00007594,0,0.143776,0.035042,0.252511,0.679842,0.785576,0.574108,0.234384,0.128381,0.340387,0.008259,0.014702,0.174366,0.050634,0.050000,0,0,0,0,0
125,101.251,0.689410,0.221517,0.161847,0.281188,5,0.00001064,0,0.152487,0.037041,0.267934,0.695073,0.819209,0.570936,0.262185,0.167842,0.356528,0.008633,0.015654,0.167053,0.050604,0.050000,0,0,0,0,0
150,141.172,0.665946,0.227829,0.198293,0.257365,5,0.00000000,0,0.156841,0.023151,0.290531,0.715495,0.897579,0.533410,0.267511,0.202883,0.332138,0.005262,0.017025,0.157529,0.053310,0.050000,0,0,0,0,0
175,147.072,0.639926,0.250742,0.220047,0.281437,5,0.00000000,0,0.139679,0.021467,0.257891,0.745683,0.912821,0.578546,0.289394,0.224771,0.354017,0.004803,0.015213,0.152928,0.050373,0.050000,0,0,0,0,0
200,188.372,0.627567,0.260687,0.230176,0.291198,5,0.00000000,0,0.132988,0.023151,0.242826,0.754477,0.910496,0.598458,0.298706,0.235505,0.361908,0.004824,0.014143,0.150734,0.048972,0.050000,0,0,0,0,0
225,194.339,0.620985,0.270633,0.236113,0.305153,5,0.00000000,0,0.129963,0.021046,0.238881,0.766251,0.919711,0.612791,0.309565,0.241082,0.378049,0.004723,0.014010,0.149706,0.047923,0.050000,0,0,0,0,0
250,233.469,0.617594,0.273899,0.242259,0.305540,5,0.00000000,0,0.133063,0.022940,0.243185,0.762473,0.915274,0.609672,0.313829,0.247816,0.379842,0.004771,0.014190,0.148477,0.047907,0.050000,0,0,0,0,0
275,239.082,0.615879,0.274367,0.247757,0.300976,5,0.00000000,0,0.134564,0.020204,0.248924,0.763795,0.925983,0.601607,0.314329,0.252762,0.375897,0.004515,0.014553,0.147281,0.048477,0.050000,0,0,0,0,0
300,279.213,0.602350,0.290678,0.246948,0.334409,5,0.00000000,0,0.119946,0.017152,0.222740,0.791719,0.936078,0.647359,0.330040,0.251184,0.408895,0.003881,0.013067,0.147069,0.045240,0.050000,0,0,0,0,0
325,285.036,0.574190,0.317138,0.270318,0.363959,5,0.00000000,0,0.111380,0.008629,0.214132,0.821457,0.969323,0.673592,0.357272,0.272651,0.441894,0.001817,0.012596,0.141200,0.042991,0.050000,0,0,0,0,0
350,326.297,0.571051,0.320508,0.281377,0.359639,5,0.00000000,0,0.120168,0.008629,0.231707,0.813529,0.970493,0.656566,0.363387,0.283805,0.442970,0.001847,0.013455,0.138992,0.043708,0.050000,0,0,0,0,0
375,332.197,0.570730,0.321543,0.285402,0.357683,5,0.00000000,0,0.121158,0.009892,0.232425,0.810794,0.966820,0.654768,0.364521,0.288225,0.440818,0.002070,0.013642,0.138440,0.043948,0.050000,0,0,0,0,0
400,373.128,0.571314,0.323180,0.288289,0.358071,5,0.00000000,0,0.126053,0.009997,0.242109,0.807163,0.966806,0.647520,0.367967,0.291171,0.444763,0.002210,0.014172,0.137976,0.044271,0.050000,0,0,0,0,0
425,379.023,0.571449,0.321271,0.288411,0.354131,5,0.00000000,0,0.125295,0.008839,0.241750,0.807890,0.970516,0.645263,0.365351,0.290961,0.439742,0.001998,0.014203,0.137856,0.044527,0.050000,0,0,0,0,0
