step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.403,1.653447,0.192151,0.152158,0.232145,20,0.00000000,0,0.213437,0.094140,0.332735,0.560303,0.638787,0.481820,0.237935,0.166482,0.309388,0.034660,0.046322,0.829360,0.683875,0.000000,0,0,0,0,0
25,26.553,1.267053,0.335133,0.252842,0.417425,20,0.00008005,0,0.142623,0.046553,0.238694,0.767278,0.850392,0.684165,0.390837,0.264612,0.517061,0.016817,0.033012,0.731203,0.477255,0.000000,0,0,0,0,0
50,196.128,1.055745,0.434365,0.315514,0.553217,23,0.00015181,1,0.142288,0.043597,0.240980,0.811631,0.883076,0.740187,0.507900,0.329269,0.686531,0.016020,0.033184,0.666690,0.309425,0.000000,2,1,0,0,0
75,226.723,0.906413,0.503259,0.369106,0.637413,23,0.00016574,2,0.127834,0.039016,0.216653,0.844648,0.907660,0.781636,0.579509,0.383507,0.775510,0.014203,0.029607,0.612441,0.219315,0.000000,2,1,0,0,0
100,410.365,0.769832,0.571600,0.443322,0.699878,24,0.00030300,1,0.121749,0.039090,0.204408,0.863306,0.921780,0.804832,0.651795,0.460652,0.842939,0.013913,0.027683,0.535447,0.153302,0.000000,4,2,2,0,0
125,441.971,0.662712,0.625455,0.501284,0.749626,24,0.00024410,1,0.118491,0.035838,0.201143,0.876418,0.935437,0.817400,0.709829,0.519249,0.900408,0.013021,0.027524,0.476938,0.097038,0.000000,4,2,2,0,0
150,628.759,0.578154,0.670574,0.564504,0.776645,25,0.00000914,1,0.120293,0.039607,0.200980,0.879751,0.936778,0.822725,0.759798,0.586862,0.932735,0.014076,0.027607,0.409770,0.065883,0.000000,7,2,4,0,0
175,662.021,0.519853,0.701654,0.606649,0.796659,25,0.00000136,1,0.114082,0.035838,0.192327,0.888832,0.946045,0.831618,0.789134,0.628390,0.949878,0.013259,0.027013,0.367685,0.048840,0.000000,7,2,4,0,0
200,867.405,0.490125,0.715670,0.631368,0.799972,28,0.00003225,0,0.108824,0.034139,0.183510,0.893977,0.950312,0.837643,0.799849,0.652922,0.946776,0.011887,0.025632,0.342952,0.051530,0.000000,10,2,4,0,0
225,903.702,0.462925,0.730877,0.658491,0.803263,28,0.00000055,0,0.105634,0.030370,0.180898,0.898497,0.957156,0.839838,0.813531,0.678490,0.948571,0.011334,0.025242,0.317427,0.050629,0.000000,10,2,4,0,0
250,1137.631,0.439490,0.739303,0.683303,0.795302,29,0.00000000,0,0.112279,0.028966,0.195592,0.894913,0.960432,0.829393,0.826977,0.703096,0.950857,0.010166,0.026655,0.292652,0.048386,0.000000,11,2,4,0,0
