step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.203,1.742947,0.158133,0.190908,0.125358,20,0.00019250,0,0.163478,0.113545,0.213410,0.533994,0.651840,0.416147,0.182348,0.212585,0.152110,0.028211,0.048291,0.784822,0.845628,0.000000,0,0,0,0,0
25,44.450,1.366726,0.303891,0.331692,0.276090,20,0.00000001,1,0.104589,0.077031,0.132147,0.762738,0.822622,0.702854,0.334909,0.357243,0.312575,0.019048,0.029532,0.639278,0.684988,0.000000,0,0,0,0,0
50,316.785,1.011722,0.478929,0.505816,0.452043,23,0.00000000,0,0.095230,0.075130,0.115330,0.846226,0.878616,0.813835,0.523997,0.543818,0.504177,0.018371,0.025780,0.453318,0.494214,0.000000,3,0,0,0,0
75,365.568,0.688475,0.642128,0.642831,0.641426,23,0.00035785,0,0.092291,0.085634,0.098948,0.883806,0.890705,0.876906,0.701386,0.697879,0.704893,0.020792,0.022007,0.300021,0.293477,0.000000,3,0,0,0,0
100,677.828,0.505231,0.734598,0.698292,0.770905,26,0.00137125,2,0.083079,0.089236,0.076923,0.905099,0.894997,0.915202,0.795405,0.760604,0.830205,0.021811,0.016901,0.237280,0.168173,0.000000,6,0,0,0,0
125,733.246,0.422222,0.776725,0.732963,0.820487,26,0.00176163,3,0.075097,0.080432,0.069762,0.917085,0.907798,0.926371,0.834821,0.791917,0.877726,0.019865,0.015458,0.206416,0.120055,0.000000,6,0,0,0,0
150,1068.495,0.376640,0.800954,0.776880,0.825028,27,0.00218215,3,0.077557,0.077431,0.077683,0.917488,0.915327,0.919650,0.863076,0.837035,0.889118,0.019064,0.017218,0.162137,0.109528,0.000000,9,0,2,0,0
175,1126.030,0.325506,0.826445,0.819118,0.833771,27,0.00256778,4,0.071098,0.068527,0.073668,0.925677,0.927390,0.923964,0.885222,0.875250,0.895194,0.016874,0.016258,0.123396,0.103754,0.000000,9,0,2,0,0
200,1493.975,0.268260,0.855152,0.857707,0.852598,30,0.00244125,4,0.062537,0.064426,0.060649,0.935616,0.934084,0.937149,0.908636,0.912965,0.904307,0.015692,0.013255,0.086340,0.094041,0.000000,12,0,2,0,0
225,1557.735,0.223883,0.878965,0.874437,0.883492,30,0.00230956,3,0.056828,0.066026,0.047629,0.942457,0.933854,0.951059,0.928873,0.932173,0.925572,0.016118,0.010489,0.067103,0.073433,0.000000,12,0,2,0,0
250,1952.696,0.188139,0.897882,0.891744,0.904020,32,0.00223454,4,0.053604,0.062725,0.044483,0.946465,0.937921,0.955009,0.945956,0.947679,0.944233,0.015166,0.009944,0.051737,0.055130,0.000000,15,0,3,0,0
275,2022.034,0.167766,0.907864,0.901974,0.913753,32,0.00177499,2,0.047943,0.059324,0.036563,0.952187,0.941542,0.962832,0.951323,0.955482,0.947163,0.014464,0.008068,0.042976,0.051920,0.000000,15,0,3,0,0
300,2416.845,0.145491,0.919991,0.911809,0.928173,30,0.00180108,1,0.045393,0.060624,0.030162,0.955215,0.941010,0.969420,0.961627,0.967087,0.956168,0.014714,0.006664,0.031926,0.042816,0.000000,16,0,6,0,1
325,2480.203,0.129527,0.927452,0.915545,0.939359,30,0.00043999,0,0.040297,0.055422,0.025171,0.960142,0.945755,0.974528,0.964645,0.966287,0.963003,0.013316,0.005515,0.032302,0.035954,0.000000,16,0,6,0,1
350,2874.018,0.118968,0.932606,0.921462,0.943750,28,0.00030946,2,0.038808,0.053421,0.024194,0.961708,0.947836,0.975580,0.968636,0.970688,0.966583,0.012559,0.005286,0.028033,0.032534,0.000000,16,0,8,0,1
375,2934.978,0.115076,0.935665,0.924523,0.946807,28,0.00038750,2,0.040857,0.053721,0.027992,0.959891,0.947737,0.972045,0.973750,0.974190,0.973310,0.013015,0.006319,0.024622,0.025605,0.000000,16,0,8,1,1
400,3446.641,0.137378,0.924551,0.898176,0.950925,25,0.00054571,1,0.036570,0.047319,0.025822,0.963159,0.952106,0.974212,0.958078,0.940676,0.975480,0.011583,0.005770,0.058724,0.024083,0.000000,16,0,11,1,1
425,3500.498,0.133052,0.925982,0.912193,0.939770,25,0.00050313,0,0.041501,0.043617,0.039384,0.958716,0.956190,0.961243,0.964381,0.951981,0.976782,0.010622,0.008774,0.047032,0.022825,0.000000,16,0,11,1,1
