step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.389,1.555599,0.188370,0.187974,0.188767,20,0.00005626,0,0.483933,0.109544,0.858321,0.472881,0.655640,0.290122,0.279677,0.208566,0.350789,0.025628,0.050610,0.785403,0.638043,0.000000,0,0,0,0,0
25,25.752,1.066714,0.366346,0.321230,0.411462,20,0.00002258,1,0.331471,0.060718,0.602224,0.685680,0.848755,0.522604,0.499994,0.340735,0.659254,0.014059,0.035228,0.653126,0.334949,0.000000,0,0,0,0,0
50,187.108,0.857229,0.460444,0.463105,0.457784,23,0.00045962,3,0.342577,0.053878,0.631277,0.721244,0.900583,0.541905,0.617414,0.488056,0.746772,0.012482,0.036556,0.505826,0.250144,0.000000,2,1,0,0,0
75,215.799,0.739834,0.524059,0.560749,0.487370,23,0.00007255,2,0.299581,0.051457,0.547704,0.749535,0.919731,0.579339,0.671954,0.589603,0.754304,0.011448,0.031629,0.405344,0.244330,0.000000,2,1,0,0,0
100,383.819,0.642283,0.575572,0.645933,0.505211,24,0.00038336,2,0.282481,0.050616,0.514347,0.764287,0.930592,0.597981,0.721846,0.678628,0.765065,0.011301,0.029434,0.316947,0.233463,0.000000,5,1,2,0,0
125,413.443,0.556969,0.617764,0.699849,0.535680,24,0.00003533,1,0.262663,0.047564,0.477762,0.781349,0.939075,0.623622,0.762372,0.733137,0.791607,0.010398,0.027313,0.262417,0.205566,0.000000,5,1,2,0,0
150,607.252,0.472430,0.657542,0.754679,0.560405,27,0.00007178,1,0.266611,0.045775,0.487446,0.788093,0.945180,0.631007,0.811398,0.789224,0.833572,0.010265,0.027898,0.206307,0.165908,0.000000,8,1,2,0,0
175,640.977,0.403258,0.691909,0.791671,0.592147,27,0.00011192,1,0.255119,0.048616,0.461621,0.798420,0.944677,0.652162,0.847827,0.830159,0.865495,0.010699,0.026526,0.165992,0.133086,0.000000,8,1,2,0,0
200,856.463,0.338492,0.721254,0.810904,0.631605,30,0.00019331,2,0.240663,0.042302,0.439024,0.813315,0.952336,0.674295,0.877051,0.845207,0.908895,0.009097,0.025009,0.150826,0.088704,0.000000,11,1,2,0,0
225,894.976,0.283782,0.748951,0.841118,0.656784,30,0.00007006,3,0.235345,0.043144,0.427547,0.819971,0.953132,0.686810,0.907498,0.877407,0.937590,0.009381,0.024241,0.118775,0.061995,0.000000,11,1,2,0,0
250,1135.421,0.259382,0.764264,0.852908,0.675620,29,0.00005542,3,0.219350,0.036620,0.402080,0.831124,0.960229,0.702020,0.915708,0.884142,0.947274,0.008089,0.023043,0.112239,0.051393,0.000000,11,1,3,0,0
