step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.193,1.378002,0.285997,0.264764,0.307229,20,0.00019481,0,0.195178,0.181681,0.208675,0.636428,0.632632,0.640224,0.342104,0.312867,0.371340,0.024462,0.030884,0.684096,0.625483,0.000000,0,0,0,0,0
25,43.819,0.865291,0.521554,0.503351,0.539758,20,0.00024837,3,0.120615,0.101493,0.139737,0.830083,0.845269,0.814898,0.584810,0.554437,0.615182,0.013395,0.020612,0.442834,0.382378,0.000000,0,0,0,0,0
50,314.215,0.477990,0.713083,0.728580,0.697585,23,0.00072229,0,0.131964,0.096460,0.167467,0.860852,0.892262,0.829441,0.806633,0.798859,0.814407,0.012649,0.024415,0.198865,0.183416,0.000000,3,0,0,0,0
75,362.930,0.311214,0.796074,0.823799,0.768350,23,0.00045835,3,0.124959,0.099648,0.150271,0.877791,0.900901,0.854682,0.894850,0.905888,0.883811,0.012828,0.021886,0.092494,0.114089,0.000000,3,0,0,0,0
100,667.328,0.245723,0.832500,0.853895,0.811105,26,0.00034629,3,0.108165,0.091931,0.124400,0.895111,0.910252,0.879970,0.922200,0.932394,0.912006,0.011740,0.018115,0.066782,0.086551,0.000000,6,0,0,0,0
125,721.127,0.212032,0.853316,0.874303,0.832329,26,0.00044782,2,0.094167,0.082369,0.105964,0.908349,0.919928,0.896770,0.933422,0.946318,0.920527,0.010616,0.015307,0.053380,0.078171,0.000000,6,0,0,0,0
150,1043.115,0.181886,0.873242,0.887894,0.858589,27,0.00042082,3,0.077600,0.068445,0.086754,0.923819,0.932707,0.914932,0.940871,0.948666,0.933075,0.008801,0.012477,0.051053,0.065605,0.000000,8,1,2,0,0
175,1098.729,0.150107,0.891213,0.909105,0.873320,27,0.00042313,3,0.072366,0.061231,0.083501,0.929616,0.940320,0.918911,0.955507,0.964771,0.946243,0.007816,0.011997,0.035042,0.052161,0.000000,8,1,2,0,0
200,1430.931,0.118240,0.909765,0.926818,0.892713,24,0.00043300,3,0.067403,0.059050,0.075755,0.935069,0.943253,0.926884,0.970944,0.981547,0.960341,0.007428,0.011011,0.018881,0.038401,0.000000,8,1,5,0,0
225,1480.946,0.109387,0.915533,0.934455,0.896611,24,0.00038380,2,0.065699,0.057037,0.074361,0.936872,0.945408,0.928337,0.975519,0.987754,0.963284,0.007415,0.010915,0.012152,0.035770,0.000000,8,1,5,0,1
250,1793.541,0.105429,0.919063,0.936468,0.901658,24,0.00035338,1,0.060555,0.056199,0.064911,0.941457,0.946237,0.936678,0.974641,0.989096,0.960186,0.007192,0.009500,0.010931,0.039171,0.000000,8,1,5,0,1
275,1841.793,0.107126,0.916791,0.938395,0.895186,24,0.00024592,1,0.062711,0.053850,0.071572,0.939464,0.948359,0.930568,0.974092,0.988928,0.959256,0.006859,0.010247,0.010853,0.039561,0.000000,8,1,5,0,1
300,2153.600,0.105070,0.919574,0.935997,0.903151,24,0.00027130,1,0.057902,0.053682,0.062122,0.943778,0.948379,0.939178,0.972750,0.986244,0.959256,0.006791,0.008977,0.013446,0.040015,0.000000,8,1,5,0,1
325,2201.230,0.102534,0.920229,0.935530,0.904929,24,0.00018526,3,0.058141,0.053850,0.062432,0.943616,0.948209,0.939023,0.973667,0.985908,0.961425,0.006859,0.008733,0.013851,0.037566,0.000000,8,1,5,0,1
