step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.372,1.232789,0.385599,0.357959,0.413240,20,0.00094238,0,0.179258,0.160376,0.198141,0.717818,0.721445,0.714190,0.455243,0.415367,0.495120,0.000000,0.000000,0.644126,0.588004,0.050000,0,0,0,0,0
25,41.895,0.333765,0.834198,0.858724,0.809672,20,0.00298992,4,0.125152,0.106694,0.143610,0.882397,0.899064,0.865730,0.938146,0.950344,0.925949,0.000000,0.000000,0.140791,0.190881,0.050000,0,0,0,0,0
50,297.005,0.277438,0.862297,0.868510,0.856084,19,0.00219624,8,0.099884,0.092099,0.107668,0.904764,0.911494,0.898034,0.948378,0.948499,0.948257,0.000000,0.000000,0.131752,0.144148,0.050000,0,0,1,0,0
75,335.372,0.293281,0.854688,0.874483,0.834894,19,0.00110827,6,0.118931,0.095957,0.141905,0.889714,0.908990,0.870438,0.955883,0.958396,0.953369,0.000000,0.000000,0.126523,0.165982,0.050000,0,0,1,0,0
100,573.789,0.257330,0.871671,0.886101,0.857240,18,0.00018454,3,0.118588,0.103171,0.134005,0.891692,0.904533,0.878852,0.974818,0.977521,0.972115,0.000000,0.000000,0.114293,0.142908,0.050000,0,0,2,0,0
125,609.679,0.294107,0.854041,0.887793,0.820290,18,0.00031232,4,0.132120,0.088408,0.175833,0.880993,0.916176,0.845809,0.965402,0.966281,0.964524,0.000000,0.000000,0.113882,0.180006,0.050000,0,0,2,0,0
150,835.668,0.322820,0.838699,0.877498,0.799899,17,0.00107815,1,0.166715,0.107868,0.225562,0.856537,0.900124,0.812950,0.976239,0.972152,0.980325,0.000000,0.000000,0.122276,0.199790,0.050000,0,0,3,0,0
175,869.187,0.291540,0.854772,0.883359,0.826185,17,0.00136184,3,0.136314,0.098809,0.173819,0.877808,0.907608,0.848009,0.970217,0.970643,0.969791,0.000000,0.000000,0.117074,0.173512,0.050000,0,0,3,0,0
200,1053.290,0.288955,0.855075,0.879213,0.830938,16,0.00017979,2,0.149864,0.124979,0.174748,0.867990,0.887818,0.848163,0.982619,0.989096,0.976143,0.000000,0.000000,0.120973,0.167856,0.050000,0,0,4,0,0
225,1084.278,0.281876,0.861184,0.875483,0.846885,16,0.00140336,3,0.112918,0.084550,0.141286,0.895350,0.918235,0.872465,0.958021,0.949505,0.966538,0.000000,0.000000,0.127582,0.153311,0.050000,0,0,4,0,0
250,1276.694,0.269583,0.866103,0.897956,0.834250,15,0.00026983,2,0.115192,0.075155,0.155229,0.894527,0.927777,0.861276,0.964596,0.965442,0.963749,0.000000,0.000000,0.102821,0.166574,0.050000,0,0,5,0,0
275,1305.240,0.260348,0.870275,0.883175,0.857376,15,0.00061042,3,0.116640,0.092770,0.140511,0.893333,0.912306,0.874359,0.971477,0.965107,0.977847,0.000000,0.000000,0.116048,0.143872,0.050000,0,0,5,0,0
300,1496.785,0.243622,0.879079,0.909332,0.848826,15,0.00065125,4,0.108292,0.074987,0.141596,0.900630,0.928754,0.872507,0.973268,0.977521,0.969016,0.000000,0.000000,0.092880,0.150286,0.050000,0,0,5,0,0
325,1525.418,0.251056,0.874064,0.901068,0.847060,15,0.00034064,5,0.113576,0.083543,0.143610,0.896034,0.921178,0.870891,0.972526,0.976346,0.968706,0.000000,0.000000,0.098405,0.152412,0.050000,0,0,5,0,0
350,1686.066,0.242468,0.878532,0.895438,0.861627,15,0.00014631,2,0.115517,0.095789,0.135244,0.894795,0.911059,0.878531,0.979684,0.981211,0.978156,0.000000,0.000000,0.104821,0.137545,0.050000,0,0,5,0,0
375,1714.090,0.229075,0.886281,0.911267,0.861295,15,0.00031887,2,0.102113,0.079517,0.124710,0.905579,0.925213,0.885945,0.976217,0.983728,0.968706,0.000000,0.000000,0.088562,0.140290,0.050000,0,0,5,0,0
400,1878.968,0.254264,0.875164,0.893519,0.856810,14,0.00175979,4,0.112231,0.094951,0.129512,0.896753,0.911535,0.881971,0.973068,0.978359,0.967777,0.000000,0.000000,0.106395,0.146638,0.050000,0,0,6,0,0
425,1904.821,0.272734,0.863349,0.890331,0.836366,14,0.00037766,1,0.128084,0.098306,0.157862,0.884243,0.908652,0.859835,0.973126,0.977856,0.968397,0.000000,0.000000,0.108446,0.164023,0.050000,0,0,6,0,0
450,2069.377,0.294979,0.852062,0.888855,0.815269,14,0.00139616,5,0.149772,0.100319,0.199225,0.868846,0.906970,0.830723,0.977858,0.978024,0.977692,0.000000,0.000000,0.111105,0.182897,0.050000,0,0,6,0,0
475,2094.572,0.258711,0.871399,0.915204,0.827595,14,0.00065539,5,0.126857,0.070290,0.183424,0.887653,0.933046,0.842260,0.979465,0.979534,0.979396,0.000000,0.000000,0.086551,0.171702,0.050000,0,0,6,0,0
500,2261.929,0.286428,0.856966,0.906289,0.807643,14,0.00160913,3,0.144878,0.077672,0.212084,0.874131,0.926333,0.821930,0.977806,0.976682,0.978931,0.000000,0.000000,0.093981,0.191320,0.050000,0,0,6,0,0
