step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.505,1.382257,0.191796,0.151550,0.232042,20,0.00000000,0,0.213029,0.094140,0.331918,0.560016,0.637862,0.482170,0.237439,0.165817,0.309061,0.034581,0.046251,0.829957,0.684338,0.050000,0,0,0,0,0
25,27.338,1.067465,0.311867,0.229158,0.394575,20,0.00009366,0,0.119223,0.040568,0.197878,0.779751,0.854608,0.704894,0.355554,0.238454,0.472653,0.014628,0.027234,0.757677,0.521328,0.050000,0,0,0,0,0
50,199.606,0.914315,0.402087,0.283361,0.520814,20,0.00012174,1,0.120071,0.036060,0.204082,0.822538,0.890607,0.754469,0.460340,0.293579,0.627102,0.013139,0.027911,0.701931,0.365827,0.050000,0,0,0,0,0
75,226.173,0.819707,0.457884,0.320137,0.595631,20,0.00010938,1,0.110231,0.032218,0.188245,0.850535,0.911165,0.789905,0.519103,0.330451,0.707755,0.011863,0.025974,0.665528,0.286225,0.050000,0,0,0,0,0
100,395.327,0.728349,0.512404,0.362820,0.661987,20,0.00031814,1,0.107700,0.029114,0.186286,0.867967,0.927667,0.808268,0.579345,0.373384,0.785306,0.010311,0.025820,0.623116,0.208961,0.050000,0,0,0,0,0
125,421.980,0.641605,0.567534,0.409271,0.725798,20,0.00010683,1,0.107746,0.028227,0.187265,0.879309,0.937140,0.821479,0.641269,0.420823,0.861714,0.010381,0.025946,0.575088,0.134059,0.050000,0,0,0,0,0
150,587.790,0.586801,0.603483,0.461649,0.745317,20,0.00005204,1,0.106619,0.027932,0.185306,0.885512,0.944412,0.826612,0.678986,0.474544,0.883429,0.010290,0.025642,0.522147,0.112032,0.050000,0,0,0,0,0
175,613.637,0.551367,0.629977,0.505729,0.754226,20,0.00000000,0,0.114781,0.031848,0.197714,0.881456,0.942480,0.820433,0.712591,0.521836,0.903347,0.011494,0.027543,0.474435,0.093366,0.050000,0,0,0,0,0
200,777.558,0.526421,0.649711,0.548846,0.750576,20,0.00000003,0,0.119200,0.033991,0.204408,0.879536,0.943489,0.815584,0.735751,0.567502,0.904000,0.012564,0.028583,0.428936,0.092503,0.050000,0,0,0,0,0
225,803.299,0.502806,0.664494,0.570339,0.758649,20,0.00000000,0,0.122259,0.036356,0.208163,0.878489,0.942056,0.814922,0.753823,0.591074,0.916571,0.012842,0.028925,0.404926,0.079968,0.050000,0,0,0,0,0
250,968.146,0.484195,0.680932,0.597602,0.764262,20,0.00000000,0,0.126181,0.041750,0.210612,0.875864,0.937152,0.814575,0.773888,0.622552,0.925224,0.014536,0.029561,0.373869,0.072404,0.050000,0,0,0,0,0
275,993.900,0.467214,0.690540,0.614738,0.766341,20,0.00000286,1,0.129611,0.037833,0.221388,0.876368,0.944019,0.808718,0.786998,0.637996,0.936000,0.013373,0.031083,0.358575,0.061885,0.050000,0,0,0,0,0
300,1161.068,0.465511,0.691469,0.616026,0.766912,20,0.00000000,0,0.127639,0.036503,0.218776,0.878127,0.945922,0.810333,0.786604,0.638513,0.934694,0.013154,0.030690,0.358282,0.063049,0.050000,0,0,0,0,0
325,1186.752,0.461647,0.693003,0.618072,0.767934,20,0.00000000,0,0.129245,0.038572,0.219918,0.876598,0.943316,0.809880,0.789364,0.641912,0.936816,0.013329,0.030665,0.354243,0.060851,0.050000,0,0,0,0,0
350,1351.311,0.458360,0.694537,0.623072,0.766003,20,0.00000000,0,0.130661,0.039607,0.221714,0.875420,0.942378,0.808463,0.791793,0.647750,0.935837,0.013634,0.030383,0.348453,0.061890,0.050000,0,0,0,0,0
375,1376.965,0.449893,0.702066,0.629477,0.774655,20,0.00000000,0,0.129955,0.039829,0.220082,0.876883,0.942641,0.811125,0.799845,0.654548,0.945143,0.013929,0.030798,0.341827,0.052815,0.050000,0,0,0,0,0
400,1541.071,0.446404,0.704317,0.630336,0.778298,20,0.00000000,0,0.129446,0.038646,0.220245,0.878005,0.944261,0.811750,0.802205,0.654696,0.949714,0.013709,0.030938,0.341767,0.048388,0.050000,0,0,0,0,0
425,1566.746,0.445999,0.704602,0.629598,0.779607,20,0.00000000,0,0.130325,0.040568,0.220082,0.876894,0.941689,0.812099,0.803161,0.655139,0.951184,0.014021,0.030865,0.341556,0.046752,0.050000,0,0,0,0,0
450,1732.412,0.446393,0.704751,0.629958,0.779543,20,0.00000000,0,0.132037,0.041380,0.222694,0.875637,0.940665,0.810608,0.804584,0.656026,0.953143,0.014307,0.031254,0.340596,0.044670,0.050000,0,0,0,0,0
475,1758.595,0.449763,0.703735,0.629249,0.778220,20,0.00000000,0,0.135384,0.041380,0.229388,0.873605,0.940602,0.806607,0.806011,0.655287,0.956735,0.014766,0.032166,0.341298,0.041396,0.050000,0,0,0,0,0
500,1924.625,0.449070,0.703121,0.628198,0.778043,20,0.00000000,0,0.134853,0.039829,0.229878,0.874416,0.942531,0.806301,0.805058,0.653218,0.956898,0.014481,0.032005,0.343411,0.040687,0.050000,0,0,0,0,0
525,1950.826,0.442300,0.705824,0.625980,0.785667,20,0.00000000,0,0.133317,0.036429,0.230204,0.877237,0.946835,0.807640,0.807658,0.648784,0.966531,0.013233,0.032297,0.347979,0.031695,0.050000,0,0,0,0,0
550,2116.272,0.445248,0.704052,0.623118,0.784986,20,0.00000000,0,0.134380,0.035617,0.233143,0.876797,0.947694,0.805899,0.806656,0.645311,0.968000,0.013207,0.032589,0.351763,0.030637,0.050000,0,0,0,0,0
575,2142.355,0.441053,0.705998,0.621718,0.790278,20,0.00000000,0,0.132458,0.035691,0.229224,0.878283,0.947483,0.809083,0.807668,0.643907,0.971429,0.012923,0.032128,0.352947,0.027525,0.050000,0,0,0,0,0
600,2307.338,0.441459,0.704147,0.616810,0.791484,20,0.00000000,0,0.129985,0.033030,0.226939,0.880646,0.950717,0.810575,0.804143,0.637183,0.971102,0.012074,0.031911,0.359450,0.027278,0.050000,0,0,0,0,0
625,2333.071,0.443401,0.702854,0.614862,0.790846,20,0.00000000,0,0.130620,0.034139,0.227102,0.879704,0.949046,0.810361,0.803151,0.635853,0.970449,0.012207,0.031844,0.360897,0.028209,0.050000,0,0,0,0,0
650,2497.837,0.443838,0.702563,0.613443,0.791683,20,0.00000000,0,0.129190,0.033400,0.224980,0.880824,0.949950,0.811697,0.801864,0.633932,0.969796,0.012324,0.031356,0.362535,0.029166,0.050000,0,0,0,0,0
675,2523.783,0.438494,0.706061,0.614449,0.797673,20,0.00000000,0,0.126964,0.033030,0.220898,0.882825,0.950537,0.815113,0.804311,0.634745,0.973878,0.012015,0.031072,0.362063,0.025278,0.050000,0,0,0,0,0
700,2689.944,0.431236,0.708323,0.616246,0.800401,20,0.00000000,0,0.125502,0.029779,0.221224,0.885311,0.955177,0.815445,0.806033,0.634597,0.977469,0.010757,0.031222,0.361830,0.021208,0.050000,0,0,0,0,0
725,2715.855,0.432222,0.707611,0.616290,0.798932,20,0.00000000,0,0.126281,0.029705,0.222857,0.884772,0.955284,0.814260,0.805788,0.634597,0.976980,0.010702,0.031456,0.361827,0.021646,0.050000,0,0,0,0,0
750,2876.835,0.431684,0.707395,0.615672,0.799119,19,0.00000000,0,0.126001,0.028818,0.223184,0.885299,0.956483,0.814115,0.805442,0.633415,0.977469,0.010539,0.031296,0.363270,0.021167,0.050000,0,0,1,0,0
775,2901.363,0.432995,0.706902,0.615329,0.798476,19,0.00000000,0,0.125745,0.030592,0.220898,0.884622,0.953980,0.815265,0.804505,0.634154,0.974857,0.010896,0.030869,0.362538,0.024114,0.050000,0,0,1,0,0
