step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.545,1.091635,0.188546,0.206013,0.171079,20,0.00000464,0,0.208155,0.263627,0.152682,0.530233,0.496847,0.563618,0.228762,0.260324,0.197200,0.036067,0.045312,0.732984,0.799247,0.050000,0,0,0,0,0
25,26.453,0.806626,0.306329,0.373141,0.239517,20,0.00001867,0,0.096866,0.121738,0.071994,0.777848,0.774687,0.781010,0.337663,0.418566,0.256760,0.016404,0.021132,0.573715,0.739221,0.050000,0,0,0,0,0
50,190.966,0.676014,0.403920,0.488736,0.319103,20,0.00000000,0,0.081120,0.107202,0.055039,0.847070,0.834650,0.859489,0.438898,0.541130,0.336666,0.014013,0.016091,0.452170,0.659025,0.050000,0,0,0,0,0
75,216.273,0.563643,0.501246,0.600446,0.402046,20,0.00003081,1,0.077829,0.110010,0.045648,0.880190,0.858328,0.902052,0.543450,0.666501,0.420398,0.014404,0.013545,0.327876,0.575773,0.050000,0,0,0,0,0
100,384.405,0.485943,0.572244,0.669336,0.475152,20,0.00000165,0,0.079246,0.113974,0.044518,0.892547,0.867410,0.917685,0.620964,0.745623,0.496305,0.014809,0.013020,0.248824,0.500427,0.050000,0,0,0,0,0
125,410.479,0.424563,0.622790,0.694762,0.550818,20,0.00010714,3,0.074573,0.113148,0.035997,0.906515,0.872368,0.940662,0.672010,0.773373,0.570646,0.014820,0.010440,0.221476,0.425418,0.050000,0,0,0,0,0
150,577.343,0.369061,0.675212,0.722459,0.627966,20,0.00022441,2,0.078267,0.123059,0.033475,0.909627,0.868305,0.950949,0.730176,0.811364,0.648987,0.016027,0.009869,0.183685,0.346958,0.050000,0,0,0,0,0
175,603.579,0.316403,0.725551,0.743331,0.707771,20,0.00034900,3,0.075925,0.114635,0.037214,0.915106,0.878459,0.951753,0.781327,0.828543,0.734110,0.014727,0.010707,0.166685,0.262166,0.050000,0,0,0,0,0
200,771.542,0.290614,0.748937,0.748821,0.749053,20,0.00053883,2,0.076550,0.120581,0.032519,0.917003,0.874355,0.959650,0.806263,0.839115,0.773411,0.015589,0.009562,0.156082,0.223183,0.050000,0,0,0,0,0
225,798.158,0.270616,0.766718,0.750149,0.783287,20,0.00125662,2,0.070899,0.110671,0.031128,0.922817,0.882744,0.962890,0.820419,0.833168,0.807669,0.014475,0.009020,0.162754,0.188760,0.050000,0,0,0,0,0
250,963.916,0.246530,0.792103,0.765909,0.818297,20,0.00058353,2,0.065540,0.097952,0.033128,0.928982,0.895672,0.962292,0.843168,0.840932,0.845405,0.013490,0.009793,0.154522,0.151450,0.050000,0,0,0,0,0
275,989.654,0.243532,0.791526,0.757715,0.825337,20,0.00044617,1,0.073134,0.113314,0.032954,0.922183,0.881581,0.962785,0.848055,0.843574,0.852535,0.014342,0.009528,0.151640,0.143844,0.050000,0,0,0,0,0
300,1154.707,0.243751,0.794472,0.760769,0.828175,20,0.00023609,1,0.071008,0.108193,0.033823,0.924131,0.886265,0.961997,0.849633,0.843079,0.856186,0.014487,0.009755,0.152881,0.140354,0.050000,0,0,0,0,0
325,1180.366,0.241048,0.795547,0.760595,0.830498,20,0.00026242,1,0.071721,0.110836,0.032606,0.923701,0.884030,0.963372,0.851237,0.844896,0.857578,0.014638,0.009438,0.150853,0.138269,0.050000,0,0,0,0,0
350,1343.448,0.240988,0.796608,0.763515,0.829701,20,0.00023820,0,0.071286,0.109184,0.033388,0.924158,0.885798,0.962518,0.852141,0.846878,0.857404,0.014789,0.009439,0.148815,0.139007,0.050000,0,0,0,0,0
375,1369.141,0.240649,0.797884,0.767449,0.828319,20,0.00017132,0,0.069956,0.105220,0.034693,0.925368,0.889640,0.961096,0.852628,0.848200,0.857056,0.014129,0.010131,0.147449,0.139530,0.050000,0,0,0,0,0
400,1531.555,0.234467,0.804047,0.778798,0.829295,20,0.00012872,0,0.067000,0.096961,0.037040,0.928391,0.898073,0.958709,0.857162,0.854311,0.860012,0.013068,0.010671,0.142037,0.136800,0.050000,0,0,0,0,0
425,1556.868,0.236302,0.803140,0.775657,0.830622,20,0.00008351,0,0.068113,0.099273,0.036953,0.927288,0.895714,0.958862,0.856988,0.852659,0.861316,0.013458,0.010772,0.143527,0.135126,0.050000,0,0,0,0,0
450,1722.594,0.235292,0.804191,0.777494,0.830888,20,0.00009804,1,0.068239,0.099438,0.037040,0.927289,0.895794,0.958785,0.858235,0.854807,0.861664,0.013237,0.010979,0.141759,0.134959,0.050000,0,0,0,0,0
