step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.520,1.360789,0.161077,0.164378,0.157777,20,0.00000000,0,0.076893,0.090309,0.063476,0.695235,0.664941,0.725529,0.173507,0.179222,0.167792,0.024694,0.027770,0.806488,0.828889,0.050000,0,0,0,0,0
25,27.482,1.071617,0.285774,0.300214,0.271334,20,0.00000000,0,0.033771,0.043713,0.023828,0.899286,0.877572,0.921001,0.295568,0.313337,0.277800,0.011811,0.010160,0.672297,0.718728,0.050000,0,0,0,0,0
50,199.461,0.854989,0.426930,0.427995,0.425866,20,0.00000000,0,0.028861,0.037202,0.020519,0.938796,0.922675,0.954916,0.439261,0.443917,0.434604,0.009861,0.008784,0.542545,0.561333,0.050000,0,0,0,0,0
75,225.727,0.670144,0.547911,0.534898,0.560923,20,0.00027706,0,0.024665,0.034040,0.015290,0.957939,0.942024,0.973854,0.561303,0.553106,0.569500,0.009194,0.006361,0.432986,0.426947,0.050000,0,0,0,0,0
100,393.516,0.534395,0.644122,0.644887,0.643356,20,0.00199673,2,0.027589,0.040551,0.014628,0.960548,0.943014,0.978082,0.661902,0.671038,0.652767,0.010883,0.006099,0.315837,0.343737,0.050000,0,0,0,0,0
125,420.144,0.462617,0.702126,0.687495,0.716757,20,0.00175223,1,0.037629,0.061291,0.013966,0.951826,0.922507,0.981146,0.728199,0.729632,0.726767,0.016620,0.005949,0.259151,0.269842,0.050000,0,0,0,0,0
150,592.785,0.411464,0.738029,0.712095,0.763963,20,0.00126081,2,0.039691,0.067336,0.012047,0.951637,0.918615,0.984658,0.766606,0.760045,0.773167,0.018245,0.005052,0.229972,0.223632,0.050000,0,0,0,0,0
175,619.915,0.393894,0.751304,0.717086,0.785523,20,0.00099405,3,0.041839,0.072359,0.011319,0.949974,0.913995,0.985953,0.781693,0.768973,0.794414,0.019650,0.004683,0.221214,0.202401,0.050000,0,0,0,0,0
200,786.225,0.366739,0.770071,0.730281,0.809861,19,0.00108130,2,0.040803,0.070685,0.010921,0.951965,0.917094,0.986836,0.800303,0.781901,0.818705,0.019413,0.004558,0.209190,0.178052,0.050000,0,0,1,0,0
225,811.680,0.350703,0.782199,0.735562,0.828837,19,0.00085195,3,0.042490,0.074126,0.010855,0.950718,0.914227,0.987209,0.813960,0.790086,0.837834,0.020223,0.004645,0.201030,0.159084,0.050000,0,0,1,0,0
250,973.691,0.334657,0.797333,0.737149,0.857517,19,0.00061385,3,0.047327,0.083798,0.010855,0.946350,0.905068,0.987632,0.832873,0.798921,0.866826,0.023124,0.004586,0.192361,0.130244,0.050000,0,0,1,0,0
275,998.934,0.328078,0.812569,0.720388,0.904749,19,0.00066146,2,0.061511,0.112630,0.010392,0.932777,0.876793,0.988760,0.857838,0.801525,0.914151,0.030908,0.004555,0.189550,0.082404,0.050000,0,0,1,0,0
300,1162.644,0.320942,0.823559,0.709622,0.937496,19,0.00046993,3,0.069164,0.128069,0.010259,0.925682,0.862079,0.989284,0.873808,0.800502,0.947114,0.035269,0.004324,0.190746,0.049326,0.050000,0,0,1,0,0
325,1188.134,0.314245,0.829625,0.707484,0.951766,19,0.00028583,4,0.070474,0.130952,0.009995,0.924532,0.859355,0.989710,0.880705,0.800130,0.961279,0.036156,0.004312,0.190128,0.036032,0.050000,0,0,1,0,0
350,1348.036,0.306415,0.838238,0.701029,0.975446,19,0.00041727,3,0.073393,0.138579,0.008208,0.921894,0.852065,0.991723,0.890815,0.798177,0.983452,0.038375,0.003764,0.192326,0.013776,0.050000,0,0,1,0,0
375,1372.778,0.307435,0.838770,0.697949,0.979590,19,0.00035968,3,0.075638,0.142671,0.008605,0.919810,0.848254,0.991366,0.892773,0.797526,0.988020,0.039537,0.003791,0.192119,0.009129,0.050000,0,0,1,0,0
400,1531.520,0.307693,0.839611,0.698643,0.980579,19,0.00042797,2,0.076900,0.144996,0.008803,0.918867,0.846555,0.991179,0.894578,0.799944,0.989211,0.040136,0.003928,0.189950,0.007670,0.050000,0,0,1,0,0
425,1556.597,0.305379,0.841279,0.701773,0.980784,19,0.00051841,2,0.076434,0.143601,0.009267,0.919476,0.848226,0.990725,0.896211,0.802548,0.989873,0.039830,0.004168,0.186997,0.007631,0.050000,0,0,1,0,0
450,1716.345,0.305026,0.841754,0.704889,0.978619,19,0.00062948,2,0.077238,0.145275,0.009200,0.919130,0.847491,0.990770,0.897457,0.807292,0.987622,0.040497,0.003900,0.182352,0.009538,0.050000,0,0,1,0,0
475,1741.362,0.301908,0.844185,0.710219,0.978151,19,0.00083703,2,0.077783,0.146763,0.008803,0.919236,0.847315,0.991158,0.900608,0.814453,0.986762,0.040820,0.003737,0.176068,0.010379,0.050000,0,0,1,0,0
500,1900.445,0.302851,0.843758,0.710202,0.977314,19,0.00077490,2,0.079077,0.148624,0.009531,0.918159,0.845887,0.990432,0.901192,0.815755,0.986630,0.041421,0.003713,0.174255,0.010505,0.050000,0,0,1,0,0
