step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.501,1.038163,0.222100,0.192103,0.252096,20,0.00000000,0,0.178666,0.179343,0.177989,0.591704,0.558158,0.625251,0.261761,0.226556,0.296966,0.040547,0.035845,0.767418,0.697771,0.050000,0,0,0,0,0
25,26.996,0.753620,0.354638,0.344553,0.364723,20,0.00000000,0,0.085112,0.084918,0.085306,0.818792,0.814885,0.822700,0.384824,0.373812,0.395836,0.018869,0.017129,0.619661,0.599591,0.050000,0,0,0,0,0
50,192.779,0.598346,0.479683,0.490951,0.468414,20,0.00003800,1,0.068386,0.074546,0.062225,0.882515,0.876189,0.888842,0.512555,0.527550,0.497561,0.016365,0.012488,0.466785,0.499032,0.050000,0,0,0,0,0
75,218.982,0.498248,0.571606,0.581891,0.561320,20,0.00025298,2,0.066214,0.079840,0.052588,0.902765,0.887262,0.918269,0.609594,0.628349,0.590839,0.017435,0.010435,0.367812,0.405369,0.050000,0,0,0,0,0
100,385.970,0.446615,0.622216,0.612202,0.632230,20,0.00041729,3,0.066433,0.083729,0.049137,0.909485,0.887941,0.931029,0.663379,0.663462,0.663296,0.018535,0.009804,0.332694,0.333238,0.050000,0,0,0,0,0
125,412.156,0.397321,0.676175,0.620945,0.731406,20,0.00267411,2,0.072495,0.095614,0.049375,0.908166,0.876775,0.939557,0.723917,0.680315,0.767519,0.021154,0.009741,0.315088,0.228654,0.050000,0,0,0,0,0
150,580.267,0.364492,0.708990,0.633130,0.784850,20,0.00307209,3,0.074360,0.096370,0.052350,0.909244,0.878092,0.940396,0.760041,0.694144,0.825937,0.021179,0.010303,0.302009,0.170815,0.050000,0,0,0,0,0
175,607.081,0.354133,0.716010,0.636499,0.795521,20,0.00142097,1,0.072129,0.092264,0.051993,0.912172,0.882837,0.941507,0.766054,0.695225,0.836883,0.020347,0.010236,0.301599,0.160014,0.050000,0,0,0,0,0
200,775.191,0.327351,0.735127,0.645719,0.824535,20,0.00103747,3,0.065042,0.086538,0.043546,0.921014,0.890199,0.951829,0.781020,0.701599,0.860440,0.019147,0.008456,0.295367,0.137062,0.050000,0,0,0,0,0
225,801.543,0.313991,0.746400,0.658018,0.834783,20,0.00042827,3,0.063306,0.086755,0.039857,0.923954,0.891808,0.956100,0.791579,0.715104,0.868055,0.019260,0.007817,0.280971,0.129795,0.050000,0,0,0,0,0
250,967.743,0.305149,0.753844,0.670953,0.836735,20,0.00016829,2,0.063692,0.083838,0.043546,0.924564,0.896630,0.952498,0.800187,0.727204,0.873171,0.018520,0.008496,0.269445,0.124490,0.050000,0,0,0,0,0
275,993.487,0.292564,0.763911,0.686312,0.841509,20,0.00026688,3,0.060092,0.079732,0.040452,0.929347,0.902856,0.955838,0.808292,0.741033,0.875550,0.017808,0.007980,0.255810,0.122639,0.050000,0,0,0,0,0
300,1157.997,0.263187,0.782035,0.697000,0.867069,20,0.00063877,3,0.048582,0.073250,0.023914,0.942292,0.910813,0.973770,0.817930,0.748055,0.887805,0.016207,0.004526,0.249424,0.110187,0.050000,0,0,0,0,0
325,1184.015,0.254615,0.785371,0.696543,0.874199,20,0.00066137,3,0.043497,0.065579,0.021416,0.947698,0.918818,0.976578,0.817571,0.742221,0.892921,0.014369,0.004229,0.254611,0.104908,0.050000,0,0,0,0,0
350,1347.435,0.250915,0.792557,0.703479,0.881635,19,0.00103619,5,0.046276,0.068280,0.024271,0.945268,0.916711,0.973826,0.827273,0.751513,0.903034,0.015297,0.004702,0.245434,0.094956,0.050000,0,0,1,0,0
375,1372.287,0.237071,0.803052,0.713574,0.892529,19,0.00072235,3,0.043672,0.063310,0.024033,0.948682,0.922986,0.974378,0.836365,0.758751,0.913980,0.014153,0.004779,0.237482,0.084196,0.050000,0,0,1,0,0
400,1531.231,0.233600,0.808400,0.716043,0.900757,19,0.00038495,3,0.046414,0.071413,0.021416,0.946047,0.914842,0.977253,0.843613,0.767178,0.920048,0.015694,0.004246,0.229752,0.077383,0.050000,0,0,1,0,0
425,1555.903,0.226884,0.816826,0.721880,0.911772,19,0.00035004,3,0.045901,0.070981,0.020821,0.947014,0.915909,0.978120,0.851938,0.773120,0.930756,0.016182,0.004082,0.223726,0.067447,0.050000,0,0,1,0,0
450,1714.136,0.224869,0.817739,0.720474,0.915004,19,0.00048196,2,0.044157,0.074870,0.013444,0.948776,0.911843,0.985709,0.850861,0.774417,0.927305,0.016681,0.002712,0.223504,0.070413,0.050000,0,0,1,0,0
475,1739.307,0.217886,0.821535,0.725597,0.917472,19,0.00086737,1,0.040827,0.072494,0.009161,0.952493,0.914783,0.990202,0.852038,0.778198,0.925877,0.016193,0.001813,0.219136,0.071377,0.050000,0,0,1,0,0
500,1900.923,0.214302,0.825412,0.730754,0.920071,19,0.00073633,1,0.041439,0.072169,0.010708,0.952136,0.915657,0.988616,0.856707,0.783492,0.929923,0.016214,0.002034,0.213282,0.068303,0.050000,0,0,1,0,0
525,1926.199,0.209288,0.830308,0.737087,0.923529,19,0.00083306,1,0.040062,0.068820,0.011303,0.953852,0.919662,0.988043,0.860891,0.787813,0.933968,0.015767,0.002323,0.209021,0.063668,0.050000,0,0,1,0,0
550,2083.275,0.208689,0.831250,0.738618,0.923882,18,0.00067355,3,0.041952,0.072602,0.011303,0.952050,0.916052,0.988047,0.863284,0.792243,0.934325,0.016176,0.002290,0.204674,0.064038,0.050000,0,0,2,0,0
575,2107.170,0.206681,0.831625,0.740138,0.923113,18,0.00068911,1,0.040040,0.068064,0.012017,0.954013,0.920725,0.987300,0.862360,0.790514,0.934206,0.015472,0.002326,0.206776,0.063235,0.050000,0,0,2,0,0
600,2259.863,0.206364,0.833149,0.739754,0.926545,18,0.00055698,0,0.040466,0.070225,0.010708,0.953610,0.918526,0.988695,0.864085,0.791703,0.936466,0.015943,0.002153,0.205858,0.061324,0.050000,0,0,2,0,0
625,2283.715,0.201314,0.838508,0.747328,0.929688,18,0.00050651,1,0.041709,0.071521,0.011898,0.952760,0.918008,0.987511,0.870764,0.800778,0.940750,0.016186,0.002341,0.196667,0.057036,0.050000,0,0,2,0,0
650,2437.330,0.201615,0.839038,0.750277,0.927800,18,0.00048100,1,0.043185,0.072926,0.013444,0.951418,0.916933,0.985903,0.872633,0.804991,0.940274,0.016344,0.002682,0.192302,0.058044,0.050000,0,0,2,0,0
675,2461.117,0.199772,0.839455,0.751438,0.927471,18,0.00040471,0,0.041558,0.070981,0.012136,0.953093,0.918949,0.987237,0.871751,0.804775,0.938727,0.016035,0.002305,0.192871,0.059385,0.050000,0,0,2,0,0
700,2614.178,0.198432,0.840559,0.753386,0.927732,18,0.00045130,2,0.040710,0.068928,0.012493,0.954016,0.921157,0.986875,0.872319,0.805315,0.939322,0.015758,0.002377,0.192024,0.059128,0.050000,0,0,2,0,0
725,2637.752,0.197284,0.843556,0.753983,0.933130,18,0.00036144,2,0.041947,0.071521,0.012374,0.952872,0.918673,0.987071,0.876292,0.807908,0.944676,0.016329,0.002475,0.189757,0.053873,0.050000,0,0,2,0,0
750,2787.987,0.194722,0.844474,0.755708,0.933239,18,0.00042299,2,0.040808,0.069360,0.012255,0.954075,0.920955,0.987194,0.876400,0.808124,0.944676,0.015812,0.002319,0.190257,0.053551,0.050000,0,0,2,0,0
775,2811.748,0.194713,0.845827,0.755271,0.936383,18,0.00035555,1,0.041380,0.070981,0.011779,0.953524,0.919327,0.987720,0.878146,0.808881,0.947412,0.016238,0.002351,0.188922,0.051294,0.050000,0,0,2,0,0
800,2962.961,0.196206,0.844633,0.753775,0.935491,18,0.00034148,1,0.041979,0.073250,0.010708,0.952887,0.916973,0.988802,0.877249,0.808989,0.945509,0.016590,0.002215,0.188564,0.052927,0.050000,0,0,2,0,0
825,2986.488,0.191459,0.847035,0.756746,0.937323,18,0.00035989,0,0.039456,0.069036,0.009875,0.955524,0.921373,0.989675,0.877784,0.808989,0.946579,0.015850,0.001917,0.188984,0.051292,0.050000,0,0,2,0,0
850,3137.768,0.191631,0.847232,0.754113,0.940351,18,0.00035076,1,0.039806,0.070333,0.009280,0.955082,0.919847,0.990317,0.878115,0.807152,0.949078,0.016098,0.001838,0.190473,0.048805,0.050000,0,0,2,0,0
875,3161.278,0.188684,0.849771,0.757264,0.942278,18,0.00029658,1,0.040433,0.070873,0.009994,0.954618,0.919628,0.989608,0.881314,0.810933,0.951695,0.016004,0.001922,0.187019,0.046521,0.050000,0,0,2,0,0
900,3308.598,0.191045,0.847549,0.756053,0.939044,18,0.00031004,1,0.040969,0.070873,0.011065,0.953995,0.919509,0.988480,0.879536,0.809637,0.949435,0.015858,0.002199,0.188068,0.049132,0.050000,0,0,2,0,0
925,3331.600,0.188754,0.848890,0.755994,0.941786,18,0.00032506,1,0.041011,0.072385,0.009637,0.954000,0.918033,0.989967,0.880790,0.810717,0.950863,0.015892,0.001963,0.186925,0.047291,0.050000,0,0,2,0,0
950,3480.758,0.189699,0.849335,0.758068,0.940602,18,0.00027434,1,0.041423,0.071305,0.011541,0.953651,0.919286,0.988016,0.881790,0.812122,0.951457,0.016129,0.002306,0.185161,0.046374,0.050000,0,0,2,0,0
