step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.506,1.038163,0.222100,0.192103,0.252096,20,0.00000000,0,0.178666,0.179343,0.177989,0.591704,0.558158,0.625251,0.261761,0.226556,0.296966,0.040547,0.035845,0.767418,0.697771,0.050000,0,0,0,0,0
25,27.096,0.753620,0.354638,0.344553,0.364723,20,0.00000000,0,0.085112,0.084918,0.085306,0.818792,0.814885,0.822700,0.384824,0.373812,0.395836,0.018869,0.017129,0.619661,0.599591,0.050000,0,0,0,0,0
50,193.622,0.598346,0.479683,0.490951,0.468414,20,0.00003800,1,0.068386,0.074546,0.062225,0.882515,0.876189,0.888842,0.512555,0.527550,0.497561,0.016365,0.012488,0.466785,0.499032,0.050000,0,0,0,0,0
75,220.143,0.498248,0.571606,0.581891,0.561320,20,0.00025298,2,0.066214,0.079840,0.052588,0.902765,0.887262,0.918269,0.609594,0.628349,0.590839,0.017435,0.010435,0.367812,0.405369,0.050000,0,0,0,0,0
100,388.602,0.446615,0.622216,0.612202,0.632230,20,0.00041729,3,0.066433,0.083729,0.049137,0.909485,0.887941,0.931029,0.663379,0.663462,0.663296,0.018535,0.009804,0.332694,0.333238,0.050000,0,0,0,0,0
125,414.987,0.397293,0.676194,0.620982,0.731406,20,0.00267338,2,0.072549,0.095722,0.049375,0.908114,0.876670,0.939557,0.723971,0.680424,0.767519,0.021162,0.009741,0.314975,0.228643,0.050000,0,0,0,0,0
150,585.002,0.365655,0.707460,0.634228,0.780692,20,0.00310260,3,0.073555,0.094641,0.052469,0.910004,0.880033,0.939976,0.757953,0.694252,0.821654,0.020870,0.010377,0.301817,0.175174,0.050000,0,0,0,0,0
175,611.847,0.354755,0.714749,0.636669,0.792830,20,0.00112506,0,0.070571,0.092481,0.048662,0.913675,0.882643,0.944707,0.763479,0.695549,0.831410,0.020576,0.009569,0.301197,0.165579,0.050000,0,0,0,0,0
200,781.301,0.333581,0.732618,0.639779,0.825458,20,0.00073670,3,0.068943,0.092913,0.044973,0.916576,0.882706,0.950446,0.780902,0.699222,0.862582,0.020656,0.008611,0.296590,0.135405,0.050000,0,0,0,0,0
225,807.777,0.313891,0.748894,0.653640,0.844147,20,0.00045345,2,0.064489,0.089239,0.039738,0.922652,0.888619,0.956685,0.794831,0.711971,0.877692,0.019926,0.007826,0.285028,0.120101,0.050000,0,0,0,0,0
250,973.793,0.304871,0.759222,0.668644,0.849800,20,0.00023059,0,0.065925,0.092589,0.039262,0.922477,0.887518,0.957436,0.806859,0.730553,0.883165,0.020771,0.007746,0.266188,0.115092,0.050000,0,0,0,0,0
275,999.370,0.283408,0.769719,0.677591,0.861847,20,0.00042003,3,0.057443,0.078003,0.036883,0.931939,0.903515,0.960363,0.812040,0.730445,0.893635,0.017392,0.007188,0.265580,0.104005,0.050000,0,0,0,0,0
300,1165.585,0.265835,0.780847,0.686549,0.875145,20,0.00063632,1,0.050713,0.072277,0.029149,0.939624,0.910597,0.968650,0.818413,0.736171,0.900654,0.015859,0.005638,0.260956,0.097846,0.050000,0,0,0,0,0
325,1191.260,0.252883,0.791315,0.697454,0.885177,20,0.00066340,4,0.047481,0.069144,0.025818,0.943748,0.915142,0.972353,0.826855,0.745678,0.908031,0.015506,0.004928,0.251141,0.090220,0.050000,0,0,0,0,0
350,1350.044,0.249139,0.790367,0.700874,0.879861,19,0.00093924,3,0.045635,0.063310,0.027960,0.945857,0.921700,0.970014,0.824854,0.745246,0.904462,0.013787,0.005302,0.250945,0.093307,0.050000,0,0,1,0,0
375,1374.401,0.246965,0.797409,0.712057,0.882761,19,0.00058945,4,0.047683,0.066335,0.029030,0.944343,0.919655,0.969032,0.833840,0.759291,0.908388,0.015005,0.005847,0.237272,0.089016,0.050000,0,0,1,0,0
400,1530.696,0.238630,0.803152,0.715704,0.890600,19,0.00053651,4,0.047028,0.066335,0.027722,0.945317,0.920031,0.970603,0.839235,0.763181,0.915289,0.014660,0.005509,0.232387,0.082768,0.050000,0,0,1,0,0
425,1554.883,0.232678,0.810826,0.722868,0.898784,19,0.00054563,3,0.047768,0.068172,0.027365,0.945046,0.918874,0.971218,0.847763,0.772148,0.923379,0.015417,0.005157,0.225118,0.074877,0.050000,0,0,1,0,0
450,1711.537,0.229309,0.815589,0.727264,0.903915,19,0.00057772,3,0.047777,0.071521,0.024033,0.945315,0.915937,0.974693,0.852459,0.779278,0.925640,0.016257,0.004639,0.218228,0.072412,0.050000,0,0,1,0,0
475,1736.089,0.222989,0.822518,0.731830,0.913205,19,0.00054077,4,0.047928,0.073250,0.022606,0.945530,0.914696,0.976365,0.859643,0.785436,0.933849,0.016857,0.004340,0.211730,0.063916,0.050000,0,0,1,0,0
500,1893.263,0.217728,0.825750,0.731982,0.919519,19,0.00043157,2,0.047418,0.076275,0.018560,0.946148,0.911728,0.980568,0.862199,0.787813,0.936585,0.017040,0.003512,0.209688,0.060744,0.050000,0,0,1,0,0
525,1917.798,0.213408,0.829529,0.736863,0.922195,19,0.00038195,3,0.045072,0.073250,0.016895,0.948766,0.915229,0.982303,0.864307,0.790838,0.937775,0.016610,0.003368,0.206623,0.059833,0.050000,0,0,1,0,0
550,2075.435,0.214198,0.829081,0.736012,0.922149,19,0.00032026,3,0.045909,0.075519,0.016300,0.947906,0.912908,0.982905,0.864387,0.791595,0.937180,0.016891,0.003274,0.205694,0.060931,0.050000,0,0,1,0,0
575,2100.283,0.216208,0.830108,0.734753,0.925462,19,0.00036435,3,0.048686,0.080596,0.016776,0.945164,0.907844,0.982484,0.867479,0.793971,0.940988,0.017980,0.003407,0.203792,0.057013,0.050000,0,0,1,0,0
600,2256.879,0.221952,0.827212,0.730370,0.924054,19,0.00028258,3,0.051438,0.081461,0.021416,0.942161,0.906510,0.977813,0.866854,0.789866,0.943843,0.018408,0.004174,0.207891,0.054963,0.050000,0,0,1,0,0
625,2281.422,0.224413,0.826160,0.729961,0.922360,19,0.00021157,3,0.052804,0.085026,0.020583,0.940829,0.903055,0.978602,0.866686,0.792027,0.941344,0.019329,0.003996,0.205171,0.056757,0.050000,0,0,1,0,0
650,2440.187,0.233690,0.821673,0.726552,0.916793,19,0.00019751,2,0.056614,0.090860,0.022368,0.936921,0.897151,0.976692,0.864933,0.792567,0.937299,0.020607,0.004568,0.204414,0.061293,0.050000,0,0,1,0,0
675,2465.136,0.226695,0.822600,0.732457,0.912742,19,0.00014260,2,0.056768,0.085458,0.028079,0.936946,0.902945,0.970947,0.866711,0.795052,0.938370,0.018455,0.005561,0.202090,0.058977,0.050000,0,0,1,0,0
