step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.531,1.017717,0.187156,0.187115,0.187198,20,0.00005626,0,0.481876,0.109018,0.854735,0.472227,0.655585,0.288869,0.277358,0.207513,0.347202,0.025496,0.050404,0.786564,0.641586,0.050000,0,0,0,0,0
25,27.554,0.715290,0.338219,0.283164,0.393275,20,0.00007041,2,0.279490,0.055035,0.503945,0.692193,0.844438,0.539948,0.445106,0.298748,0.591463,0.012782,0.029299,0.694443,0.399395,0.050000,0,0,0,0,0
50,194.279,0.584378,0.439589,0.385740,0.493438,20,0.00004011,0,0.235958,0.050826,0.421090,0.756691,0.888581,0.624800,0.553283,0.405346,0.701220,0.011733,0.024296,0.587606,0.292863,0.050000,0,0,0,0,0
75,219.969,0.520390,0.494847,0.479940,0.509754,20,0.00016075,2,0.221965,0.046512,0.397418,0.778566,0.915244,0.641888,0.607301,0.502262,0.712339,0.010499,0.022774,0.491582,0.282789,0.050000,0,0,0,0,0
100,382.067,0.464750,0.541954,0.553374,0.530533,20,0.00037466,2,0.216012,0.039987,0.392037,0.794134,0.935032,0.653236,0.657012,0.575502,0.738522,0.009209,0.022355,0.418138,0.258329,0.050000,0,0,0,0,0
125,407.492,0.414525,0.581084,0.607081,0.555087,20,0.00025104,1,0.194622,0.028412,0.360832,0.816604,0.956473,0.676735,0.689855,0.624329,0.755380,0.006496,0.020507,0.370147,0.242521,0.050000,0,0,0,0,0
150,570.840,0.377209,0.610043,0.636887,0.583199,20,0.00010887,1,0.177855,0.023572,0.332138,0.832811,0.965104,0.700517,0.714400,0.651899,0.776901,0.005351,0.018658,0.342422,0.219769,0.050000,0,0,0,0,0
175,596.715,0.350466,0.633735,0.660484,0.606986,20,0.00023434,1,0.162709,0.021256,0.304161,0.845936,0.969449,0.722422,0.733065,0.674524,0.791607,0.004792,0.017263,0.318786,0.205377,0.050000,0,0,0,0,0
200,762.443,0.335893,0.646529,0.675289,0.617769,20,0.00008319,2,0.158531,0.021151,0.295911,0.850184,0.970240,0.730128,0.745073,0.689572,0.800574,0.004601,0.016692,0.305259,0.196067,0.050000,0,0,0,0,0
225,788.173,0.326630,0.654181,0.691737,0.616626,20,0.00001129,0,0.166527,0.021362,0.311693,0.846242,0.970652,0.721831,0.757669,0.706514,0.808824,0.004491,0.017565,0.288371,0.188420,0.050000,0,0,0,0,0
250,955.445,0.308114,0.670431,0.707986,0.632877,20,0.00001334,0,0.165219,0.021256,0.309182,0.849844,0.971441,0.728247,0.775793,0.723035,0.828551,0.004338,0.017542,0.272330,0.168837,0.050000,0,0,0,0,0
275,981.773,0.294926,0.682385,0.712847,0.651923,20,0.00000944,0,0.164741,0.023887,0.305595,0.852062,0.968309,0.735814,0.790511,0.729875,0.851148,0.004779,0.017452,0.264829,0.147161,0.050000,0,0,0,0,0
300,1147.475,0.287439,0.687008,0.725075,0.648942,20,0.00000805,0,0.172412,0.022730,0.322095,0.848656,0.970260,0.727052,0.799759,0.741555,0.857963,0.004576,0.018156,0.253073,0.139941,0.050000,0,0,0,0,0
325,1173.397,0.290028,0.681273,0.726183,0.636364,20,0.00000149,0,0.185858,0.018415,0.353300,0.842400,0.975705,0.709096,0.800373,0.739556,0.861191,0.003476,0.019956,0.255613,0.136985,0.050000,0,0,0,0,0
350,1342.901,0.281018,0.691841,0.727423,0.656259,20,0.00003102,0,0.163978,0.018415,0.309541,0.855470,0.975745,0.735195,0.800108,0.740819,0.859397,0.003616,0.017668,0.253803,0.137921,0.050000,0,0,0,0,0
375,1369.231,0.277649,0.693798,0.729967,0.657628,20,0.00003233,0,0.164294,0.019047,0.309541,0.855317,0.975034,0.735600,0.802531,0.743870,0.861191,0.003481,0.017478,0.251489,0.136093,0.050000,0,0,0,0,0
400,1533.667,0.280541,0.692296,0.740328,0.644265,20,0.00006161,0,0.174452,0.019994,0.328910,0.848332,0.974206,0.722458,0.805650,0.755130,0.856169,0.003766,0.018839,0.240027,0.140123,0.050000,0,0,0,0,0
425,1559.237,0.281096,0.691622,0.738301,0.644943,20,0.00002936,0,0.173670,0.020941,0.326399,0.848397,0.972969,0.723824,0.804607,0.753762,0.855452,0.003860,0.018480,0.241412,0.142020,0.050000,0,0,0,0,0
450,1725.947,0.273645,0.698289,0.742668,0.653909,20,0.00006627,0,0.165549,0.019047,0.312052,0.854372,0.975451,0.733292,0.807388,0.756814,0.857963,0.003559,0.017559,0.238376,0.139880,0.050000,0,0,0,0,0
475,1751.413,0.269916,0.701074,0.749819,0.652328,20,0.00002508,0,0.168081,0.018731,0.317432,0.853165,0.976066,0.730265,0.811631,0.763864,0.859397,0.003384,0.017861,0.231453,0.138385,0.050000,0,0,0,0,0
500,1919.239,0.269187,0.704617,0.757285,0.651949,20,0.00003574,1,0.167206,0.018415,0.315997,0.853754,0.976679,0.730828,0.814596,0.771230,0.857963,0.003601,0.018165,0.223956,0.140240,0.050000,0,0,0,0,0
525,1945.546,0.265534,0.708419,0.766023,0.650815,20,0.00020691,2,0.169758,0.019573,0.319943,0.852090,0.975552,0.728628,0.820028,0.781017,0.859039,0.003980,0.018200,0.213800,0.139537,0.050000,0,0,0,0,0
550,2113.414,0.265220,0.708062,0.763546,0.652577,20,0.00044778,0,0.167426,0.019573,0.315280,0.853416,0.975475,0.731357,0.818406,0.778491,0.858321,0.003712,0.017998,0.216434,0.139694,0.050000,0,0,0,0,0
575,2139.388,0.266530,0.707176,0.762808,0.651544,20,0.00015558,0,0.166623,0.020836,0.312410,0.853176,0.973941,0.732412,0.816897,0.778701,0.855093,0.003964,0.017846,0.216099,0.142264,0.050000,0,0,0,0,0
600,2305.484,0.265360,0.708580,0.764712,0.652447,20,0.00005645,1,0.165475,0.019257,0.311693,0.854458,0.975889,0.733026,0.817624,0.779438,0.855811,0.003725,0.017865,0.216566,0.141353,0.050000,0,0,0,0,0
625,2330.921,0.265630,0.709030,0.762008,0.656053,20,0.00010631,0,0.163806,0.020941,0.306671,0.855153,0.973788,0.736518,0.817605,0.777965,0.857245,0.004080,0.017545,0.217301,0.140813,0.050000,0,0,0,0,0
650,2497.104,0.263521,0.712210,0.759798,0.664622,20,0.00008645,0,0.153447,0.020309,0.286585,0.861725,0.974471,0.748979,0.815161,0.775229,0.855093,0.003959,0.016381,0.220557,0.143645,0.050000,0,0,0,0,0
675,2522.964,0.263837,0.710941,0.761772,0.660111,20,0.00003683,1,0.156941,0.019047,0.294835,0.859789,0.976052,0.743526,0.815508,0.776281,0.854735,0.003954,0.016644,0.219360,0.143483,0.050000,0,0,0,0,0
700,2688.863,0.261487,0.711817,0.769048,0.654585,20,0.00009218,1,0.163469,0.020625,0.306313,0.855326,0.974396,0.736257,0.820002,0.784910,0.855093,0.003970,0.017223,0.211026,0.142271,0.050000,0,0,0,0,0
