step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.545,1.300962,0.187954,0.187986,0.187922,20,0.00005626,0,0.483976,0.108913,0.859039,0.472968,0.656830,0.289107,0.278907,0.208460,0.349354,0.025443,0.050607,0.785660,0.639667,0.050000,0,0,0,0,0
25,27.892,0.903840,0.356671,0.300834,0.412509,20,0.00003247,2,0.309888,0.059876,0.559900,0.688312,0.841901,0.534724,0.481159,0.318847,0.643472,0.013976,0.032624,0.674210,0.349296,0.050000,0,0,0,0,0
50,196.568,0.740486,0.451828,0.426651,0.477006,20,0.00034379,3,0.292654,0.056614,0.528694,0.734063,0.888428,0.579698,0.590001,0.450805,0.729197,0.013006,0.030526,0.542457,0.267200,0.050000,0,0,0,0,0
75,222.653,0.652185,0.511013,0.518837,0.503189,20,0.00011201,1,0.257508,0.053036,0.461980,0.762886,0.911517,0.614256,0.641003,0.546354,0.735653,0.012258,0.026517,0.449113,0.261867,0.050000,0,0,0,0,0
100,387.953,0.563907,0.563522,0.596645,0.530398,20,0.00035806,2,0.237552,0.041461,0.433644,0.787139,0.937450,0.636828,0.690892,0.621383,0.760402,0.009275,0.024902,0.374030,0.236986,0.050000,0,0,0,0,0
125,413.910,0.503971,0.600095,0.644549,0.555641,20,0.00054460,2,0.213228,0.030832,0.395624,0.808914,0.955653,0.662175,0.719944,0.664422,0.775466,0.006824,0.022400,0.330386,0.222507,0.050000,0,0,0,0,0
150,581.190,0.466498,0.626094,0.669188,0.583001,20,0.00038186,3,0.190053,0.029675,0.350430,0.825352,0.958712,0.691992,0.738174,0.689046,0.787303,0.006607,0.019682,0.305393,0.210573,0.050000,0,0,0,0,0
175,607.526,0.434272,0.646465,0.703363,0.589568,20,0.00083666,1,0.195507,0.029464,0.361549,0.825182,0.960899,0.689464,0.763407,0.724087,0.802726,0.006390,0.020496,0.270910,0.196074,0.050000,0,0,0,0,0
200,778.682,0.405845,0.661418,0.741459,0.581377,20,0.00148553,0,0.208139,0.025676,0.390603,0.820793,0.967340,0.674245,0.784481,0.760497,0.808465,0.005389,0.022191,0.233495,0.189142,0.050000,0,0,0,0,0
225,805.338,0.374164,0.682398,0.766615,0.598182,20,0.00059825,0,0.201087,0.021256,0.380918,0.828983,0.973567,0.684398,0.804475,0.782911,0.826040,0.004745,0.021762,0.212601,0.172042,0.050000,0,0,0,0,0
