step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.486,0.875831,0.285246,0.264280,0.306211,20,0.00019481,0,0.193900,0.180674,0.207126,0.637090,0.633299,0.640881,0.340832,0.312028,0.369636,0.024347,0.030608,0.684776,0.626968,0.050000,0,0,0,0,0
25,27.277,0.568052,0.492499,0.485688,0.499310,20,0.00013292,2,0.100132,0.078343,0.121921,0.845569,0.869880,0.821258,0.541962,0.523738,0.560186,0.010375,0.017898,0.473276,0.436457,0.050000,0,0,0,0,0
50,189.743,0.369408,0.671286,0.689060,0.653512,20,0.00015006,2,0.095738,0.068780,0.122696,0.885656,0.914583,0.856729,0.735074,0.736454,0.733695,0.008873,0.018068,0.259908,0.263165,0.050000,0,0,0,0,0
75,215.193,0.257928,0.771119,0.793109,0.749130,20,0.00047363,0,0.091955,0.071129,0.112781,0.901786,0.922741,0.880832,0.841570,0.849522,0.833617,0.009142,0.016267,0.148135,0.163788,0.050000,0,0,0,0,0
100,373.876,0.214858,0.806054,0.818424,0.793685,19,0.00021994,1,0.081492,0.068948,0.094036,0.914616,0.926946,0.902286,0.871586,0.874853,0.868319,0.008765,0.013394,0.122845,0.129288,0.050000,0,0,1,0,0
125,398.181,0.186314,0.832955,0.845572,0.820337,19,0.00031184,1,0.074663,0.064586,0.084741,0.923053,0.933055,0.913050,0.895019,0.900185,0.889853,0.008321,0.012343,0.098590,0.108287,0.050000,0,0,1,0,0
150,546.126,0.173475,0.843175,0.853712,0.832638,18,0.00035748,2,0.069216,0.061902,0.076530,0.928710,0.936082,0.921338,0.901459,0.906559,0.896359,0.007993,0.011098,0.092256,0.101462,0.050000,0,0,2,0,0
175,569.088,0.161640,0.852607,0.864509,0.840705,18,0.00030895,1,0.064550,0.057373,0.071727,0.933602,0.940943,0.926262,0.907558,0.914108,0.901007,0.007356,0.010286,0.084757,0.096960,0.050000,0,0,2,0,0
200,717.810,0.151969,0.861178,0.876458,0.845898,18,0.00012978,2,0.060150,0.049656,0.070643,0.938215,0.948789,0.927642,0.912817,0.919980,0.905655,0.006255,0.010252,0.079135,0.092559,0.050000,0,0,2,0,0
225,740.895,0.146922,0.866980,0.886765,0.847194,18,0.00004767,2,0.060570,0.044456,0.076685,0.938325,0.954200,0.922450,0.919174,0.926187,0.912161,0.005641,0.011216,0.073273,0.085647,0.050000,0,0,2,0,0
250,887.583,0.146825,0.867834,0.890859,0.844808,18,0.00003619,2,0.060345,0.040597,0.080093,0.938676,0.958044,0.919307,0.919748,0.927026,0.912471,0.005280,0.011658,0.073128,0.084973,0.050000,0,0,2,0,0
275,910.134,0.136919,0.875569,0.898753,0.852386,18,0.00077829,2,0.055118,0.035565,0.074671,0.943912,0.963194,0.924629,0.923375,0.930716,0.916034,0.004579,0.010700,0.068382,0.082134,0.050000,0,0,2,0,0
300,1049.509,0.125402,0.885870,0.919336,0.852404,17,0.00061772,2,0.050548,0.031538,0.069558,0.948463,0.967814,0.929113,0.930014,0.948331,0.911696,0.004032,0.010071,0.050997,0.086121,0.050000,0,0,3,0,0
325,1071.352,0.122172,0.888673,0.925962,0.851385,17,0.00032795,3,0.050845,0.033216,0.068474,0.948222,0.966446,0.929997,0.933201,0.956719,0.909682,0.004126,0.009915,0.042509,0.089048,0.050000,0,0,3,0,0
350,1209.195,0.117057,0.892825,0.929591,0.856058,17,0.00013362,1,0.047624,0.034055,0.061193,0.951338,0.965785,0.936891,0.934846,0.961248,0.908443,0.004285,0.008936,0.038307,0.089859,0.050000,0,0,3,0,0
375,1230.660,0.116589,0.892869,0.924773,0.860965,17,0.00012500,1,0.047185,0.034726,0.059644,0.951808,0.964981,0.938636,0.934601,0.956886,0.912316,0.004462,0.008651,0.042161,0.085942,0.050000,0,0,3,0,0
400,1368.273,0.113040,0.896567,0.928698,0.864436,17,0.00011309,0,0.051322,0.037578,0.065066,0.948230,0.962466,0.933993,0.942139,0.963597,0.920682,0.004763,0.009318,0.035666,0.077612,0.050000,0,0,3,0,0
425,1389.605,0.115471,0.894378,0.926171,0.862585,17,0.00014301,0,0.051896,0.038416,0.065376,0.947588,0.961590,0.933585,0.940364,0.961751,0.918978,0.004852,0.009432,0.037173,0.079298,0.050000,0,0,3,0,0
450,1524.774,0.114912,0.895254,0.930218,0.860290,17,0.00012574,0,0.054936,0.040933,0.068939,0.944852,0.959441,0.930262,0.943946,0.968294,0.919597,0.005079,0.009979,0.030471,0.078715,0.050000,0,0,3,0,0
475,1545.519,0.111960,0.899100,0.933527,0.864673,17,0.00020158,0,0.053342,0.039758,0.066925,0.946507,0.960651,0.932363,0.946592,0.970643,0.922541,0.005178,0.009744,0.028665,0.075595,0.050000,0,0,3,0,0
500,1680.187,0.110422,0.900049,0.933355,0.866744,17,0.00018917,1,0.054671,0.042107,0.067235,0.945373,0.958506,0.932240,0.948837,0.972656,0.925019,0.005354,0.009740,0.026686,0.073142,0.050000,0,0,3,0,0
