step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.522,0.387468,0.283555,0.262169,0.304941,20,0.00015351,0,0.191345,0.178661,0.204028,0.638221,0.633643,0.642799,0.338083,0.309009,0.367157,0.024032,0.030203,0.104574,0.108885,0.050000,0,0,0,0,0
25,27.550,0.212701,0.421134,0.393071,0.449196,20,0.00004586,1,0.072365,0.065258,0.079473,0.862173,0.865165,0.859182,0.451809,0.418722,0.484895,0.008636,0.011680,0.077762,0.077274,0.050000,0,0,0,0,0
50,191.579,0.149733,0.588607,0.580326,0.596888,20,0.00008246,1,0.052900,0.050495,0.055306,0.921396,0.923507,0.919286,0.619764,0.609629,0.629899,0.006546,0.008093,0.052563,0.055188,0.050000,0,0,0,0,0
75,216.689,0.118561,0.687787,0.680205,0.695369,20,0.00018786,0,0.046027,0.044959,0.047095,0.939880,0.940511,0.939249,0.719452,0.710787,0.728118,0.005828,0.006800,0.039909,0.041170,0.050000,0,0,0,0,0
100,377.879,0.107411,0.731708,0.734920,0.728495,20,0.00007245,0,0.045563,0.042946,0.048180,0.943796,0.946943,0.940649,0.765038,0.766482,0.763594,0.005567,0.006909,0.032849,0.036538,0.050000,0,0,0,0,0
125,403.241,0.096653,0.764749,0.775946,0.753552,20,0.00000378,1,0.042188,0.037745,0.046631,0.949700,0.955224,0.944177,0.796962,0.805234,0.788691,0.004915,0.006739,0.027644,0.033129,0.050000,0,0,0,0,0
150,560.321,0.081785,0.795732,0.811017,0.780448,19,0.00001658,0,0.035166,0.032377,0.037955,0.959007,0.962770,0.955243,0.823673,0.837276,0.810070,0.004244,0.005405,0.023067,0.029200,0.050000,0,0,1,0,0
175,584.864,0.076611,0.814587,0.833878,0.795296,19,0.00000913,0,0.033296,0.026002,0.040589,0.961876,0.970504,0.953248,0.841568,0.855561,0.827576,0.003484,0.005890,0.020343,0.027277,0.050000,0,0,1,0,0
200,737.986,0.071153,0.833621,0.866350,0.800893,18,0.00001087,0,0.032018,0.022983,0.041053,0.963898,0.974723,0.953072,0.860016,0.886261,0.833772,0.003027,0.006009,0.016219,0.026685,0.050000,0,0,2,0,0
225,761.613,0.066662,0.846352,0.887666,0.805038,18,0.00002240,0,0.030411,0.021473,0.039349,0.965975,0.976866,0.955084,0.871721,0.906727,0.836716,0.002857,0.005747,0.013561,0.026077,0.050000,0,0,2,0,0
250,908.174,0.064092,0.859837,0.908643,0.811032,17,0.00001503,0,0.031476,0.020970,0.041983,0.965284,0.977896,0.952672,0.886389,0.927697,0.845081,0.002739,0.006036,0.010987,0.025116,0.050000,0,0,3,0,0
275,930.681,0.061676,0.862533,0.907374,0.817693,17,0.00000730,0,0.029094,0.021473,0.036716,0.967922,0.977357,0.958487,0.887286,0.926858,0.847715,0.002722,0.005514,0.011113,0.024467,0.050000,0,0,3,0,0
300,1076.135,0.059422,0.864552,0.905168,0.823935,17,0.00001830,0,0.027739,0.022479,0.032998,0.969482,0.976287,0.962677,0.888320,0.925516,0.851123,0.002873,0.004912,0.011429,0.023439,0.050000,0,0,3,0,0
325,1098.746,0.056578,0.870636,0.912442,0.828829,17,0.00000091,0,0.025525,0.019292,0.031758,0.971935,0.979678,0.964192,0.892598,0.930045,0.855151,0.002613,0.004752,0.010594,0.022810,0.050000,0,0,3,0,0
350,1243.392,0.056717,0.877390,0.921446,0.833333,17,0.00000144,1,0.027210,0.020802,0.033617,0.970400,0.978363,0.962437,0.900981,0.940614,0.861348,0.002817,0.004971,0.009586,0.022284,0.050000,0,0,3,0,0
375,1266.171,0.046457,0.882277,0.926914,0.837641,17,0.00023265,1,0.019090,0.019124,0.019055,0.979161,0.980157,0.978164,0.899121,0.944640,0.853602,0.002498,0.002810,0.008858,0.021349,0.050000,0,0,3,0,0
400,1415.086,0.046680,0.884980,0.927622,0.842338,17,0.00016178,1,0.020057,0.022144,0.017971,0.978326,0.977178,0.979473,0.902819,0.948163,0.857475,0.002922,0.002654,0.008748,0.020691,0.050000,0,0,3,0,0
425,1437.455,0.044801,0.889644,0.930961,0.848328,17,0.00003393,0,0.018741,0.018118,0.019365,0.979670,0.981243,0.978097,0.906292,0.947828,0.864756,0.002455,0.002915,0.008340,0.019933,0.050000,0,0,3,0,0
450,1582.137,0.044283,0.885595,0.922950,0.848240,17,0.00000870,0,0.017844,0.018957,0.016731,0.980605,0.980241,0.980969,0.901439,0.940446,0.862432,0.002596,0.002434,0.009303,0.019774,0.050000,0,0,3,0,0
475,1605.233,0.043688,0.888967,0.931534,0.846400,17,0.00000594,0,0.017469,0.019292,0.015647,0.981105,0.980087,0.982124,0.904574,0.949505,0.859644,0.002602,0.002408,0.008292,0.020206,0.050000,0,0,3,0,0
500,1751.844,0.043156,0.889601,0.932368,0.846834,17,0.00002152,0,0.017476,0.019460,0.015492,0.981121,0.979938,0.982304,0.905233,0.950512,0.859954,0.002624,0.002310,0.008139,0.020059,0.050000,0,0,3,0,0
525,1774.476,0.043778,0.890786,0.934319,0.847254,17,0.00000019,0,0.019961,0.021641,0.018280,0.978541,0.977831,0.979251,0.908640,0.954538,0.862742,0.002824,0.002440,0.007791,0.019796,0.050000,0,0,3,0,0
550,1919.684,0.046120,0.887764,0.925756,0.849771,17,0.00000112,0,0.020276,0.025835,0.014717,0.978368,0.973517,0.983219,0.905975,0.949673,0.862277,0.003489,0.002197,0.008857,0.019643,0.050000,0,0,3,0,0
575,1942.253,0.044452,0.890889,0.932853,0.848924,17,0.00000027,0,0.019753,0.024325,0.015182,0.978932,0.975175,0.982689,0.908678,0.955544,0.861813,0.003202,0.002211,0.008025,0.019715,0.050000,0,0,3,0,0
600,2087.475,0.047356,0.889634,0.929573,0.849695,17,0.00000030,0,0.022644,0.029022,0.016266,0.976032,0.970553,0.981511,0.910034,0.956551,0.863517,0.003764,0.002389,0.008330,0.019677,0.050000,0,0,3,0,0
625,2109.805,0.045863,0.891797,0.935627,0.847968,17,0.00000095,0,0.021064,0.024157,0.017971,0.977508,0.975410,0.979606,0.910718,0.958228,0.863207,0.003173,0.002661,0.007740,0.019882,0.050000,0,0,3,0,0
