step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.526,0.624259,0.280312,0.196249,0.364375,20,0.00099888,0,0.224246,0.141995,0.306498,0.610244,0.612153,0.608336,0.350085,0.224115,0.476055,0.028694,0.025512,0.773333,0.521503,0.000000,0,0,0,0,0
25,27.636,0.354422,0.512774,0.340319,0.685229,20,0.00014744,0,0.079303,0.061531,0.097075,0.870050,0.854464,0.885636,0.556503,0.361259,0.751747,0.012225,0.007893,0.635654,0.246517,0.000000,0,0,0,0,0
50,349.896,0.259581,0.619701,0.454431,0.784970,21,0.00050710,2,0.039269,0.034789,0.043748,0.940213,0.931115,0.949310,0.644776,0.470240,0.819311,0.006904,0.003418,0.526579,0.179086,0.000000,0,1,0,0,0
75,377.816,0.199375,0.701888,0.551171,0.852605,21,0.00037130,4,0.034395,0.025559,0.043231,0.955195,0.956739,0.953650,0.727361,0.565259,0.889464,0.004684,0.003375,0.431585,0.108657,0.000000,0,1,0,0,0
100,682.286,0.153544,0.770881,0.645945,0.895818,22,0.00021886,3,0.032210,0.018341,0.046078,0.963003,0.972874,0.953133,0.797444,0.657792,0.937096,0.003548,0.003677,0.340849,0.061405,0.000000,3,1,2,0,0
125,712.427,0.128764,0.811684,0.711480,0.911887,22,0.00027911,3,0.039458,0.018341,0.060575,0.958184,0.975311,0.941058,0.845827,0.724530,0.967124,0.003388,0.004952,0.273364,0.032485,0.000000,3,1,2,0,0
150,1057.747,0.114726,0.834378,0.757999,0.910757,25,0.00017446,4,0.045149,0.017039,0.073259,0.954327,0.978375,0.930278,0.874197,0.770915,0.977479,0.003281,0.005858,0.226815,0.022449,0.000000,6,1,2,0,0
175,1091.774,0.104969,0.847267,0.780047,0.914486,25,0.00015041,3,0.041340,0.014081,0.068600,0.958458,0.982510,0.934406,0.884125,0.791031,0.977220,0.002489,0.005679,0.207653,0.023089,0.000000,6,1,2,0,0
200,1476.088,0.096014,0.859232,0.805221,0.913243,24,0.00003435,1,0.041037,0.010886,0.071188,0.959484,0.986802,0.932166,0.896121,0.813987,0.978255,0.002093,0.005787,0.184239,0.021451,0.000000,6,1,3,0,0
225,1508.759,0.095222,0.861538,0.815079,0.907996,24,0.00005820,2,0.043559,0.012306,0.074812,0.957052,0.985305,0.928800,0.900517,0.825109,0.975925,0.002244,0.006113,0.173379,0.023135,0.000000,6,1,3,0,0
250,1886.511,0.093156,0.864412,0.819011,0.909812,27,0.00000639,2,0.044218,0.012070,0.076366,0.956654,0.985648,0.927661,0.904093,0.828896,0.979291,0.002143,0.006233,0.169504,0.020116,0.000000,9,1,3,0,0
275,1923.145,0.087717,0.870104,0.826357,0.913851,27,0.00002026,1,0.040986,0.009230,0.072741,0.959989,0.989054,0.930924,0.907155,0.833984,0.980326,0.001583,0.005962,0.164308,0.018896,0.000000,9,1,3,0,0
300,2348.609,0.081420,0.880500,0.840126,0.920874,30,0.00003789,1,0.038412,0.010295,0.066529,0.962288,0.988017,0.936559,0.915457,0.848775,0.982138,0.001754,0.005522,0.149160,0.017108,0.000000,12,1,3,0,0
325,2389.554,0.074696,0.889997,0.856656,0.923338,30,0.00006370,1,0.037487,0.007928,0.067046,0.963594,0.990902,0.936285,0.924346,0.863448,0.985245,0.001537,0.005431,0.134922,0.013538,0.000000,12,1,3,0,0
350,2869.700,0.069266,0.900594,0.875000,0.926188,30,0.00008200,1,0.036352,0.010058,0.062646,0.964453,0.988748,0.940158,0.934005,0.883801,0.984209,0.001902,0.005150,0.114316,0.015205,0.000000,12,1,3,0,1
375,2911.072,0.067822,0.902477,0.876802,0.928152,30,0.00011973,4,0.034373,0.009466,0.059280,0.966276,0.989418,0.943134,0.934138,0.885102,0.983174,0.001814,0.004908,0.113815,0.015429,0.000000,12,1,3,0,1
400,3365.862,0.067648,0.906387,0.883087,0.929688,28,0.00013491,3,0.037731,0.015146,0.060316,0.962863,0.983385,0.942341,0.941112,0.896462,0.985762,0.002787,0.004872,0.102801,0.012994,0.000000,12,1,5,0,1
